type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,1365,"[0.967160,-0.009126,0.017917,0.253372]","[0.002137,0.002124,0.009440]","[-0.502782,-0.122104,9.782708]",not_valid,not_valid
StateB,2325,"[0.967163,-0.009135,0.017924,0.253360]","[-0.001042,0.007460,-0.011865]","[-0.488417,-0.114922,9.832987]",not_valid,not_valid
StateB,4900,"[0.967161,-0.009127,0.017922,0.253369]","[0.012777,-0.002170,0.020611]","[-0.567426,-0.086191,9.718064]",not_valid,not_valid
StateB,5628,"[0.967157,-0.009121,0.017916,0.253382]","[-0.001052,0.004264,-0.002945]","[-0.351948,-0.093374,9.753978]",not_valid,not_valid
StateB,7743,"[0.967158,-0.009133,0.017923,0.253377]","[-0.010593,0.019208,-0.002926]","[-0.632069,-0.007183,9.732430]",not_valid,not_valid
StateB,9595,"[0.967159,-0.009123,0.017914,0.253375]","[0.011695,-0.007493,0.000291]","[-0.624887,-0.100556,9.646238]",not_valid,not_valid
StateB,11518,"[0.967161,-0.009109,0.017908,0.253369]","[0.010640,-0.004294,0.018568]","[-0.416591,-0.071826,9.782708]",not_valid,not_valid
StateB,13562,"[0.967162,-0.009122,0.017912,0.253365]","[-0.009535,0.017074,-0.012325]","[-0.452504,-0.086191,9.840169]",not_valid,not_valid
StateB,15704,"[0.967165,-0.009115,0.017911,0.253354]","[-0.003186,0.003206,-0.014226]","[-0.545878,-0.064643,9.782708]",not_valid,not_valid
StateB,17561,"[0.967162,-0.009111,0.017908,0.253366]","[0.008502,-0.006418,0.011871]","[-0.402226,-0.057461,9.775525]",not_valid,not_valid
StateB,19611,"[0.967159,-0.009123,0.017911,0.253378]","[-0.014835,0.025612,0.020759]","[-0.517148,-0.107739,9.718064]",not_valid,not_valid
StateB,21560,"[0.967161,-0.009123,0.017915,0.253368]","[-0.008492,0.009614,-0.010065]","[-0.531513,-0.172383,9.689334]",not_valid,not_valid
StateB,23738,"[0.967163,-0.009116,0.017920,0.253360]","[0.019168,-0.002189,0.005486]","[-0.208296,-0.114922,9.746795]",not_valid,not_valid
StateB,25552,"[0.967160,-0.009113,0.017925,0.253372]","[-0.005274,0.017061,-0.002084]","[-0.165200,-0.057461,9.854534]",not_valid,not_valid
StateB,27650,"[0.967159,-0.009122,0.017908,0.253375]","[-0.010686,-0.010620,0.010699]","[-0.201113,-0.100556,9.761160]",not_valid,not_valid
StateB,29544,"[0.967162,-0.009126,0.017913,0.253364]","[0.000036,0.011718,-0.006850]","[-0.244209,-0.129287,9.768343]",not_valid,not_valid
StateB,31573,"[0.967161,-0.009118,0.017910,0.253370]","[-0.001046,0.006395,-0.002589]","[-0.186748,-0.028730,9.797073]",not_valid,not_valid
StateB,33714,"[0.967160,-0.009115,0.017911,0.253371]","[0.007450,-0.002154,-0.023093]","[-0.387861,-0.050278,9.911995]",not_valid,not_valid
StateB,35659,"[0.967162,-0.009113,0.017903,0.253366]","[-0.009554,0.010682,0.007678]","[-0.323217,-0.100556,9.876082]",not_valid,not_valid
StateB,37595,"[0.967158,-0.009122,0.017906,0.253378]","[-0.019125,0.016039,0.008501]","[-0.323217,-0.107739,9.832987]",not_valid,not_valid
StateB,39599,"[0.967158,-0.009121,0.017906,0.253379]","[0.000010,0.003196,0.010895]","[-0.272939,-0.244209,9.739613]",not_valid,not_valid
StateB,41526,"[0.967161,-0.009125,0.017906,0.253369]","[0.005346,0.006375,0.004047]","[-0.294487,-0.272939,9.739613]",not_valid,not_valid
StateB,43747,"[0.967163,-0.009127,0.017899,0.253360]","[-0.005346,-0.006375,-0.005746]","[-0.316035,-0.208296,9.667787]",not_valid,not_valid
