type,timestamp,positions
Control,21165,"[-0.001253,-0.006502,0.021399,-0.012128,-0.023887,-0.018676,-0.001125,-0.002821,0.000537,-0.011169,-0.011207,0.010350,0.014598,-0.014189,0.095737,0.403068,1.271517,0.000236,-0.016737,-0.065509,-0.535594,1.138060,0.000603]"
Control,41066,"[-0.001248,-0.006477,0.021289,-0.012096,-0.023771,-0.018594,-0.001095,-0.002810,0.000535,-0.011140,-0.011162,0.010309,0.014540,-0.014143,0.095460,0.402254,1.271153,0.000235,-0.016702,-0.065386,-0.534887,1.137968,0.000613]"
Control,61205,"[-0.001243,-0.006450,0.021228,-0.012047,-0.023683,-0.018666,-0.001065,-0.002773,0.000558,-0.011095,-0.011138,0.010213,0.014456,-0.014156,0.095010,0.401537,1.270784,0.000245,-0.016683,-0.064164,-0.533917,1.138002,0.000658]"
Control,81020,"[-0.001213,-0.006399,0.021118,-0.011983,-0.023664,-0.018706,-0.001061,-0.002737,0.000556,-0.011114,-0.011100,0.010150,0.014424,-0.014186,0.094175,0.400832,1.270397,0.000245,-0.016657,-0.063689,-0.532922,1.139361,0.000679]"
Control,101117,"[-0.001233,-0.006373,0.021057,-0.011950,-0.023643,-0.018714,-0.001107,-0.002700,0.000553,-0.011116,-0.011028,0.010093,0.014365,-0.014097,0.093862,0.400035,1.270046,0.000232,-0.016638,-0.063445,-0.532064,1.141360,0.000641]"
Control,121031,"[-0.001203,-0.006373,0.020972,-0.011902,-0.023568,-0.018691,-0.001027,-0.002689,0.000551,-0.011071,-0.011017,0.010060,0.014332,-0.014058,0.092191,0.399220,1.269673,0.000219,-0.016636,-0.062425,-0.531122,1.146726,0.000615]"
Control,141031,"[-0.001198,-0.006272,0.020886,-0.011837,-0.023499,-0.018630,-0.001073,-0.002678,0.000574,-0.011026,-0.010999,0.010034,0.014298,-0.013995,0.091175,0.398362,1.269299,0.000242,-0.016625,-0.062108,-0.530047,1.153598,0.000612]"
Control,161028,"[-0.001218,-0.006246,0.020801,-0.011789,-0.023402,-0.018538,-0.001068,-0.002618,0.000571,-0.010996,-0.010947,0.009970,0.014240,-0.013931,0.089920,0.397556,1.268917,0.000241,-0.016557,-0.060927,-0.528377,1.160300,0.000656]"
Control,181030,"[-0.001188,-0.006245,0.020715,-0.011756,-0.023306,-0.018522,-0.001039,-0.002656,0.000569,-0.010936,-0.010902,0.009944,0.014156,-0.013933,0.087506,0.396712,1.268518,0.000240,-0.015993,-0.059421,-0.526507,1.162719,0.000619]"
Control,201159,"[-0.001183,-0.006244,0.020629,-0.011691,-0.023209,-0.018445,-0.001035,-0.002621,0.000567,-0.010906,-0.010856,0.009917,0.014122,-0.013828,0.085329,0.395837,1.268166,0.000239,-0.014671,-0.057678,-0.524926,1.163950,0.000593]"
Control,221142,"[-0.001203,-0.006242,0.020543,-0.011643,-0.023113,-0.018384,-0.001080,-0.002634,0.000564,-0.010876,-0.010805,0.009884,0.014039,-0.013666,0.082670,0.394981,1.267817,0.000226,-0.013522,-0.056342,-0.523139,1.164320,0.000625]"
Control,241150,"[-0.001198,-0.006216,0.020409,-0.011579,-0.023030,-0.018292,-0.001051,-0.002599,0.000513,-0.010846,-0.010766,0.009835,0.013956,-0.013545,0.080134,0.394074,1.267435,0.000225,-0.012309,-0.055103,-0.520976,1.163841,0.000623]"
