type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,1959,"[0.970674,-0.005860,0.008223,0.240189]","[0.003218,0.005313,-0.005101]","[-0.071826,0.043096,9.768343]",not_valid,not_valid
StateB,3579,"[0.970676,-0.005865,0.008227,0.240180]","[-0.012711,0.017098,-0.000840]","[0.000000,0.021548,9.804255]",not_valid,not_valid
StateB,5514,"[0.970673,-0.005856,0.008224,0.240193]","[0.012779,-0.001120,0.003783]","[-0.143652,0.035913,9.718064]",not_valid,not_valid
StateB,7358,"[0.970676,-0.005864,0.008212,0.240181]","[-0.029854,-0.006265,-0.002365]","[-0.093374,0.079009,9.710882]",not_valid,not_valid
StateB,9332,"[0.970680,-0.005862,0.008207,0.240162]","[0.000068,0.015979,-0.012553]","[-0.071826,0.007183,9.840169]",not_valid,not_valid
StateB,11296,"[0.970680,-0.005864,0.008219,0.240165]","[0.004302,0.009569,-0.006211]","[-0.201113,0.071826,9.840169]",not_valid,not_valid
StateB,13612,"[0.970679,-0.005861,0.008205,0.240167]","[-0.012738,0.010707,-0.005857]","[0.100556,-0.035913,9.797073]",not_valid,not_valid
StateB,15356,"[0.970685,-0.005860,0.008213,0.240143]","[-0.001038,0.006396,-0.006318]","[0.143652,0.014365,9.825804]",not_valid,not_valid
StateB,17522,"[0.970690,-0.005861,0.008208,0.240124]","[-0.003187,0.002144,-0.014840]","[-0.093374,0.021548,9.789890]",not_valid,not_valid
StateB,19387,"[0.970687,-0.005869,0.008217,0.240133]","[-0.013716,0.030952,-0.003754]","[-0.395043,0.021548,9.883265]",not_valid,not_valid
StateB,21481,"[0.970689,-0.005866,0.008224,0.240126]","[0.002185,0.012774,-0.005265]","[-0.280122,0.050278,9.789890]",not_valid,not_valid
StateB,23589,"[0.970690,-0.005879,0.008232,0.240122]","[-0.025434,0.031002,-0.004846]","[0.100556,0.064643,9.725247]",not_valid,not_valid
StateB,25605,"[0.970693,-0.005882,0.008227,0.240112]","[-0.008463,0.013884,-0.007460]","[0.014365,0.000000,9.746795]",not_valid,not_valid
StateB,27423,"[0.970693,-0.005880,0.008225,0.240109]","[0.004229,-0.007475,-0.017083]","[-0.265756,-0.014365,9.775525]",not_valid,not_valid
StateB,29580,"[0.970696,-0.005880,0.008215,0.240099]","[-0.006373,0.004288,0.004113]","[-0.301669,0.050278,9.718064]",not_valid,not_valid
StateB,31503,"[0.970699,-0.005882,0.008224,0.240087]","[-0.006324,0.016006,-0.011815]","[-0.244209,-0.014365,9.746795]",not_valid,not_valid
StateB,33572,"[0.970700,-0.005871,0.008237,0.240083]","[0.021386,0.019084,-0.004358]","[-0.136469,-0.007183,9.710882]",not_valid,not_valid
StateB,35381,"[0.970700,-0.005876,0.008243,0.240081]","[-0.010558,0.022416,-0.001170]","[0.079009,-0.079009,9.789890]",not_valid,not_valid
StateB,37437,"[0.970697,-0.005879,0.008248,0.240094]","[0.001124,0.013844,-0.002529]","[0.000000,0.129287,9.854534]",not_valid,not_valid
StateB,39347,"[0.970703,-0.005877,0.008235,0.240071]","[-0.005317,0.002153,-0.000957]","[-0.079009,0.035913,9.825804]",not_valid,not_valid
StateB,41567,"[0.970705,-0.005878,0.008236,0.240063]","[0.001124,0.013844,-0.007327]","[0.000000,0.050278,9.732430]",not_valid,not_valid
StateB,43565,"[0.970705,-0.005895,0.008248,0.240060]","[-0.026524,0.025678,0.005396]","[-0.158017,0.129287,9.797073]",not_valid,not_valid
StateB,45459,"[0.970710,-0.005899,0.008242,0.240041]","[0.003160,-0.008535,-0.010177]","[-0.028730,0.093374,9.825804]",not_valid,not_valid
StateB,47395,"[0.970708,-0.005896,0.008238,0.240047]","[-0.000009,-0.002131,-0.013138]","[0.028730,0.021548,9.789890]",not_valid,not_valid
StateB,49379,"[0.970712,-0.005892,0.008248,0.240033]","[-0.013772,0.018168,-0.001420]","[-0.014365,-0.007183,9.782708]",not_valid,not_valid
StateB,51423,"[0.970708,-0.005902,0.008252,0.240046]","[-0.013745,0.024559,0.006976]","[-0.114922,0.071826,9.789890]",not_valid,not_valid
StateB,53472,"[0.970710,-0.005908,0.008255,0.240041]","[-0.012711,0.017098,-0.010193]","[-0.014365,0.057461,9.832987]",not_valid,not_valid
