type,timestamp,positions
Control,2147,"[-0.001202,-0.005633,0.030705,-0.012016,-0.026292,-0.026713,0.000742,-0.002207,0.008590,-0.011153,-0.008525,0.006348,-0.003017,0.061342,0.084079,0.083457,1.248200,0.000259,0.048065,-0.030935,-0.309659,1.082419,0.000627]"
Control,22192,"[-0.001223,-0.005612,0.030589,-0.011971,-0.026192,-0.026612,0.000764,-0.002224,0.008583,-0.011111,-0.008479,0.006354,-0.003005,0.061313,0.085174,0.084075,1.243604,0.000258,0.047962,-0.032698,-0.309321,1.078422,0.000613]"
Control,42208,"[-0.001218,-0.005589,0.030491,-0.011938,-0.026088,-0.026659,0.000736,-0.002190,0.008574,-0.011082,-0.008424,0.006229,-0.003019,0.061206,0.085848,0.084820,1.238628,0.000257,0.047845,-0.034338,-0.308803,1.074757,0.000622]"
Control,62624,"[-0.001187,-0.005566,0.030416,-0.011889,-0.025995,-0.026611,0.000733,-0.002156,0.008539,-0.011115,-0.008369,0.006150,-0.002981,0.061142,0.086708,0.085657,1.233631,0.000233,0.047701,-0.036141,-0.308318,1.074411,0.000584]"
Control,82591,"[-0.001183,-0.005569,0.030318,-0.011825,-0.025945,-0.026549,0.000755,-0.002147,0.008479,-0.011086,-0.008342,0.006133,-0.002868,0.061063,0.087864,0.086267,1.228457,0.000232,0.047593,-0.038169,-0.307855,1.072656,0.000617]"
Control,102856,"[-0.001203,-0.005621,0.030244,-0.011792,-0.025811,-0.026470,0.000727,-0.002138,0.008419,-0.011040,-0.008341,0.006100,-0.002781,0.061000,0.088222,0.087006,1.222980,0.000231,0.047483,-0.040077,-0.307086,1.068388,0.000650]"
Control,122321,"[-0.001173,-0.005599,0.030123,-0.011730,-0.025682,-0.026380,0.000749,-0.002130,0.008386,-0.010981,-0.008308,0.006060,-0.002870,0.060955,0.088782,0.087717,1.217817,0.000253,0.047453,-0.041472,-0.306426,1.063950,0.000636]"
Control,142266,"[-0.001218,-0.005576,0.029976,-0.011682,-0.025591,-0.026287,0.000746,-0.002146,0.008351,-0.010967,-0.008287,0.006005,-0.002958,0.060926,0.088943,0.088418,1.211948,0.000252,0.047618,-0.043053,-0.305981,1.059295,0.000633]"
Control,162162,"[-0.001188,-0.005553,0.029902,-0.011650,-0.025486,-0.026180,0.000768,-0.002137,0.008317,-0.010938,-0.008227,0.005966,-0.002946,0.060922,0.089468,0.089143,1.204736,0.000240,0.047616,-0.044946,-0.305369,1.054611,0.000631]"
Control,182172,"[-0.001183,-0.005505,0.029729,-0.011586,-0.025414,-0.026064,0.000789,-0.002128,0.008283,-0.010892,-0.008186,0.005949,-0.002909,0.060902,0.089502,0.089858,1.196620,0.000250,0.047498,-0.046936,-0.304718,1.049711,0.000616]"
