type,timestamp,positions
Control,2870,"[-0.002301,-0.008190,0.036662,-0.012448,-0.022419,-0.027514,0.001560,-0.006784,0.014905,-0.012016,-0.004423,0.003105,0.014675,-0.061717,0.057269,0.112049,1.278206,0.000284,-0.077790,-0.033347,-0.305629,1.251515,0.000615]"
Control,22865,"[-0.002301,-0.008190,0.036662,-0.012464,-0.022405,-0.027499,0.001560,-0.006784,0.014905,-0.012048,-0.004409,0.003105,0.014675,-0.061376,0.057260,0.112062,1.278241,0.000284,-0.077389,-0.033313,-0.305642,1.251839,0.000627]"
Control,43053,"[-0.002317,-0.008182,0.036514,-0.012445,-0.022324,-0.027627,0.001579,-0.006731,0.014870,-0.011999,-0.004426,0.002992,0.014590,-0.059953,0.057859,0.111765,1.277935,0.000283,-0.076241,-0.033488,-0.305275,1.252462,0.000601]"
Control,63051,"[-0.002283,-0.008099,0.036342,-0.012395,-0.022304,-0.027562,0.001573,-0.006704,0.014785,-0.011967,-0.004449,0.002934,0.014582,-0.058846,0.058444,0.111391,1.277666,0.000281,-0.075533,-0.033999,-0.304938,1.255972,0.000634]"
Control,83047,"[-0.002273,-0.008091,0.036196,-0.012329,-0.022282,-0.027528,0.001541,-0.006677,0.014726,-0.011919,-0.004465,0.002869,0.014524,-0.057483,0.059004,0.111056,1.277380,0.000280,-0.074946,-0.034460,-0.304602,1.260742,0.000619]"
Control,102948,"[-0.002289,-0.008109,0.036075,-0.012280,-0.022240,-0.027455,0.001510,-0.006650,0.014666,-0.011871,-0.004488,0.002796,0.014465,-0.056154,0.059578,0.110671,1.277086,0.000279,-0.072927,-0.034885,-0.304426,1.263189,0.000641]"
Control,122952,"[-0.002305,-0.008076,0.035953,-0.012230,-0.022199,-0.027458,0.001503,-0.006623,0.014582,-0.011807,-0.004544,0.002716,0.014406,-0.054653,0.060171,0.110323,1.276809,0.000278,-0.070059,-0.034745,-0.304171,1.264282,0.000662]"
Control,142949,"[-0.002321,-0.008068,0.035782,-0.012211,-0.022190,-0.027421,0.001497,-0.006571,0.014547,-0.011774,-0.004532,0.002682,0.014472,-0.053060,0.060731,0.109975,1.276522,0.000277,-0.066769,-0.034352,-0.303942,1.263236,0.000671]"
Control,163072,"[-0.002311,-0.007985,0.035609,-0.012161,-0.022227,-0.027421,0.001466,-0.006469,0.014462,-0.011726,-0.004520,0.002664,0.014487,-0.051042,0.061336,0.109586,1.276234,0.000252,-0.062548,-0.033845,-0.303686,1.262057,0.000609]"
Control,182988,"[-0.002302,-0.007928,0.035439,-0.012095,-0.022250,-0.027436,0.001436,-0.006344,0.014403,-0.011616,-0.004528,0.002623,0.014403,-0.048892,0.061919,0.109253,1.275950,0.000275,-0.059138,-0.033539,-0.303433,1.260890,0.000584]"
Control,203237,"[-0.002292,-0.007820,0.035290,-0.012014,-0.022272,-0.027449,0.001454,-0.006243,0.014367,-0.011598,-0.004529,0.002589,0.014318,-0.047068,0.062502,0.108862,1.275660,0.000273,-0.054472,-0.033511,-0.303229,1.259704,0.000604]"
Control,222998,"[-0.002283,-0.007739,0.035096,-0.011965,-0.022260,-0.027425,0.001448,-0.006095,0.014284,-0.011550,-0.004537,0.002593,0.014235,-0.044848,0.063074,0.108491,1.275368,0.000272,-0.050815,-0.033085,-0.303041,1.258542,0.000602]"
Control,243147,"[-0.002273,-0.007633,0.034949,-0.011899,-0.022314,-0.027473,0.001442,-0.006045,0.014248,-0.011456,-0.004492,0.002568,0.014126,-0.043140,0.063677,0.108026,1.275072,0.000271,-0.046374,-0.033030,-0.302826,1.257382,0.000542]"
Control,263198,"[-0.002263,-0.007553,0.034778,-0.011849,-0.022313,-0.027461,0.001460,-0.005922,0.014164,-0.011423,-0.004486,0.002527,0.014067,-0.041298,0.064255,0.107627,1.274785,0.000270,-0.042600,-0.033143,-0.302650,1.256208,0.000552]"
Control,283056,"[-0.002254,-0.007473,0.034657,-0.011800,-0.022326,-0.027465,0.001454,-0.005825,0.014081,-0.011391,-0.004474,0.002495,0.013984,-0.039649,0.064828,0.107168,1.274477,0.000246,-0.038317,-0.033164,-0.302335,1.255012,0.000583]"
Control,302970,"[-0.002220,-0.007417,0.034464,-0.011750,-0.022351,-0.027466,0.001448,-0.005655,0.014046,-0.011313,-0.004462,0.002492,0.013925,-0.037880,0.065410,0.106671,1.274176,0.000268,-0.034203,-0.033593,-0.302110,1.253790,0.000581]"
Control,322988,"[-0.002235,-0.007314,0.034317,-0.011685,-0.022302,-0.027401,0.001466,-0.005391,0.013986,-0.011250,-0.004475,0.002459,0.013842,-0.036334,0.066019,0.105996,1.273890,0.000267,-0.031088,-0.034066,-0.301821,1.252522,0.000589]"
Control,343118,"[-0.002202,-0.007282,0.034123,-0.011650,-0.022265,-0.027363,0.001460,-0.005009,0.013903,-0.011216,-0.004476,0.002398,0.013807,-0.034939,0.066615,0.105198,1.273594,0.000266,-0.027174,-0.034558,-0.301569,1.251320,0.000598]"
