type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,1289,"[0.966571,-0.009069,0.014793,0.255811]","[0.004214,0.003258,-0.000780]","[-0.150835,-0.007183,9.797073]",not_valid,not_valid
StateB,1772,"[0.966578,-0.009060,0.014795,0.255787]","[0.001974,0.010683,-0.017243]","[-0.122104,-0.158017,9.710882]",not_valid,not_valid
StateB,1951,"[0.966572,-0.009063,0.014788,0.255809]","[-0.009602,0.000924,0.022621]","[-0.237026,-0.100556,9.718064]",not_valid,not_valid
StateB,2099,"[0.966569,-0.009078,0.014789,0.255820]","[-0.009805,0.014771,0.007708]","[-0.028730,-0.064643,9.768343]",not_valid,not_valid
StateB,2699,"[0.966570,-0.009059,0.014797,0.255816]","[0.016886,0.010902,0.013668]","[-0.495600,-0.057461,9.832987]",not_valid,not_valid
StateB,5476,"[0.966571,-0.009058,0.014797,0.255812]","[-0.002334,0.013816,-0.002749]","[-0.739808,-0.050278,9.825804]",not_valid,not_valid
StateB,6708,"[0.966570,-0.009069,0.014795,0.255816]","[-0.010792,0.009430,-0.013600]","[-0.567426,-0.201113,9.832987]",not_valid,not_valid
StateB,8617,"[0.966572,-0.009064,0.014789,0.255806]","[-0.002224,0.006360,0.011515]","[-0.545878,-0.071826,9.775525]",not_valid,not_valid
StateB,10511,"[0.966573,-0.009067,0.014781,0.255804]","[-0.003148,-0.003242,-0.022928]","[-0.459687,-0.086191,9.811439]",not_valid,not_valid
StateB,12457,"[0.966570,-0.009057,0.014781,0.255815]","[-0.001221,0.010636,0.006188]","[-0.430956,0.014365,9.797073]",not_valid,not_valid
StateB,14396,"[0.966569,-0.009057,0.014785,0.255820]","[0.014850,0.004479,-0.011921]","[0.043096,-0.114922,9.797073]",not_valid,not_valid
StateB,16578,"[0.966566,-0.009045,0.014773,0.255832]","[-0.006281,-0.007550,0.021514]","[0.043096,-0.107739,9.840169]",not_valid,not_valid
StateB,18438,"[0.966564,-0.009040,0.014772,0.255840]","[0.006188,0.013941,0.011958]","[-0.093374,-0.158017,9.775525]",not_valid,not_valid
StateB,20605,"[0.966567,-0.009030,0.014770,0.255831]","[0.004292,-0.002068,-0.003734]","[0.079009,-0.021548,9.703699]",not_valid,not_valid
StateB,22424,"[0.966565,-0.009025,0.014754,0.255838]","[0.003289,-0.006344,0.006785]","[-0.193930,-0.093374,9.897630]",not_valid,not_valid
StateB,24846,"[0.966566,-0.009022,0.014746,0.255834]","[-0.007534,0.005216,-0.013872]","[-0.316035,-0.158017,9.797073]",not_valid,not_valid
StateB,26575,"[0.966567,-0.009022,0.014739,0.255829]","[-0.009571,-0.001206,-0.005350]","[-0.129287,-0.043096,9.581595]",not_valid,not_valid
StateB,28661,"[0.966564,-0.009015,0.014745,0.255842]","[0.000768,0.020253,0.014221]","[-0.100556,-0.014365,9.768343]",not_valid,not_valid
StateB,30545,"[0.966564,-0.009010,0.014741,0.255843]","[0.006547,-0.010558,0.016999]","[-0.244209,-0.071826,9.682152]",not_valid,not_valid
StateB,32657,"[0.966566,-0.009008,0.014741,0.255837]","[-0.002208,0.005294,-0.021368]","[-0.050278,-0.079009,9.746795]",not_valid,not_valid
StateB,34582,"[0.966566,-0.009010,0.014749,0.255833]","[0.006141,0.017136,0.001405]","[-0.158017,0.000000,9.854534]",not_valid,not_valid
StateB,36573,"[0.966567,-0.009012,0.014744,0.255831]","[-0.003117,-0.005373,-0.003379]","[-0.251391,0.043096,9.804255]",not_valid,not_valid
StateB,38595,"[0.966569,-0.009002,0.014752,0.255825]","[0.012469,0.021491,0.001336]","[-0.344765,0.035913,9.753978]",not_valid,not_valid
StateB,40593,"[0.966572,-0.009009,0.014750,0.255813]","[-0.011810,0.006219,0.003449]","[-0.114922,-0.064643,9.746795]",not_valid,not_valid
StateB,42629,"[0.966568,-0.008999,0.014751,0.255827]","[0.015837,0.009820,0.006494]","[-0.395043,-0.158017,9.653421]",not_valid,not_valid
StateB,44750,"[0.966569,-0.009012,0.014752,0.255824]","[-0.034287,0.013348,-0.016912]","[-0.208296,-0.114922,9.631873]",not_valid,not_valid
StateB,46660,"[0.966573,-0.009019,0.014745,0.255809]","[-0.005357,0.002052,-0.012651]","[-0.215478,-0.201113,9.710882]",not_valid,not_valid
StateB,48659,"[0.966574,-0.009021,0.014744,0.255803]","[-0.005575,0.016964,-0.000113]","[-0.093374,-0.158017,9.725247]",not_valid,not_valid
StateB,50678,"[0.966577,-0.009021,0.014737,0.255794]","[-0.001959,-0.011748,-0.015122]","[-0.107739,-0.150835,9.710882]",not_valid,not_valid
StateB,52629,"[0.966575,-0.009018,0.014729,0.255801]","[-0.013816,-0.002333,0.012422]","[0.021548,-0.035913,9.710882]",not_valid,not_valid
StateB,54604,"[0.966575,-0.009026,0.014721,0.255803]","[-0.011763,0.003024,0.022237]","[-0.014365,-0.079009,9.797073]",not_valid,not_valid
StateB,56727,"[0.966577,-0.009015,0.014715,0.255794]","[0.007628,-0.011607,-0.012464]","[0.007183,-0.208296,9.854534]",not_valid,not_valid
StateB,58686,"[0.966579,-0.009005,0.014715,0.255787]","[0.007315,0.009696,0.020845]","[0.136469,-0.222661,9.768343]",not_valid,not_valid
StateB,60810,"[0.966574,-0.009025,0.014713,0.255807]","[-0.014066,0.014709,0.012869]","[-0.337582,-0.172383,9.854534]",not_valid,not_valid
StateB,62558,"[0.966574,-0.009023,0.014708,0.255808]","[-0.014896,-0.001284,0.016072]","[-0.380678,-0.150835,9.876082]",not_valid,not_valid
StateB,64731,"[0.966572,-0.009016,0.014699,0.255813]","[-0.005388,0.004182,0.006485]","[-0.459687,-0.251391,9.804255]",not_valid,not_valid
StateB,66618,"[0.966570,-0.009027,0.014709,0.255823]","[-0.009837,0.016901,0.009852]","[-0.531513,-0.265756,9.876082]",not_valid,not_valid
StateB,68663,"[0.966561,-0.009012,0.014710,0.255857]","[0.031923,0.002599,0.020385]","[-0.459687,-0.280122,9.782708]",not_valid,not_valid
StateB,70572,"[0.966561,-0.009024,0.014704,0.255858]","[-0.031124,0.015523,0.015968]","[-0.502782,-0.079009,9.703699]",not_valid,not_valid
StateB,72591,"[0.966554,-0.009017,0.014699,0.255882]","[0.012892,-0.007268,0.029983]","[-0.165200,-0.158017,9.761160]",not_valid,not_valid
StateB,74551,"[0.966543,-0.009026,0.014696,0.255925]","[-0.008709,0.012657,0.036919]","[-0.172383,-0.114922,9.725247]",not_valid,not_valid
StateB,76816,"[0.966539,-0.009029,0.014698,0.255940]","[-0.001159,0.006375,0.027244]","[-0.287304,-0.136469,9.811439]",not_valid,not_valid
StateB,78545,"[0.966530,-0.009036,0.014690,0.255972]","[-0.009759,0.011576,0.014584]","[-0.050278,-0.093374,9.746795]",not_valid,not_valid
StateB,80875,"[0.966526,-0.009027,0.014693,0.255987]","[0.015883,0.006626,0.020431]","[-0.093374,-0.136469,9.818622]",not_valid,not_valid
StateB,82499,"[0.966520,-0.009041,0.014690,0.256009]","[-0.016181,0.013612,0.018301]","[-0.086191,-0.107739,9.861717]",not_valid,not_valid
StateB,84728,"[0.966514,-0.009037,0.014693,0.256033]","[0.005216,0.007534,0.017532]","[-0.021548,-0.107739,9.725247]",not_valid,not_valid
StateB,86556,"[0.966510,-0.009038,0.014696,0.256047]","[-0.014050,0.013644,0.011303]","[-0.071826,-0.215478,9.725247]",not_valid,not_valid
StateB,88773,"[0.966501,-0.009031,0.014694,0.256084]","[0.009508,0.005466,0.029674]","[-0.007183,-0.057461,9.753978]",not_valid,not_valid
StateB,90527,"[0.966501,-0.009045,0.014706,0.256083]","[-0.010949,0.020081,0.031046]","[-0.035913,-0.064643,9.832987]",not_valid,not_valid
StateB,92651,"[0.966489,-0.009040,0.014703,0.256126]","[0.004151,0.007519,0.038740]","[-0.021548,-0.129287,9.739613]",not_valid,not_valid
StateB,94567,"[0.966486,-0.009034,0.014718,0.256137]","[0.008177,0.023559,0.022672]","[0.007183,0.021548,9.811439]",not_valid,not_valid
