type,timestamp,positions
Control,4244,"[-0.000895,-0.008420,0.025081,-0.012639,-0.021243,-0.020550,0.000102,-0.006119,0.003068,-0.011632,-0.007344,0.008520,-0.002736,0.115978,0.074228,0.210720,0.487235,0.000259,0.087710,-0.131863,-0.026474,0.340263,0.000615]"
Control,24403,"[-0.000895,-0.008420,0.025081,-0.012639,-0.021243,-0.020550,0.000077,-0.006119,0.003068,-0.011632,-0.007351,0.008527,-0.002736,0.115969,0.073819,0.210734,0.488530,0.000272,0.087710,-0.131402,-0.026488,0.341251,0.000579]"
Control,44354,"[-0.000891,-0.008361,0.025006,-0.012589,-0.021078,-0.020731,0.000077,-0.006044,0.003030,-0.011602,-0.007287,0.008347,-0.002699,0.115691,0.073395,0.210661,0.493824,0.000258,0.087377,-0.130280,-0.027949,0.346752,0.000625]"
Control,64377,"[-0.000862,-0.008175,0.024906,-0.012523,-0.021008,-0.020725,0.000127,-0.005791,0.003069,-0.011555,-0.007244,0.008298,-0.002688,0.114591,0.072424,0.211332,0.506971,0.000257,0.086747,-0.129585,-0.029631,0.362058,0.000646]"
Control,84317,"[-0.000859,-0.008041,0.024806,-0.012472,-0.020999,-0.020726,0.000051,-0.005338,0.003006,-0.011509,-0.007242,0.008265,-0.002501,0.113752,0.072499,0.211151,0.522492,0.000269,0.086390,-0.129116,-0.031066,0.378045,0.000620]"
Control,104269,"[-0.000881,-0.008009,0.024680,-0.012406,-0.021003,-0.020711,0.000076,-0.005015,0.003019,-0.011462,-0.007260,0.008269,-0.002491,0.112046,0.072099,0.210865,0.540053,0.000244,0.086017,-0.128125,-0.032556,0.402258,0.000629]"
Control,124481,"[-0.000877,-0.007951,0.024579,-0.012355,-0.021018,-0.020709,0.000075,-0.004819,0.003032,-0.011384,-0.007251,0.008303,-0.002506,0.110656,0.070378,0.210816,0.563890,0.000243,0.085665,-0.127224,-0.034078,0.425044,0.000614]"
Control,144300,"[-0.000873,-0.007894,0.024479,-0.012290,-0.020974,-0.020671,0.000075,-0.004600,0.003019,-0.011338,-0.007330,0.008330,-0.002570,0.109789,0.069071,0.210729,0.584098,0.000242,0.085353,-0.125960,-0.035583,0.455429,0.000624]"
Control,164344,"[-0.000895,-0.007836,0.024304,-0.012255,-0.020982,-0.020706,0.000025,-0.004531,0.002932,-0.011307,-0.007366,0.008371,-0.002485,0.109545,0.066942,0.210524,0.609003,0.000241,0.085045,-0.124821,-0.037092,0.481621,0.000609]"
Control,184260,"[-0.000866,-0.007804,0.024180,-0.012189,-0.020990,-0.020681,0.000050,-0.004389,0.002920,-0.011261,-0.007403,0.008426,-0.002475,0.109459,0.065210,0.210438,0.629994,0.000228,0.085277,-0.123799,-0.038591,0.505805,0.000631]"
Control,204302,"[-0.000887,-0.007772,0.024080,-0.012154,-0.021016,-0.020648,0.000074,-0.004371,0.002933,-0.011199,-0.007432,0.008443,-0.002736,0.109256,0.063763,0.210351,0.652776,0.000250,0.085608,-0.122905,-0.040241,0.537675,0.000616]"
