type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,748,"[0.967152,-0.008899,0.015319,0.253581]","[-0.001042,0.008525,-0.000307]","[-0.531513,-0.136469,9.775525]",not_valid,not_valid
StateB,2532,"[0.967155,-0.008911,0.015329,0.253569]","[-0.007416,0.014934,0.013218]","[-0.430956,-0.035913,9.768343]",not_valid,not_valid
StateB,2764,"[0.967149,-0.008909,0.015326,0.253593]","[0.002145,0.005320,0.009392]","[-0.337582,-0.028730,9.789890]",not_valid,not_valid
StateB,2942,"[0.967149,-0.008905,0.015321,0.253591]","[-0.007468,-0.004241,-0.001307]","[-0.107739,-0.035913,9.825804]",not_valid,not_valid
StateB,3086,"[0.967151,-0.008914,0.015331,0.253582]","[-0.002084,0.017050,-0.007699]","[-0.258574,-0.079009,9.789890]",not_valid,not_valid
StateB,4019,"[0.967152,-0.008900,0.015328,0.253579]","[-0.004287,-0.009576,0.012676]","[-0.143652,-0.043096,9.746795]",not_valid,not_valid
StateB,5271,"[0.967146,-0.008905,0.015329,0.253602]","[-0.003143,0.019183,0.010197]","[-0.150835,-0.064643,9.718064]",not_valid,not_valid
StateB,7708,"[0.967152,-0.008906,0.015326,0.253579]","[0.001045,-0.007460,-0.018269]","[-0.136469,-0.100556,9.818622]",not_valid,not_valid
StateB,8791,"[0.967148,-0.008905,0.015322,0.253596]","[0.002145,0.005320,0.012343]","[-0.344765,-0.079009,9.703699]",not_valid,not_valid
StateB,10733,"[0.967152,-0.008908,0.015323,0.253581]","[0.008519,-0.001088,-0.005494]","[-0.265756,-0.093374,9.761160]",not_valid,not_valid
StateB,13004,"[0.967152,-0.008913,0.015324,0.253580]","[-0.019123,0.019227,-0.000351]","[-0.438139,-0.043096,9.746795]",not_valid,not_valid
StateB,14831,"[0.967153,-0.008895,0.015323,0.253576]","[0.011718,-0.000032,0.010302]","[-0.351948,-0.129287,9.660604]",not_valid,not_valid
StateB,17108,"[0.967144,-0.008890,0.015322,0.253611]","[0.011744,0.009555,0.017501]","[-0.395043,-0.007183,9.732430]",not_valid,not_valid
StateB,18895,"[0.967146,-0.008903,0.015322,0.253605]","[-0.031940,0.006479,-0.005230]","[-0.445322,-0.143652,9.775525]",not_valid,not_valid
StateB,21182,"[0.967146,-0.008885,0.015323,0.253604]","[0.016008,0.010609,0.000452]","[-0.244209,-0.057461,9.782708]",not_valid,not_valid
