type,timestamp,positions
CONTROL,7.089925929903984,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20088.048884645104,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40156.13789670169,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60213.770950213075,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80271.24404907227,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100327.95509323478,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120383.76601412892,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140457.4429616332,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160517.19896495342,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180528.64307537675,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200589.26101773977,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220648.46591092646,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240708.1420533359,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260767.73810200393,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280824.44006577134,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300880.9119928628,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320909.1010503471,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,340972.461970523,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361031.67687542737,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381087.8680087626,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401146.2319176644,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421205.8780249208,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441271.52394503355,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461330.45898750424,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481387.5008840114,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501446.40589132905,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521505.46107441187,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541567.6611009985,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561626.0450333357,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581681.7660816014,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601737.2249625623,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621797.441970557,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641859.0110260993,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,661918.9479388297,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,681975.5090400577,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702030.7390484959,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722087.9208762199,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742154.90790084,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762213.2520191371,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782273.9800903946,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802331.5630853176,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822394.82505247,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842461.4309333265,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862521.0069585592,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882577.4379074574,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902636.073064059,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922700.3559935838,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942766.031017527,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962825.7970325649,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982882.4989963323,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1002940.451959148,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023027.4889618158,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043110.6900796294,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063176.736002788,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083236.973034218,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103291.871957481,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123352.2989787161,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143415.2300935239,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163478.6820504814,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183540.211059153,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203595.8010237664,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223654.1348975152,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
