type,timestamp,positions
CONTROL,32.42795355618,"[-0.15, -0.051, 0.548, 0.147, 0.054, 0.455]"
CONTROL,20113.0339410156,"[-0.147, -0.048, 0.551, 0.15, 0.051, 0.452]"
CONTROL,40171.09703272581,"[-0.144, -0.045, 0.554, 0.147, 0.048, 0.449]"
CONTROL,60237.902915105224,"[-0.141, -0.042, 0.557, 0.144, 0.045, 0.446]"
CONTROL,80311.5488961339,"[-0.138, -0.039, 0.56, 0.141, 0.042, 0.443]"
CONTROL,100371.33400328457,"[-0.135, -0.036, 0.563, 0.138, 0.039, 0.44]"
CONTROL,120430.7188745588,"[-0.132, -0.033, 0.566, 0.135, 0.036, 0.437]"
CONTROL,140498.55689518154,"[-0.129, -0.03, 0.569, 0.132, 0.033, 0.434]"
CONTROL,160559.07285772264,"[-0.126, -0.027, 0.572, 0.129, 0.03, 0.431]"
CONTROL,180617.69707128406,"[-0.123, -0.024, 0.575, 0.126, 0.027, 0.428]"
CONTROL,200674.60788413882,"[-0.12, -0.021, 0.578, 0.123, 0.024, 0.425]"
CONTROL,220732.52103291452,"[-0.117, -0.018, 0.581, 0.12, 0.021, 0.422]"
CONTROL,240789.5119395107,"[-0.114, -0.015, 0.584, 0.117, 0.018, 0.419]"
CONTROL,260851.38996131718,"[-0.111, -0.012, 0.587, 0.114, 0.015, 0.416]"
CONTROL,280911.0558591783,"[-0.108, -0.009, 0.59, 0.111, 0.012, 0.413]"
CONTROL,300966.1838877946,"[-0.105, -0.006, 0.593, 0.108, 0.009, 0.41]"
CONTROL,321022.393880412,"[-0.102, -0.003, 0.596, 0.105, 0.006, 0.407]"
CONTROL,341078.1240090728,"[-0.099, 0.0, 0.599, 0.102, 0.003, 0.404]"
CONTROL,361136.67697645724,"[-0.096, 0.003, 0.602, 0.099, 0.0, 0.401]"
CONTROL,381193.698849529,"[-0.093, 0.006, 0.605, 0.096, -0.003, 0.398]"
CONTROL,401250.6199069321,"[-0.09, 0.009, 0.608, 0.093, -0.006, 0.395]"
CONTROL,421308.20197053254,"[-0.087, 0.012, 0.611, 0.09, -0.009, 0.392]"
CONTROL,441365.07296934724,"[-0.084, 0.015, 0.614, 0.087, -0.012, 0.389]"
CONTROL,461423.35585318506,"[-0.081, 0.018, 0.617, 0.084, -0.015, 0.386]"
CONTROL,481480.64804263413,"[-0.078, 0.021, 0.62, 0.081, -0.018, 0.383]"
CONTROL,501537.85897418857,"[-0.075, 0.024, 0.623, 0.078, -0.021, 0.38]"
CONTROL,521593.0880513042,"[-0.072, 0.027, 0.626, 0.075, -0.024, 0.377]"
CONTROL,541650.9909555316,"[-0.069, 0.03, 0.629, 0.072, -0.027, 0.374]"
CONTROL,561707.3110770434,"[-0.066, 0.033, 0.632, 0.069, -0.03, 0.371]"
CONTROL,581764.382077381,"[-0.063, 0.036, 0.635, 0.066, -0.033, 0.368]"
CONTROL,601820.9829926491,"[-0.06, 0.039, 0.638, 0.063, -0.036, 0.365]"
CONTROL,621877.1329149604,"[-0.057, 0.042, 0.641, 0.06, -0.039, 0.362]"
CONTROL,641934.0139254928,"[-0.054, 0.045, 0.644, 0.057, -0.042, 0.359]"
CONTROL,661992.9380249232,"[-0.051, 0.048, 0.647, 0.054, -0.045, 0.356]"
CONTROL,682050.5599025637,"[-0.048, 0.051, 0.65, 0.051, -0.048, 0.353]"
CONTROL,702107.8818943352,"[-0.045, 0.054, 0.647, 0.048, -0.051, 0.35]"
CONTROL,722165.3440501541,"[-0.042, 0.057, 0.644, 0.045, -0.054, 0.353]"
CONTROL,742223.717039451,"[-0.039, 0.06, 0.641, 0.042, -0.057, 0.356]"
CONTROL,762287.7890244126,"[-0.036, 0.063, 0.638, 0.039, -0.06, 0.359]"
CONTROL,782356.2580160797,"[-0.033, 0.066, 0.635, 0.036, -0.063, 0.362]"
CONTROL,802414.5509116352,"[-0.03, 0.069, 0.632, 0.033, -0.066, 0.365]"
CONTROL,822469.2288786173,"[-0.027, 0.072, 0.629, 0.03, -0.069, 0.368]"
CONTROL,842525.830026716,"[-0.024, 0.075, 0.626, 0.027, -0.072, 0.371]"
CONTROL,862584.4430644065,"[-0.021, 0.078, 0.623, 0.024, -0.075, 0.374]"
CONTROL,882640.5128929764,"[-0.018, 0.081, 0.62, 0.021, -0.078, 0.377]"
CONTROL,902699.7380424291,"[-0.015, 0.084, 0.617, 0.018, -0.081, 0.38]"
CONTROL,922757.3699317873,"[-0.012, 0.087, 0.614, 0.015, -0.084, 0.383]"
CONTROL,942816.7948499322,"[-0.009, 0.09, 0.611, 0.012, -0.087, 0.386]"
CONTROL,962876.2600477785,"[-0.006, 0.093, 0.608, 0.009, -0.09, 0.389]"
CONTROL,982936.2649470568,"[-0.003, 0.096, 0.605, 0.006, -0.093, 0.392]"
CONTROL,1002994.2679684609,"[0.0, 0.099, 0.602, 0.003, -0.096, 0.395]"
CONTROL,1023078.4700252116,"[0.003, 0.102, 0.599, 0.0, -0.099, 0.398]"
CONTROL,1043135.1810693741,"[0.006, 0.105, 0.596, -0.003, -0.102, 0.401]"
CONTROL,1063194.5258937776,"[0.009, 0.108, 0.593, -0.006, -0.105, 0.404]"
CONTROL,1083252.2879354656,"[0.012, 0.111, 0.59, -0.009, -0.108, 0.407]"
CONTROL,1103310.2408982813,"[0.015, 0.114, 0.587, -0.012, -0.111, 0.41]"
CONTROL,1123366.872081533,"[0.018, 0.117, 0.584, -0.015, -0.114, 0.413]"
CONTROL,1143425.6748761982,"[0.021, 0.12, 0.581, -0.018, -0.117, 0.416]"
CONTROL,1163484.3989741057,"[0.024, 0.123, 0.578, -0.021, -0.12, 0.419]"
CONTROL,1183541.361009702,"[0.027, 0.126, 0.575, -0.024, -0.123, 0.422]"
CONTROL,1203599.2229357362,"[0.03, 0.129, 0.572, -0.027, -0.126, 0.425]"
CONTROL,1223655.4939299822,"[0.033, 0.132, 0.569, -0.03, -0.129, 0.428]"
CONTROL,1243713.326053694,"[0.036, 0.135, 0.566, -0.033, -0.132, 0.431]"
CONTROL,1263772.3800726235,"[0.039, 0.138, 0.563, -0.036, -0.135, 0.434]"
CONTROL,1283829.4808752835,"[0.042, 0.141, 0.56, -0.039, -0.138, 0.437]"
CONTROL,1303887.3039186,"[0.045, 0.144, 0.557, -0.042, -0.141, 0.44]"
CONTROL,1323943.1739784777,"[0.048, 0.147, 0.554, -0.045, -0.144, 0.443]"
CONTROL,1344003.3888909966,"[0.051, 0.15, 0.551, -0.048, -0.147, 0.446]"
CONTROL,1364068.3230478317,"[0.054, 0.147, 0.548, -0.051, -0.15, 0.449]"
CONTROL,1384126.3649519533,"[0.057, 0.144, 0.545, -0.054, -0.147, 0.452]"
CONTROL,1404186.0508732498,"[0.06, 0.141, 0.542, -0.057, -0.144, 0.455]"
CONTROL,1424242.1800736338,"[0.063, 0.138, 0.539, -0.06, -0.141, 0.458]"
CONTROL,1444299.6429279447,"[0.066, 0.135, 0.536, -0.063, -0.138, 0.461]"
CONTROL,1464357.8859977424,"[0.069, 0.132, 0.533, -0.066, -0.135, 0.464]"
CONTROL,1484414.004953578,"[0.072, 0.129, 0.53, -0.069, -0.132, 0.467]"
CONTROL,1504472.2990132868,"[0.075, 0.126, 0.527, -0.072, -0.129, 0.47]"
CONTROL,1524528.549052775,"[0.078, 0.123, 0.524, -0.075, -0.126, 0.473]"
CONTROL,1544586.5020155907,"[0.081, 0.12, 0.521, -0.078, -0.123, 0.476]"
CONTROL,1564643.8039839268,"[0.084, 0.117, 0.518, -0.081, -0.12, 0.479]"
CONTROL,1584702.3569513112,"[0.087, 0.114, 0.515, -0.084, -0.117, 0.482]"
CONTROL,1604763.6249568313,"[0.09, 0.111, 0.512, -0.087, -0.114, 0.485]"
CONTROL,1624819.5238877088,"[0.093, 0.108, 0.509, -0.09, -0.111, 0.488]"
CONTROL,1644873.390905559,"[0.096, 0.105, 0.506, -0.093, -0.108, 0.491]"
CONTROL,1664932.1550503373,"[0.099, 0.102, 0.503, -0.096, -0.105, 0.494]"
CONTROL,1684990.4679693282,"[0.102, 0.099, 0.5, -0.099, -0.102, 0.497]"
CONTROL,1705050.1729827374,"[0.105, 0.096, 0.497, -0.102, -0.099, 0.5]"
