type,timestamp,positions,velocities,torques
STATE_MOTOR,32.42795355618,"[-0.1418932228794218, -0.047553404424454875, 0.6013204688511713, 0.14419419406125028, 0.047553404424454875, 0.45683930942895085]","[0, 0, 0, 0, 0, 0]","[1, 0, 10, 0, 1, 1]"
STATE_MOTOR,20113.0339410156,"[-0.1418932228794218, -0.047553404424454875, 0.6013204688511713, 0.14419419406125028, 0.047553404424454875, 0.45683930942895085]","[0, 0, 0, 0, 0, 0]","[1, 0, 10, 0, 0, 1]"
STATE_MOTOR,40171.09703272581,"[-0.1418932228794218, -0.047553404424454875, 0.6013204688511713, 0.14419419406125028, 0.047553404424454875, 0.45683930942895085]","[0, 0, 0, 0, 0, 0]","[0, 0, 8, 1, 0, 2]"
STATE_MOTOR,60237.902915105224,"[-0.1418932228794218, -0.04601942363656923, 0.6013204688511713, 0.14419419406125028, 0.047553404424454875, 0.4555112881806109]","[0, 0, 0, 0, 0, -50]","[1, 0, 7, 0, 0, 0]"
STATE_MOTOR,80311.5488961339,"[-0.1418932228794218, -0.04295146206079795, 0.6013204688511713, 0.14419419406125028, 0.047553404424454875, 0.4535192563081009]","[0, 150, 0, 0, 0, -150]","[1, 0, 6, 0, 1, 1]"
STATE_MOTOR,100371.33400328457,"[-0.1418932228794218, -0.04141748127291231, 0.6013204688511713, 0.14419419406125028, 0.047553404424454875, 0.45086321381142097]","[0, 0, 0, 0, 0, -150]","[1, 0, 7, 1, 1, 0]"
STATE_MOTOR,120430.7188745588,"[-0.1418932228794218, -0.03681553890925539, 0.6013204688511713, 0.14419419406125028, 0.047553404424454875, 0.44754316069057104]","[0, 100, 0, 0, 0, -200]","[0, 0, 5, 1, 1, 1]"
STATE_MOTOR,140498.55689518154,"[-0.1418932228794218, -0.0337475773334841, 0.6013204688511713, 0.14419419406125028, 0.047553404424454875, 0.4455511288180611]","[0, 150, 0, 0, 0, -200]","[1, 0, 5, 1, 1, 1]"
STATE_MOTOR,160559.07285772264,"[-0.1418932228794218, -0.032213596545598466, 0.6013204688511713, 0.14419419406125028, 0.044485442848683596, 0.44289508632138114]","[0, 100, 0, 0, -50, -200]","[1, 0, 4, 1, 1, 1]"
STATE_MOTOR,180617.69707128406,"[-0.1418932228794218, -0.02914563496982718, 0.6013204688511713, 0.14419419406125028, 0.04141748127291231, 0.4402390438247012]","[0, 50, 0, 0, -50, -200]","[1, 0, 4, 2, 0, 1]"
STATE_MOTOR,200674.60788413882,"[-0.14035924209153616, -0.026077673394055898, 0.6013204688511713, 0.14419419406125028, 0.03988350048502667, 0.43758300132802125]","[0, 100, 0, 0, -100, -200]","[2, 0, 3, 2, 1, 2]"
STATE_MOTOR,220732.52103291452,"[-0.1372912805157649, -0.02454369260617026, 0.6013204688511713, 0.14266021327336462, 0.03681553890925539, 0.4349269588313413]","[100, 100, 0, -50, -100, -200]","[2, 0, 2, 2, 1, 1]"
STATE_MOTOR,240789.5119395107,"[-0.1342233189399936, -0.021475731030398976, 0.6013204688511713, 0.14266021327336462, 0.0337475773334841, 0.4316069057104914]","[100, 50, 0, 0, -50, -200]","[1, 0, 2, 3, 1, 1]"
STATE_MOTOR,260851.38996131718,"[-0.13115535736422232, -0.015339807878856412, 0.6013204688511713, 0.14112623248547898, 0.032213596545598466, 0.42828685258964144]","[50, 150, 0, -50, -100, -250]","[2, 0, 1, 3, 0, 1]"
STATE_MOTOR,280911.0558591783,"[-0.12655341500056538, -0.01380582709097077, 0.6013204688511713, 0.1380582709097077, 0.02914563496982718, 0.4256308100929615]","[150, 150, 0, -100, -100, -200]","[0, 0, 2, 2, 1, 1]"
STATE_MOTOR,300966.1838877946,"[-0.12348545342479411, -0.010737865515199488, 0.6013204688511713, 0.13652429012182207, 0.026077673394055898, 0.42297476759628155]","[100, 50, 0, -50, -100, -250]","[1, 0, 1, 3, 1, 1]"
STATE_MOTOR,321022.393880412,"[-0.11888351106113719, -0.006135923151542565, 0.602854449639057, 0.13345632854605077, 0.023009711818284616, 0.4209827357237716]","[150, 100, 50, -100, -100, -200]","[0, 0, 0, 3, 1, 1]"
STATE_MOTOR,341078.1240090728,"[-0.1158155494853659, -0.0030679615757712823, 0.602854449639057, 0.1303883669702795, 0.019941750242513333, 0.41766268260292166]","[100, 150, 0, -100, -100, -150]","[0, 0, 1, 2, 1, 1]"
STATE_MOTOR,361136.67697645724,"[-0.11428156869748027, -0.0015339807878856412, 0.602854449639057, 0.12885438618239387, 0.01687378866674205, 0.41434262948207173]","[100, 100, 0, -50, -50, -250]","[1, 0, 0, 3, 1, 0]"
STATE_MOTOR,381193.698849529,"[-0.11121360712170898, 0.0015339807878856412, 0.602854449639057, 0.12425244381873693, 0.01380582709097077, 0.4110225763612218]","[100, 50, 0, -150, -100, -250]","[1, 0, 1, 2, 0, 1]"
STATE_MOTOR,401250.6199069321,"[-0.1081456455459377, 0.0046019423636569235, 0.6043884304269426, 0.12118448224296564, 0.010737865515199488, 0.40836653386454186]","[50, 100, 0, -100, -100, -250]","[0, 0, 0, 2, 1, 1]"
