type,timestamp,positions
CONTROL,7.642200216650963,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20092.16509759426,"[0.0048, 0.00576, 0.50672, 0.00768, 0.00864, 0.5096]"
CONTROL,40154.98515218496,"[0.0096, 0.01152, 0.51344, 0.01536, 0.01728, 0.5192]"
CONTROL,60215.061996132135,"[0.0144, 0.01728, 0.52016, 0.02304, 0.02592, 0.5288]"
CONTROL,80281.08719736338,"[0.0192, 0.02304, 0.52688, 0.03072, 0.03456, 0.5384]"
CONTROL,100343.22715364397,"[0.024, 0.0288, 0.5336, 0.0384, 0.0368, 0.532]"
CONTROL,120410.06400249898,"[0.0288, 0.03456, 0.53968, 0.03392, 0.02816, 0.5224]"
CONTROL,140469.28915195167,"[0.0336, 0.03968, 0.53296, 0.02624, 0.01952, 0.5128]"
CONTROL,160531.50920197368,"[0.0384, 0.03392, 0.52624, 0.01856, 0.01088, 0.5032]"
CONTROL,180593.2680144906,"[0.0368, 0.02816, 0.51952, 0.01088, 0.00224, 0.4936]"
CONTROL,200652.62308344245,"[0.032, 0.0224, 0.5128, 0.0032, -0.0064, 0.484]"
CONTROL,220714.352093637,"[0.0272, 0.01664, 0.50608, -0.00448, -0.01504, 0.4744]"
CONTROL,240773.27712439,"[0.0224, 0.01088, 0.49936, -0.01216, -0.02368, 0.4648]"
CONTROL,260830.60004748404,"[0.0176, 0.00512, 0.49264, -0.01984, -0.03232, 0.4648]"
CONTROL,280891.4880733937,"[0.0128, -0.00064, 0.48592, -0.02752, -0.03904, 0.4744]"
CONTROL,300966.14616923034,"[0.008, -0.0064, 0.4792, -0.0352, -0.0304, 0.484]"
CONTROL,321026.4730732888,"[0.0032, -0.01216, 0.47248, -0.03712, -0.02176, 0.4936]"
CONTROL,341087.67099678516,"[-0.0016, -0.01792, 0.46576, -0.02944, -0.01312, 0.5032]"
CONTROL,361147.80814386904,"[-0.0064, -0.02368, 0.46096, -0.02176, -0.00448, 0.5128]"
CONTROL,381208.6461111903,"[-0.0112, -0.02944, 0.46768, -0.01408, 0.00416, 0.5224]"
CONTROL,401272.5281063467,"[-0.016, -0.0352, 0.4744, -0.0064, 0.0128, 0.532]"
CONTROL,421331.80308155715,"[-0.0208, -0.03904, 0.48112, 0.00128, 0.02144, 0.5384]"
CONTROL,441388.325067237,"[-0.0256, -0.03328, 0.48784, 0.00896, 0.03008, 0.5288]"
CONTROL,461448.0510354042,"[-0.0304, -0.02752, 0.49456, 0.01664, 0.03872, 0.5192]"
CONTROL,481508.12718085945,"[-0.0352, -0.02176, 0.50128, 0.02432, 0.03264, 0.5096]"
CONTROL,501567.28201545775,"[-0.04, -0.016, 0.508, 0.032, 0.024, 0.5]"
CONTROL,521625.18608383834,"[-0.0352, -0.01024, 0.51472, 0.03968, 0.01536, 0.4904]"
CONTROL,541684.8920285702,"[-0.0304, -0.00448, 0.52144, 0.03264, 0.00672, 0.4808]"
CONTROL,561745.3290615231,"[-0.0256, 0.00128, 0.52816, 0.02496, -0.00192, 0.4712]"
CONTROL,581805.3460679948,"[-0.0208, 0.00704, 0.53488, 0.01728, -0.01056, 0.4616]"
CONTROL,601862.1770199388,"[-0.016, 0.0128, 0.5384, 0.0096, -0.0192, 0.468]"
CONTROL,621929.4851180166,"[-0.0112, 0.01856, 0.53168, 0.00192, -0.02784, 0.4776]"
CONTROL,641988.1491456181,"[-0.0064, 0.02432, 0.52496, -0.00576, -0.03648, 0.4872]"
CONTROL,662048.1160935014,"[-0.0016, 0.03008, 0.51824, -0.01344, -0.03488, 0.4968]"
CONTROL,682105.8990899473,"[0.0032, 0.03584, 0.51152, -0.02112, -0.02624, 0.5064]"
CONTROL,702165.2541588992,"[0.008, 0.0384, 0.5048, -0.0288, -0.0176, 0.516]"
CONTROL,722223.8690592349,"[0.0128, 0.03264, 0.49808, -0.03648, -0.00896, 0.5256]"
CONTROL,742281.4720775932,"[0.0176, 0.02688, 0.49136, -0.03584, -0.00032, 0.5352]"
CONTROL,762341.7992144823,"[0.0224, 0.02112, 0.48464, -0.02816, 0.00832, 0.5352]"
CONTROL,782402.056036517,"[0.0272, 0.01536, 0.47792, -0.02048, 0.01696, 0.5256]"
CONTROL,802472.3071139306,"[0.032, 0.0096, 0.4712, -0.0128, 0.0256, 0.516]"
CONTROL,822532.0931524038,"[0.0368, 0.00384, 0.46448, -0.00512, 0.03424, 0.5064]"
CONTROL,842592.5211049616,"[0.0384, -0.00192, 0.46224, 0.00256, 0.03712, 0.4968]"
CONTROL,862652.5572035462,"[0.0336, -0.00768, 0.46896, 0.01024, 0.02848, 0.4872]"
CONTROL,882709.4291336834,"[0.0288, -0.01344, 0.47568, 0.01792, 0.01984, 0.4776]"
CONTROL,902768.3141175658,"[0.024, -0.0192, 0.4824, 0.0256, 0.0112, 0.468]"
CONTROL,922826.1471726,"[0.0192, -0.02496, 0.48912, 0.03328, 0.00256, 0.4616]"
CONTROL,942884.4910580665,"[0.0144, -0.03072, 0.49584, 0.03904, -0.00608, 0.4712]"
CONTROL,962942.2440193594,"[0.0096, -0.03648, 0.50256, 0.03136, -0.01472, 0.4808]"
CONTROL,982998.7960401922,"[0.0048, -0.03776, 0.50928, 0.02368, -0.02336, 0.4904]"
CONTROL,1003058.6521606892,"[0.0, -0.032, 0.516, 0.016, -0.032, 0.5]"
CONTROL,1023145.1180297881,"[-0.0048, -0.02624, 0.52272, 0.00832, -0.03936, 0.5096]"
CONTROL,1043203.5122066736,"[-0.0096, -0.02048, 0.52944, 0.00064, -0.03072, 0.5192]"
CONTROL,1063263.3480709046,"[-0.0144, -0.01472, 0.53616, -0.00704, -0.02208, 0.5288]"
CONTROL,1083329.5141346753,"[-0.0192, -0.00896, 0.53712, -0.01472, -0.01344, 0.5384]"
CONTROL,1103391.1230042577,"[-0.024, -0.0032, 0.5304, -0.0224, -0.0048, 0.532]"
CONTROL,1123450.879007578,"[-0.0288, 0.00256, 0.52368, -0.03008, 0.00384, 0.5224]"
CONTROL,1143510.5251148343,"[-0.0336, 0.00832, 0.51696, -0.03776, 0.01248, 0.5128]"
CONTROL,1163570.080185309,"[-0.0384, 0.01408, 0.51024, -0.03456, 0.02112, 0.5032]"
CONTROL,1183637.137990445,"[-0.0368, 0.01984, 0.50352, -0.02688, 0.02976, 0.4936]"
CONTROL,1203702.1510768682,"[-0.032, 0.0256, 0.4968, -0.0192, 0.0384, 0.484]"
CONTROL,1223772.383062169,"[-0.0272, 0.03136, 0.49008, -0.01152, 0.03296, 0.4744]"
CONTROL,1243829.1641883552,"[-0.0224, 0.03712, 0.48336, -0.00384, 0.02432, 0.4648]"
CONTROL,1263894.299045205,"[-0.0176, 0.03712, 0.47664, 0.00384, 0.01568, 0.4648]"
CONTROL,1283953.4941595048,"[-0.0128, 0.03136, 0.46992, 0.01152, 0.00704, 0.4744]"
CONTROL,1304012.1891535819,"[-0.008, 0.0256, 0.4632, 0.0192, -0.0016, 0.484]"
CONTROL,1324071.945156902,"[-0.0032, 0.01984, 0.46352, 0.02688, -0.01024, 0.4936]"
CONTROL,1344130.4191946983,"[0.0016, 0.01408, 0.47024, 0.03456, -0.01888, 0.5032]"
CONTROL,1364189.7551715374,"[0.0064, 0.00832, 0.47696, 0.03776, -0.02752, 0.5128]"
CONTROL,1384248.6999928951,"[0.0112, 0.00256, 0.48368, 0.03008, -0.03616, 0.5224]"
CONTROL,1404316.0572182387,"[0.016, -0.0032, 0.4904, 0.0224, -0.0352, 0.532]"
CONTROL,1424375.86421147,"[0.0208, -0.00896, 0.49712, 0.01472, -0.02656, 0.5384]"
CONTROL,1444433.8670000434,"[0.0256, -0.01472, 0.50384, 0.00704, -0.01792, 0.5288]"
CONTROL,1464494.2041486502,"[0.0304, -0.02048, 0.51056, -0.00064, -0.00928, 0.5192]"
CONTROL,1484551.1461608112,"[0.0352, -0.02624, 0.51728, -0.00832, -0.00064, 0.5096]"
CONTROL,1504609.8111197352,"[0.04, -0.032, 0.524, -0.016, 0.008, 0.5]"
CONTROL,1524671.3091619313,"[0.0352, -0.03776, 0.53072, -0.02368, 0.01664, 0.4904]"
CONTROL,1544730.5750567466,"[0.0304, -0.03648, 0.53744, -0.03136, 0.02528, 0.4808]"
CONTROL,1564789.8900788277,"[0.0256, -0.03072, 0.53584, -0.03904, 0.03392, 0.4712]"
CONTROL,1584852.4800967425,"[0.0208, -0.02496, 0.52912, -0.03328, 0.03744, 0.4616]"
CONTROL,1604911.9459930807,"[0.016, -0.0192, 0.5224, -0.0256, 0.0288, 0.468]"
CONTROL,1624970.731092617,"[0.0112, -0.01344, 0.51568, -0.01792, 0.02016, 0.4776]"
CONTROL,1645031.388150528,"[0.0064, -0.00768, 0.50896, -0.01024, 0.01152, 0.4872]"
CONTROL,1665089.6919891238,"[0.0016, -0.00192, 0.50224, -0.00256, 0.00288, 0.4968]"
CONTROL,1685148.737160489,"[-0.0032, 0.00384, 0.49552, 0.00512, -0.00576, 0.5064]"
CONTROL,1705208.2631271333,"[-0.008, 0.0096, 0.4888, 0.0128, -0.0144, 0.516]"
CONTROL,1725264.1441300511,"[-0.0128, 0.01536, 0.48208, 0.02048, -0.02304, 0.5256]"
CONTROL,1745323.4891872853,"[-0.0176, 0.02112, 0.47536, 0.02816, -0.03168, 0.5352]"
CONTROL,1765384.2170257121,"[-0.0224, 0.02688, 0.46864, 0.03584, -0.03968, 0.5352]"
CONTROL,1785443.4819892049,"[-0.0272, 0.03264, 0.46192, 0.03648, -0.03104, 0.5256]"
CONTROL,1805501.7460137606,"[-0.032, 0.0384, 0.4648, 0.0288, -0.0224, 0.516]"
CONTROL,1825559.990014881,"[-0.0368, 0.03584, 0.47152, 0.02112, -0.01376, 0.5064]"
CONTROL,1845616.992097348,"[-0.0384, 0.03008, 0.47824, 0.01344, -0.00512, 0.4968]"
CONTROL,1865677.6801217347,"[-0.0336, 0.02432, 0.48496, 0.00576, 0.00352, 0.4872]"
CONTROL,1885736.3441493362,"[-0.0288, 0.01856, 0.49168, -0.00192, 0.01216, 0.4776]"
CONTROL,1905794.6579996496,"[-0.024, 0.0128, 0.4984, -0.0096, 0.0208, 0.468]"
CONTROL,1925854.534143582,"[-0.0192, 0.00704, 0.50512, -0.01728, 0.02944, 0.4616]"
CONTROL,1945912.3681299388,"[-0.0144, 0.00128, 0.51184, -0.02496, 0.03808, 0.4712]"
CONTROL,1965973.1150604784,"[-0.0096, -0.00448, 0.51856, -0.03264, 0.03328, 0.4808]"
CONTROL,1986038.1290782243,"[-0.0048, -0.01024, 0.52528, -0.03968, 0.02464, 0.4904]"
CONTROL,2006100.6092000753,"[0.0, -0.016, 0.532, -0.032, 0.016, 0.5]"
CONTROL,2026186.4440981299,"[0.0048, -0.02176, 0.53872, -0.02432, 0.00736, 0.5096]"
CONTROL,2046244.9591141194,"[0.0096, -0.02752, 0.53456, -0.01664, -0.00128, 0.5192]"
CONTROL,2066308.7810389698,"[0.0144, -0.03328, 0.52784, -0.00896, -0.00992, 0.5288]"
CONTROL,2086375.6882026792,"[0.0192, -0.03904, 0.52112, -0.00128, -0.01856, 0.5384]"
CONTROL,2106438.708025962,"[0.024, -0.0352, 0.5144, 0.0064, -0.0272, 0.532]"
CONTROL,2126497.8940598667,"[0.0288, -0.02944, 0.50768, 0.01408, -0.03584, 0.5224]"
CONTROL,2146575.1961804926,"[0.0336, -0.02368, 0.50096, 0.02176, -0.03552, 0.5128]"
CONTROL,2166632.899083197,"[0.0384, -0.01792, 0.49424, 0.02944, -0.02688, 0.5032]"
CONTROL,2186698.2840001583,"[0.0368, -0.01216, 0.48752, 0.03712, -0.01824, 0.4936]"
CONTROL,2206758.1100855023,"[0.032, -0.0064, 0.4808, 0.0352, -0.0096, 0.484]"
CONTROL,2226818.8369926065,"[0.0272, -0.00064, 0.47408, 0.02752, -0.00096, 0.4744]"
CONTROL,2246879.7850888222,"[0.0224, 0.00512, 0.46736, 0.01984, 0.00768, 0.4648]"
CONTROL,2266943.828202784,"[0.0176, 0.01088, 0.46064, 0.01216, 0.01632, 0.4648]"
CONTROL,2287008.411018178,"[0.0128, 0.01664, 0.46608, 0.00448, 0.02496, 0.4744]"
CONTROL,2307067.7171926945,"[0.008, 0.0224, 0.4728, -0.0032, 0.0336, 0.484]"
CONTROL,2327124.9290555716,"[0.0032, 0.02816, 0.47952, -0.01088, 0.03776, 0.4936]"
CONTROL,2347181.491088122,"[-0.0016, 0.03392, 0.48624, -0.01856, 0.02912, 0.5032]"
