type,timestamp,positions,velocities,torques
STATE_MOTOR,7.642200216650963,"[-0.006902913545485385, 0.0046019423636569235, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 1, 0]"
STATE_MOTOR,20092.16509759426,"[-0.006902913545485385, 0.0046019423636569235, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 16, 0, 0, 0]"
STATE_MOTOR,40154.98515218496,"[-0.006902913545485385, 0.0046019423636569235, 0.5629709491540303, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 8, 1, 0, 3]"
STATE_MOTOR,60215.061996132135,"[-0.006902913545485385, 0.006135923151542565, 0.5629709491540303, 0.0, 0.009203884727313847, 0.49867197875166]","[0, 0, 0, 50, 0, 50]","[2, 0, 7, 1, 1, 6]"
STATE_MOTOR,80281.08719736338,"[-0.005368932757599744, 0.009203884727313847, 0.5629709491540303, 0.006135923151542565, 0.009203884727313847, 0.5039840637450199]","[50, 100, 0, 200, 50, 350]","[1, 0, 4, 1, 2, 5]"
STATE_MOTOR,100343.22715364397,"[-0.0023009711818284618, 0.015339807878856412, 0.5629709491540303, 0.010737865515199488, 0.01380582709097077, 0.5112881806108898]","[50, 150, 0, 150, 50, 500]","[1, 0, 4, 1, 2, 1]"
STATE_MOTOR,120410.06400249898,"[0.0007669903939428206, 0.021475731030398976, 0.5629709491540303, 0.01687378866674205, 0.019941750242513333, 0.5185922974767596]","[100, 250, 0, 200, 150, 550]","[2, 0, 3, 0, 0, 0]"
STATE_MOTOR,140469.28915195167,"[0.003834951969714103, 0.02761165418194154, 0.5629709491540303, 0.02454369260617026, 0.023009711818284616, 0.5239043824701195]","[150, 200, 0, 200, 150, 500]","[2, 0, 3, 0, 0, 1]"
STATE_MOTOR,160531.50920197368,"[0.008436894333371026, 0.035281558121369745, 0.5645049299419159, 0.026077673394055898, 0.023009711818284616, 0.5252324037184595]","[150, 200, 0, 100, 100, 200]","[1, 1, 6, 1, 2, 4]"
STATE_MOTOR,180593.2680144906,"[0.016106798272799233, 0.04141748127291231, 0.5645049299419159, 0.026077673394055898, 0.019941750242513333, 0.5219123505976095]","[200, 250, 50, 0, 0, -150]","[0, 3, 8, 1, 1, 5]"
STATE_MOTOR,200652.62308344245,"[0.022242721424341798, 0.04295146206079795, 0.5645049299419159, 0.026077673394055898, 0.01687378866674205, 0.5159362549800797]","[200, 100, 0, 0, -100, -400]","[0, 3, 9, 3, 0, 4]"
STATE_MOTOR,220714.352093637,"[0.02684466378799872, 0.04295146206079795, 0.5645049299419159, 0.026077673394055898, 0.010737865515199488, 0.5086321381142098]","[150, 0, 0, 0, -100, -450]","[0, 3, 12, 3, 1, 2]"
STATE_MOTOR,240773.27712439,"[0.02684466378799872, 0.04295146206079795, 0.5629709491540303, 0.02454369260617026, 0.006135923151542565, 0.50066401062417]","[50, 0, 0, -50, -200, -600]","[1, 5, 14, 4, 1, 2]"
STATE_MOTOR,260830.60004748404,"[0.028378644575884363, 0.04295146206079795, 0.5614369683661447, 0.018407769454627694, -0.0015339807878856412, 0.49335989375830014]","[50, 0, -50, -150, -200, -550]","[0, 6, 18, 2, 1, 3]"
STATE_MOTOR,280891.4880733937,"[0.02684466378799872, 0.04295146206079795, 0.5568350260024877, 0.01380582709097077, -0.007669903939428206, 0.4853917662682603]","[0, 0, -150, -200, -200, -600]","[1, 7, 14, 3, 1, 0]"
STATE_MOTOR,300966.14616923034,"[0.023776702212227437, 0.04295146206079795, 0.5537670644267164, 0.007669903939428206, -0.015339807878856412, 0.4807436918990704]","[-100, 0, -150, -200, -250, -500]","[1, 8, 16, 3, 0, 0]"
STATE_MOTOR,321026.4730732888,"[0.017640779060684873, 0.04295146206079795, 0.5506991028509451, 0.0030679615757712823, -0.021475731030398976, 0.4800796812749004]","[-200, 0, -150, -150, -200, -150]","[0, 14, 16, 4, 1, 3]"
STATE_MOTOR,341087.67099678516,"[0.013038836697027949, 0.04295146206079795, 0.5460971604872883, -0.0030679615757712823, -0.021475731030398976, 0.4800796812749004]","[-150, 0, -100, -200, 0, -50]","[1, 18, 22, 3, 1, 4]"
STATE_MOTOR,361147.80814386904,"[0.009970875121256667, 0.04295146206079795, 0.5399612373357456, -0.007669903939428206, -0.018407769454627694, 0.48406374501992033]","[-150, 0, -200, -150, 100, 200]","[1, 19, 16, 1, 1, 3]"
STATE_MOTOR,381208.6461111903,"[0.005368932757599744, 0.04141748127291231, 0.5338253141842031, -0.009203884727313847, -0.01687378866674205, 0.4900398406374502]","[-100, 0, -200, -50, 50, 400]","[1, 18, 14, 0, 1, 3]"
STATE_MOTOR,401272.5281063467,"[0.003834951969714103, 0.03988350048502667, 0.5276893910326605, -0.009203884727313847, -0.01380582709097077, 0.49667994687915007]","[-50, -100, -200, 0, 100, 500]","[1, 20, 8, 0, 1, 3]"
STATE_MOTOR,421331.80308155715,"[0.0023009711818284618, 0.03681553890925539, 0.5261554102447749, -0.009203884727313847, -0.007669903939428206, 0.5039840637450199]","[-100, -50, -50, 0, 200, 500]","[1, 15, 9, 0, 1, 4]"
STATE_MOTOR,441388.325067237,"[-0.0023009711818284618, 0.032213596545598466, 0.5261554102447749, -0.009203884727313847, -0.0015339807878856412, 0.5112881806108898]","[-50, -150, 0, 0, 200, 550]","[2, 14, 7, 1, 1, 2]"
STATE_MOTOR,461448.0510354042,"[-0.005368932757599744, 0.02761165418194154, 0.5261554102447749, -0.007669903939428206, 0.0030679615757712823, 0.5185922974767596]","[-150, -150, 0, 50, 150, 550]","[2, 9, 6, 2, 2, 0]"
STATE_MOTOR,481508.12718085945,"[-0.009970875121256667, 0.02761165418194154, 0.5261554102447749, -0.0015339807878856412, 0.010737865515199488, 0.5225763612217795]","[-150, -50, 0, 150, 250, 450]","[2, 7, 4, 1, 1, 2]"
STATE_MOTOR,501567.28201545775,"[-0.01457281748491359, 0.02761165418194154, 0.5261554102447749, 0.0046019423636569235, 0.018407769454627694, 0.5232403718459495]","[-150, 0, 0, 200, 200, 150]","[1, 9, 2, 1, 0, 5]"
