type,timestamp,positions,velocities,torques
STATE_MOTOR,4.898058250546455,"[-0.008436894333371026, 0.0030679615757712823, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.501908, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,20084.474002942443,"[-0.008436894333371026, 0.0030679615757712823, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.410652, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,40142.218000255525,"[-0.008436894333371026, 0.0030679615757712823, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.022814, 0.0, 0.068442]"
STATE_MOTOR,60203.00695672631,"[-0.008436894333371026, 0.0046019423636569235, 0.5714078434874014, -0.0030679615757712823, 0.009203884727313847, 0.4983585029546947]","[0.0, 0.07669903939428206, 0.0, 0.0, 0.0, 0.15339807878856412]","[0.045628, 0.0, 0.182512, 0.022814, 0.022814, 0.091256]"
STATE_MOTOR,80260.30997280031,"[-0.006902913545485385, 0.009203884727313847, 0.5698738626995157, 0.0030679615757712823, 0.009203884727313847, 0.5042678923177938]","[0.07669903939428206, 0.15339807878856412, 0.0, 0.23009711818284617, 0.0, 0.6135923151542565]","[0.045628, 0.0, 0.136884, 0.022814, 0.068442, 0.091256]"
STATE_MOTOR,100316.35197810829,"[-0.005368932757599744, 0.015339807878856412, 0.5698738626995157, 0.009203884727313847, 0.009203884727313847, 0.5114904793171372]","[0.0, 0.30679615757712825, -0.07669903939428206, 0.30679615757712825, 0.0, 0.7669903939428205]","[0.045628, 0.0, 0.11407, 0.022814, 0.068442, 0.022814]"
STATE_MOTOR,120373.42495750636,"[-0.0023009711818284618, 0.021475731030398976, 0.5698738626995157, 0.015339807878856412, 0.01380582709097077, 0.5187130663164806]","[0.07669903939428206, 0.30679615757712825, 0.0, 0.30679615757712825, 0.0, 0.9203884727313847]","[0.045628, 0.0, 0.068442, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,140430.24799320847,"[0.0023009711818284618, 0.02914563496982718, 0.5698738626995157, 0.023009711818284616, 0.018407769454627694, 0.5239658568614577]","[0.23009711818284617, 0.38349519697141027, 0.0, 0.30679615757712825, 0.30679615757712825, 0.6135923151542565]","[0.068442, 0.0, 0.045628, 0.0, 0.022814, 0.045628]"
STATE_MOTOR,160488.50305378437,"[0.005368932757599744, 0.03681553890925539, 0.5714078434874014, 0.026077673394055898, 0.018407769454627694, 0.5246224556795798]","[0.15339807878856412, 0.38349519697141027, 0.0, 0.38349519697141027, 0.15339807878856412, 0.30679615757712825]","[0.045628, 0.0, 0.136884, 0.022814, 0.022814, 0.11407]"
STATE_MOTOR,180546.46695964038,"[0.013038836697027949, 0.044485442848683596, 0.5714078434874014, 0.026077673394055898, 0.018407769454627694, 0.5219960604070912]","[0.23009711818284617, 0.30679615757712825, 0.07669903939428206, 0.07669903939428206, 0.0, -0.07669903939428206]","[0.022814, 0.045628, 0.273768, 0.0, 0.022814, 0.068442]"
