type,timestamp,positions
CONTROL,6.3889892771840096,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20092.144957743585,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40155.33800702542,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60219.231992959976,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80276.82593092322,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100338.10592722148,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120399.4759125635,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140460.40491666645,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160519.68198735267,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180576.4549644664,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200642.17201434076,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220704.3229136616,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240763.31895776093,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260821.13396842033,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280878.62802203745,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300943.9440211281,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320999.8549427837,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341065.1209997013,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361124.5279898867,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381183.35395120084,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401251.04400794953,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421309.63993258774,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441369.15693525225,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461427.0019810647,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481486.2379571423,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501553.1169483438,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521568.6579467729,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541627.6149917394,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561690.4469206929,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581758.2459421828,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601822.5299194455,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621879.3139560148,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641936.0969448462,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,661991.9679360464,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682053.5289589316,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702119.1349485889,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722183.7999531999,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742249.5359787717,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762306.6299129277,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782364.8449266329,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802433.0249754712,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
