type,timestamp,positions,velocities,torques
STATE_MOTOR,6.3889892771840096,"[-0.008436894333371026, 0.0046019423636569235, 0.5698738626995157, -0.006135923151542565, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,20092.144957743585,"[-0.008436894333371026, 0.0046019423636569235, 0.5698738626995157, -0.006135923151542565, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.479094, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,40155.33800702542,"[-0.008436894333371026, 0.0046019423636569235, 0.5698738626995157, -0.006135923151542565, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,60219.231992959976,"[-0.008436894333371026, 0.0046019423636569235, 0.5698738626995157, -0.006135923151542565, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.365024, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,80276.82593092322,"[-0.008436894333371026, 0.0046019423636569235, 0.5698738626995157, -0.006135923151542565, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,100338.10592722148,"[-0.008436894333371026, 0.0046019423636569235, 0.5698738626995157, -0.006135923151542565, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.410652, 0.022814, 0.045628, 0.022814]"
STATE_MOTOR,120399.4759125635,"[-0.008436894333371026, 0.0046019423636569235, 0.5698738626995157, -0.006135923151542565, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.479094, 0.0, 0.022814, 0.0]"
STATE_MOTOR,140460.40491666645,"[-0.008436894333371026, 0.0046019423636569235, 0.5698738626995157, -0.006135923151542565, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,160519.68198735267,"[-0.008436894333371026, 0.0046019423636569235, 0.5698738626995157, -0.006135923151542565, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.319396, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,180576.4549644664,"[-0.008436894333371026, 0.0046019423636569235, 0.5698738626995157, -0.006135923151542565, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.34221, 0.022814, 0.022814, 0.022814]"
