type,timestamp,positions
CONTROL,5.017034709453583,"[0.0, 0.129904, 0.629904, 0.0, -0.129904, 0.370096]"
CONTROL,20100.67005176097,"[0.000943, 0.130373, 0.62943, -0.000943, -0.130373, 0.37057]"
CONTROL,40162.87298873067,"[0.001886, 0.130837, 0.62895, -0.001886, -0.130837, 0.37105]"
CONTROL,60221.169027499855,"[0.00283, 0.131296, 0.628466, -0.00283, -0.131296, 0.371534]"
CONTROL,80286.18595562875,"[0.003775, 0.13175, 0.627975, -0.003775, -0.13175, 0.372025]"
CONTROL,100346.82706464082,"[0.00472, 0.1322, 0.627479, -0.00472, -0.1322, 0.372521]"
CONTROL,120413.66705670953,"[0.005666, 0.132644, 0.626978, -0.005666, -0.132644, 0.373022]"
CONTROL,140489.8799955845,"[0.006612, 0.133084, 0.626471, -0.006612, -0.133084, 0.373529]"
CONTROL,160549.60899055004,"[0.007559, 0.133518, 0.625959, -0.007559, -0.133518, 0.374041]"
CONTROL,180608.817958273,"[0.008506, 0.133948, 0.625442, -0.008506, -0.133948, 0.374558]"
CONTROL,200667.59502515197,"[0.009453, 0.134372, 0.624919, -0.009453, -0.134372, 0.375081]"
CONTROL,220737.25902009755,"[0.010401, 0.134791, 0.624391, -0.010401, -0.134791, 0.375609]"
CONTROL,240796.37706745416,"[0.011349, 0.135206, 0.623857, -0.011349, -0.135206, 0.376143]"
CONTROL,260854.65401411057,"[0.012297, 0.135615, 0.623318, -0.012297, -0.135615, 0.376682]"
CONTROL,280912.74097096175,"[0.013245, 0.136019, 0.622774, -0.013245, -0.136019, 0.377226]"
CONTROL,300972.7100143209,"[0.014194, 0.136418, 0.622224, -0.014194, -0.136418, 0.377776]"
CONTROL,321030.02595249563,"[0.015142, 0.136811, 0.621669, -0.015142, -0.136811, 0.378331]"
CONTROL,341089.02397565544,"[0.016091, 0.1372, 0.621109, -0.016091, -0.1372, 0.378891]"
CONTROL,361149.01304244995,"[0.01704, 0.137583, 0.620543, -0.01704, -0.137583, 0.379457]"
CONTROL,381207.37997815013,"[0.017988, 0.137961, 0.619972, -0.017988, -0.137961, 0.380028]"
CONTROL,401265.48695843667,"[0.018937, 0.138333, 0.619396, -0.018937, -0.138333, 0.380604]"
CONTROL,421323.07298015803,"[0.019886, 0.1387, 0.618814, -0.019886, -0.1387, 0.381186]"
CONTROL,441382.9819532111,"[0.020834, 0.139062, 0.618227, -0.020834, -0.139062, 0.381773]"
CONTROL,461443.371954374,"[0.021783, 0.139418, 0.617635, -0.021783, -0.139418, 0.382365]"
CONTROL,481502.1100221202,"[0.022731, 0.139769, 0.617038, -0.022731, -0.139769, 0.382962]"
