type,timestamp,positions
CONTROL,6.049172952771187,"[0.0, 0.129904, 0.629904, 0.0, -0.129904, 0.370096]"
CONTROL,20096.471067517996,"[0.000943, 0.130373, 0.62943, -0.000943, -0.130373, 0.37057]"
CONTROL,40155.22706322372,"[0.001886, 0.130837, 0.62895, -0.001886, -0.130837, 0.37105]"
CONTROL,60215.905075892806,"[0.00283, 0.131296, 0.628466, -0.00283, -0.131296, 0.371534]"
CONTROL,80292.39601455629,"[0.003775, 0.13175, 0.627975, -0.003775, -0.13175, 0.372025]"
CONTROL,100352.14317031205,"[0.00472, 0.1322, 0.627479, -0.00472, -0.1322, 0.372521]"
CONTROL,120409.47610512376,"[0.005666, 0.132644, 0.626978, -0.005666, -0.132644, 0.373022]"
CONTROL,140469.72407959402,"[0.006612, 0.133084, 0.626471, -0.006612, -0.133084, 0.373529]"
CONTROL,160527.9881041497,"[0.007559, 0.133518, 0.625959, -0.007559, -0.133518, 0.374041]"
CONTROL,180588.82607147098,"[0.008506, 0.133948, 0.625442, -0.008506, -0.133948, 0.374558]"
CONTROL,200644.83815804124,"[0.009453, 0.134372, 0.624919, -0.009453, -0.134372, 0.375081]"
CONTROL,220701.66002959013,"[0.010401, 0.134791, 0.624391, -0.010401, -0.134791, 0.375609]"
CONTROL,240759.51403938234,"[0.011349, 0.135206, 0.623857, -0.011349, -0.135206, 0.376143]"
CONTROL,260817.0669991523,"[0.012297, 0.135615, 0.623318, -0.012297, -0.135615, 0.376682]"
CONTROL,280874.51006285846,"[0.013245, 0.136019, 0.622774, -0.013245, -0.136019, 0.377226]"
CONTROL,300930.4911829531,"[0.014194, 0.136418, 0.622224, -0.014194, -0.136418, 0.377776]"
CONTROL,320987.81410604715,"[0.015142, 0.136811, 0.621669, -0.015142, -0.136811, 0.378331]"
CONTROL,341045.0671799481,"[0.016091, 0.1372, 0.621109, -0.016091, -0.1372, 0.378891]"
CONTROL,361104.20315526426,"[0.01704, 0.137583, 0.620543, -0.01704, -0.137583, 0.379457]"
CONTROL,381162.4681111425,"[0.017988, 0.137961, 0.619972, -0.017988, -0.137961, 0.380028]"
CONTROL,401217.9581914097,"[0.018937, 0.138333, 0.619396, -0.018937, -0.138333, 0.380604]"
CONTROL,421274.3102107197,"[0.019886, 0.1387, 0.618814, -0.019886, -0.1387, 0.381186]"
CONTROL,441332.0431485772,"[0.020834, 0.139062, 0.618227, -0.020834, -0.139062, 0.381773]"
CONTROL,461390.2179989964,"[0.021783, 0.139418, 0.617635, -0.021783, -0.139418, 0.382365]"
CONTROL,481447.481084615,"[0.022731, 0.139769, 0.617038, -0.022731, -0.139769, 0.382962]"
CONTROL,501503.96302342415,"[0.023679, 0.140114, 0.616436, -0.023679, -0.140114, 0.383564]"
CONTROL,521561.2661559135,"[0.024627, 0.140454, 0.615828, -0.024627, -0.140454, 0.384172]"
CONTROL,541618.2482149452,"[0.025574, 0.140789, 0.615215, -0.025574, -0.140789, 0.384785]"
CONTROL,561677.1741770208,"[0.026521, 0.141118, 0.614597, -0.026521, -0.141118, 0.385403]"
CONTROL,581740.1651293039,"[0.027467, 0.141441, 0.613974, -0.027467, -0.141441, 0.386026]"
CONTROL,601798.7402155995,"[0.028414, 0.141759, 0.613345, -0.028414, -0.141759, 0.386655]"
CONTROL,621855.1420606673,"[0.029359, 0.142071, 0.612712, -0.029359, -0.142071, 0.387288]"
CONTROL,641911.7741752416,"[0.030304, 0.142377, 0.612073, -0.030304, -0.142377, 0.387927]"
CONTROL,661970.6691708416,"[0.031249, 0.142678, 0.611429, -0.031249, -0.142678, 0.388571]"
CONTROL,682028.9741735905,"[0.032193, 0.142973, 0.61078, -0.032193, -0.142973, 0.38922]"
CONTROL,702086.9881380349,"[0.033136, 0.143263, 0.610126, -0.033136, -0.143263, 0.389874]"
CONTROL,722144.2312002182,"[0.034079, 0.143546, 0.609467, -0.034079, -0.143546, 0.390533]"
CONTROL,742201.9150108099,"[0.035021, 0.143824, 0.608803, -0.035021, -0.143824, 0.391197]"
CONTROL,762261.9620524347,"[0.035962, 0.144096, 0.608134, -0.035962, -0.144096, 0.391866]"
CONTROL,782318.8840411603,"[0.036902, 0.144363, 0.60746, -0.036902, -0.144363, 0.39254]"
CONTROL,802374.54501912,"[0.037842, 0.144623, 0.606781, -0.037842, -0.144623, 0.393219]"
CONTROL,822431.7580461502,"[0.03878, 0.144877, 0.606097, -0.03878, -0.144877, 0.393903]"
CONTROL,842488.4402193129,"[0.039718, 0.145126, 0.605408, -0.039718, -0.145126, 0.394592]"
CONTROL,862549.1380225867,"[0.040655, 0.145369, 0.604714, -0.040655, -0.145369, 0.395286]"
CONTROL,882606.9522183388,"[0.04159, 0.145606, 0.604015, -0.04159, -0.145606, 0.395985]"
CONTROL,902668.5310527682,"[0.042525, 0.145837, 0.603312, -0.042525, -0.145837, 0.396688]"
CONTROL,922726.646065712,"[0.043458, 0.146061, 0.602603, -0.043458, -0.146061, 0.397397]"
CONTROL,942784.1291762888,"[0.044391, 0.14628, 0.60189, -0.044391, -0.14628, 0.39811]"
CONTROL,962844.5061389357,"[0.045322, 0.146493, 0.601172, -0.045322, -0.146493, 0.398828]"
CONTROL,982905.485201627,"[0.046252, 0.1467, 0.600448, -0.046252, -0.1467, 0.399552]"
CONTROL,1002963.5492246598,"[0.04718, 0.146901, 0.599721, -0.04718, -0.146901, 0.400279]"
CONTROL,1023056.4652010798,"[0.048107, 0.147095, 0.598988, -0.048107, -0.147095, 0.401012]"
CONTROL,1043113.9292195439,"[0.049033, 0.147284, 0.598251, -0.049033, -0.147284, 0.401749]"
CONTROL,1063175.7380906492,"[0.049958, 0.147466, 0.597509, -0.049958, -0.147466, 0.402491]"
CONTROL,1083234.1231871396,"[0.050881, 0.147643, 0.596762, -0.050881, -0.147643, 0.403238]"
CONTROL,1103290.9760251641,"[0.051802, 0.147813, 0.59601, -0.051802, -0.147813, 0.40399]"
CONTROL,1123348.1280505657,"[0.052722, 0.147976, 0.595254, -0.052722, -0.147976, 0.404746]"
