type,timestamp,positions,velocities,torques
STATE_MOTOR,6.049172952771187,"[-0.003834951969714103, 0.13345632854605077, 0.6810874698212247, -0.0046019423636569235, -0.12425244381873693, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
STATE_MOTOR,20096.471067517996,"[-0.003834951969714103, 0.13345632854605077, 0.6810874698212247, -0.0046019423636569235, -0.12425244381873693, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[0, 0, 9, 0, 0, 0]"
STATE_MOTOR,40155.22706322372,"[-0.003834951969714103, 0.13345632854605077, 0.6810874698212247, -0.0046019423636569235, -0.12425244381873693, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[1, 0, 10, 0, 1, 0]"
STATE_MOTOR,60215.905075892806,"[-0.003834951969714103, 0.13345632854605077, 0.6810874698212247, -0.0046019423636569235, -0.12425244381873693, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 1, 0]"
STATE_MOTOR,80292.39601455629,"[-0.003834951969714103, 0.13345632854605077, 0.6810874698212247, -0.0046019423636569235, -0.12425244381873693, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[0, 1, 10, 0, 1, 0]"
STATE_MOTOR,100352.14317031205,"[-0.003834951969714103, 0.13345632854605077, 0.6810874698212247, -0.0046019423636569235, -0.12425244381873693, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[1, 0, 10, 0, 1, 0]"
STATE_MOTOR,120409.47610512376,"[-0.003834951969714103, 0.13345632854605077, 0.6810874698212247, -0.0046019423636569235, -0.12425244381873693, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 0, 0]"
STATE_MOTOR,140469.72407959402,"[-0.003834951969714103, 0.1349903093339364, 0.6810874698212247, -0.0046019423636569235, -0.12425244381873693, 0.37317397078353254]","[0, 50, 0, 0, 0, 0]","[1, 0, 11, 1, 1, 0]"
STATE_MOTOR,160527.9881041497,"[-0.003834951969714103, 0.13652429012182207, 0.6810874698212247, -0.0046019423636569235, -0.12425244381873693, 0.37317397078353254]","[0, 50, 0, 0, 0, 0]","[1, 0, 11, 1, 1, 0]"
STATE_MOTOR,180588.82607147098,"[-0.003834951969714103, 0.13652429012182207, 0.6810874698212247, -0.0046019423636569235, -0.12425244381873693, 0.37317397078353254]","[0, 0, 0, 0, 0, 0]","[1, 0, 16, 0, 1, 0]"
STATE_MOTOR,200644.83815804124,"[-0.003834951969714103, 0.13959225169759334, 0.6810874698212247, -0.0046019423636569235, -0.12425244381873693, 0.37317397078353254]","[0, 50, 0, 0, 0, 0]","[1, 1, 12, 1, 0, 0]"
STATE_MOTOR,220701.66002959013,"[-0.003834951969714103, 0.13959225169759334, 0.6810874698212247, -0.0046019423636569235, -0.12578642460662257, 0.37317397078353254]","[0, 50, 0, 0, 0, 0]","[0, 1, 12, 0, 1, 0]"
STATE_MOTOR,240759.51403938234,"[-0.003834951969714103, 0.13959225169759334, 0.6810874698212247, -0.0046019423636569235, -0.1273204053945082, 0.37317397078353254]","[0, 0, 0, 0, -100, 0]","[2, 0, 12, 0, 0, 1]"
