type,timestamp,positions,velocities,torques
STATE_MOTOR,5.017034709453583,"[-0.008436894333371026, 0.1349903093339364, 0.6987282488819095, -0.007669903939428206, -0.11965050145508001, 0.3722915298752462]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.365024, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,20100.67005176097,"[-0.008436894333371026, 0.1349903093339364, 0.6987282488819095, -0.007669903939428206, -0.11965050145508001, 0.3722915298752462]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,40162.87298873067,"[-0.008436894333371026, 0.1349903093339364, 0.6987282488819095, -0.007669903939428206, -0.11965050145508001, 0.3722915298752462]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.365024, 0.0, 0.0, 0.0]"
STATE_MOTOR,60221.169027499855,"[-0.008436894333371026, 0.1349903093339364, 0.6987282488819095, -0.007669903939428206, -0.11965050145508001, 0.3722915298752462]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.524722, 0.0, 0.022814, 0.0]"
STATE_MOTOR,80286.18595562875,"[-0.008436894333371026, 0.1349903093339364, 0.6987282488819095, -0.007669903939428206, -0.11965050145508001, 0.3722915298752462]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.0, 0.022814, 0.0]"
STATE_MOTOR,100346.82706464082,"[-0.008436894333371026, 0.1349903093339364, 0.6987282488819095, -0.007669903939428206, -0.11965050145508001, 0.3722915298752462]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.524722, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,120413.66705670953,"[-0.008436894333371026, 0.1349903093339364, 0.6987282488819095, -0.007669903939428206, -0.11965050145508001, 0.3722915298752462]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.0, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,140489.8799955845,"[-0.008436894333371026, 0.1349903093339364, 0.6987282488819095, -0.007669903939428206, -0.11965050145508001, 0.3722915298752462]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.0, 0.0, 0.0]"
STATE_MOTOR,160549.60899055004,"[-0.008436894333371026, 0.1349903093339364, 0.6987282488819095, -0.007669903939428206, -0.11965050145508001, 0.3722915298752462]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.547536, 0.0, 0.022814, 0.0]"
STATE_MOTOR,180608.817958273,"[-0.008436894333371026, 0.1349903093339364, 0.6987282488819095, -0.007669903939428206, -0.12118448224296564, 0.3722915298752462]","[0.0, 0.0, 0.0, 0.0, -0.07669903939428206, 0.0]","[0.022814, 0.0, 0.547536, 0.0, 0.022814, 0.0]"
STATE_MOTOR,200667.59502515197,"[-0.008436894333371026, 0.1349903093339364, 0.6987282488819095, -0.007669903939428206, -0.12425244381873693, 0.3722915298752462]","[0.0, 0.0, 0.0, 0.0, -0.07669903939428206, 0.0]","[0.022814, 0.0, 0.45628, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,220737.25902009755,"[-0.008436894333371026, 0.13652429012182207, 0.6987282488819095, -0.007669903939428206, -0.12578642460662257, 0.3722915298752462]","[0.0, 0.07669903939428206, 0.0, 0.0, -0.07669903939428206, 0.0]","[0.045628, 0.0, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,240796.37706745416,"[-0.008436894333371026, 0.1380582709097077, 0.6971942680940239, -0.007669903939428206, -0.12578642460662257, 0.3722915298752462]","[0.0, 0.0, 0.0, 0.0, -0.07669903939428206, 0.0]","[0.022814, 0.0, 0.319396, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,260854.65401411057,"[-0.008436894333371026, 0.1380582709097077, 0.6956602873061383, -0.007669903939428206, -0.12578642460662257, 0.3722915298752462]","[0.0, 0.07669903939428206, -0.07669903939428206, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.319396, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,280912.74097096175,"[-0.006902913545485385, 0.1380582709097077, 0.692592325730367, -0.007669903939428206, -0.12578642460662257, 0.3722915298752462]","[0.07669903939428206, 0.0, -0.15339807878856412, 0.0, 0.0, 0.0]","[0.045628, 0.0, 0.479094, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,300972.7100143209,"[-0.003834951969714103, 0.1380582709097077, 0.6910583449424813, -0.007669903939428206, -0.12578642460662257, 0.3722915298752462]","[0.07669903939428206, 0.0, -0.07669903939428206, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.273768, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,321030.02595249563,"[-0.0023009711818284618, 0.1380582709097077, 0.6895243641545957, -0.007669903939428206, -0.12578642460662257, 0.3722915298752462]","[0.07669903939428206, 0.0, -0.07669903939428206, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.319396, 0.0, 0.022814, 0.022814]"
