type,timestamp,positions
CONTROL,5.317968316376209,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20086.667966097593,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40152.78595034033,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60210.510971955955,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80269.93903331459,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100328.93600873649,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120390.99703542888,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140453.87005899101,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160513.12803756446,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180573.3770597726,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200635.7490317896,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220708.11595767736,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240768.15403532237,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260826.22003741562,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280892.4380224198,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300954.6489920467,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321013.5659901425,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341072.60301243514,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361132.601974532,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381198.9800306037,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401264.53700941056,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421322.4919512868,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441387.1170254424,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461450.5310310051,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481507.2249621153,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501566.84301327914,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521627.7319705114,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541684.0660618618,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561739.1669657081,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581799.5360121131,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601858.6430000141,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621917.4499856308,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641977.8489507735,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662037.5269558281,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682103.3440064639,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702163.9429731295,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722223.702003248,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742282.088031061,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762340.1529854164,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782398.5790601,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802451.0570103303,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822510.9350169078,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842567.719053477,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862625.5439594388,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882683.2489576191,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902742.5460517406,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922798.9100618288,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
