type,timestamp,positions
CONTROL,5.166977643966675,"[0.0, -0.129904, 0.370096, -0.0, 0.129904, 0.629904]"
CONTROL,20095.79597506672,"[0.004712, -0.127484, 0.367804, -0.004712, 0.127484, 0.632196]"
CONTROL,40164.4220110029,"[0.009419, -0.124938, 0.365643, -0.009419, 0.124938, 0.634357]"
CONTROL,60222.7229392156,"[0.014116, -0.122269, 0.363615, -0.014116, 0.122269, 0.636385]"
CONTROL,80282.36497193575,"[0.0188, -0.119479, 0.361721, -0.0188, 0.119479, 0.638279]"
CONTROL,100342.4689406529,"[0.023465, -0.116572, 0.359963, -0.023465, 0.116572, 0.640037]"
CONTROL,120399.94797669351,"[0.028107, -0.113549, 0.358344, -0.028107, 0.113549, 0.641656]"
CONTROL,140458.20804312825,"[0.032721, -0.110415, 0.356864, -0.032721, 0.110415, 0.643136]"
CONTROL,160521.34602796286,"[0.037303, -0.107171, 0.355526, -0.037303, 0.107171, 0.644474]"
CONTROL,180579.1660444811,"[0.041849, -0.103821, 0.35433, -0.041849, 0.103821, 0.64567]"
CONTROL,200640.98201692104,"[0.046353, -0.10037, 0.353278, -0.046353, 0.10037, 0.646722]"
CONTROL,220700.31403563917,"[0.050811, -0.096819, 0.352371, -0.050811, 0.096819, 0.647629]"
CONTROL,240758.78504663706,"[0.055219, -0.093172, 0.351609, -0.055219, 0.093172, 0.648391]"
CONTROL,260821.56202755868,"[0.059572, -0.089434, 0.350994, -0.059572, 0.089434, 0.649006]"
CONTROL,280881.10499083996,"[0.063867, -0.085607, 0.350526, -0.063867, 0.085607, 0.649474]"
CONTROL,300947.6879378781,"[0.068099, -0.081696, 0.350206, -0.068099, 0.081696, 0.649794]"
CONTROL,321003.6050295457,"[0.072263, -0.077704, 0.350033, -0.072263, 0.077704, 0.649967]"
CONTROL,341060.9340062365,"[0.076356, -0.073636, 0.350008, -0.076356, 0.073636, 0.649992]"
CONTROL,361117.95296892524,"[0.080374, -0.069494, 0.350132, -0.080374, 0.069494, 0.649868]"
CONTROL,381178.7869781256,"[0.084313, -0.065285, 0.350403, -0.084313, 0.065285, 0.649597]"
CONTROL,401237.30804771185,"[0.088168, -0.06101, 0.350822, -0.088168, 0.06101, 0.649178]"
CONTROL,421299.3939872831,"[0.091936, -0.056676, 0.351388, -0.091936, 0.056676, 0.648612]"
CONTROL,441358.505981043,"[0.095614, -0.052286, 0.352101, -0.095614, 0.052286, 0.647899]"
CONTROL,461416.9669803232,"[0.099197, -0.047844, 0.352959, -0.099197, 0.047844, 0.647041]"
CONTROL,481478.78295276314,"[0.102682, -0.043355, 0.353963, -0.102682, 0.043355, 0.646037]"
CONTROL,501538.7060120702,"[0.106066, -0.038823, 0.355111, -0.106066, 0.038823, 0.644889]"
CONTROL,521597.73802850395,"[0.109345, -0.034253, 0.356402, -0.109345, 0.034253, 0.643598]"
CONTROL,541652.9040085152,"[0.112517, -0.029649, 0.357835, -0.112517, 0.029649, 0.642165]"
CONTROL,561712.6160068437,"[0.115577, -0.025015, 0.359408, -0.115577, 0.025015, 0.640592]"
CONTROL,581772.0680497587,"[0.118523, -0.020357, 0.361119, -0.118523, 0.020357, 0.638881]"
CONTROL,601832.2219606489,"[0.121353, -0.015679, 0.362968, -0.121353, 0.015679, 0.637032]"
CONTROL,621893.2470073923,"[0.124062, -0.010986, 0.364952, -0.124062, 0.010986, 0.635048]"
CONTROL,641950.5659723654,"[0.126649, -0.006281, 0.367069, -0.126649, 0.006281, 0.632931]"
CONTROL,662008.4759779274,"[0.129111, -0.001571, 0.369318, -0.129111, 0.001571, 0.630682]"
CONTROL,682069.219998084,"[0.131446, 0.003141, 0.371695, -0.131446, -0.003141, 0.628305]"
CONTROL,702126.8600365147,"[0.133651, 0.00785, 0.374199, -0.133651, -0.00785, 0.625801]"
CONTROL,722186.9529457763,"[0.135724, 0.012552, 0.376828, -0.135724, -0.012552, 0.623172]"
CONTROL,742244.2720271647,"[0.137663, 0.017241, 0.379577, -0.137663, -0.017241, 0.620423]"
CONTROL,762301.8720187247,"[0.139466, 0.021912, 0.382446, -0.139466, -0.021912, 0.617554]"
CONTROL,782361.724996008,"[0.141132, 0.026563, 0.385431, -0.141132, -0.026563, 0.614569]"
CONTROL,802425.9640369564,"[0.142658, 0.031187, 0.388528, -0.142658, -0.031187, 0.611472]"
CONTROL,822484.2749768868,"[0.144044, 0.03578, 0.391736, -0.144044, -0.03578, 0.608264]"
CONTROL,842543.276026845,"[0.145287, 0.040338, 0.39505, -0.145287, -0.040338, 0.60495]"
CONTROL,862603.9810478687,"[0.146388, 0.044856, 0.398469, -0.146388, -0.044856, 0.601531]"
CONTROL,882663.5329751298,"[0.147343, 0.04933, 0.401987, -0.147343, -0.04933, 0.598013]"
CONTROL,902726.4199685305,"[0.148153, 0.053755, 0.405602, -0.148153, -0.053755, 0.594398]"
CONTROL,922785.5219505727,"[0.148817, 0.058127, 0.40931, -0.148817, -0.058127, 0.59069]"
CONTROL,942840.717965737,"[0.149334, 0.062442, 0.413108, -0.149334, -0.062442, 0.586892]"
CONTROL,962898.7479954958,"[0.149704, 0.066695, 0.416991, -0.149704, -0.066695, 0.583009]"
CONTROL,982958.8719876483,"[0.149926, 0.070883, 0.420957, -0.149926, -0.070883, 0.579043]"
CONTROL,1003022.5700465962,"[0.15, 0.075, 0.425, -0.15, -0.075, 0.575]"
CONTROL,1023107.6909694821,"[0.149926, 0.079043, 0.429117, -0.149926, -0.079043, 0.570883]"
CONTROL,1043164.9299571291,"[0.149704, 0.083009, 0.433305, -0.149704, -0.083009, 0.566695]"
CONTROL,1063224.4020234793,"[0.149334, 0.086892, 0.437558, -0.149334, -0.086892, 0.562442]"
CONTROL,1083285.6569904834,"[0.148817, 0.09069, 0.441873, -0.148817, -0.09069, 0.558127]"
CONTROL,1103343.8879530877,"[0.148153, 0.094398, 0.446245, -0.148153, -0.094398, 0.553755]"
CONTROL,1123401.9979601726,"[0.147343, 0.098013, 0.45067, -0.147343, -0.098013, 0.54933]"
CONTROL,1143462.302046828,"[0.146388, 0.101531, 0.455144, -0.146388, -0.101531, 0.544856]"
CONTROL,1163521.6140421107,"[0.145287, 0.10495, 0.459662, -0.145287, -0.10495, 0.540338]"
CONTROL,1183580.9160256758,"[0.144044, 0.108264, 0.46422, -0.144044, -0.108264, 0.53578]"
CONTROL,1203639.0459397808,"[0.142658, 0.111472, 0.468813, -0.142658, -0.111472, 0.531187]"
CONTROL,1223697.736975737,"[0.141132, 0.114569, 0.473437, -0.141132, -0.114569, 0.526563]"
CONTROL,1243756.528943777,"[0.139466, 0.117554, 0.478088, -0.139466, -0.117554, 0.521912]"
CONTROL,1263815.0800485164,"[0.137663, 0.120423, 0.482759, -0.137663, -0.120423, 0.517241]"
CONTROL,1283873.4700344503,"[0.135724, 0.123172, 0.487448, -0.135724, -0.123172, 0.512552]"
CONTROL,1303931.6310314462,"[0.133651, 0.125801, 0.49215, -0.133651, -0.125801, 0.50785]"
CONTROL,1323990.431963466,"[0.131446, 0.128305, 0.496859, -0.131446, -0.128305, 0.503141]"
CONTROL,1344048.6519830301,"[0.129111, 0.130682, 0.501571, -0.129111, -0.130682, 0.498429]"
CONTROL,1364105.6310152635,"[0.126649, 0.132931, 0.506281, -0.126649, -0.132931, 0.493719]"
CONTROL,1384163.9820020646,"[0.124062, 0.135048, 0.510986, -0.124062, -0.135048, 0.489014]"
CONTROL,1404221.9220427796,"[0.121353, 0.137032, 0.515679, -0.121353, -0.137032, 0.484321]"
CONTROL,1424280.6730326265,"[0.118523, 0.138881, 0.520357, -0.118523, -0.138881, 0.479643]"
CONTROL,1444336.110027507,"[0.115577, 0.140592, 0.525015, -0.115577, -0.140592, 0.474985]"
CONTROL,1464393.0279416963,"[0.112517, 0.142165, 0.529649, -0.112517, -0.142165, 0.470351]"
CONTROL,1484452.2699713707,"[0.109345, 0.143598, 0.534253, -0.109345, -0.143598, 0.465747]"
CONTROL,1504511.5019893274,"[0.106066, 0.144889, 0.538823, -0.106066, -0.144889, 0.461177]"
CONTROL,1524569.4819604978,"[0.102682, 0.146037, 0.543355, -0.102682, -0.146037, 0.456645]"
CONTROL,1544624.6679639444,"[0.099197, 0.147041, 0.547844, -0.099197, -0.147041, 0.452156]"
CONTROL,1564682.1579430252,"[0.095614, 0.147899, 0.552286, -0.095614, -0.147899, 0.447714]"
CONTROL,1584742.2110382468,"[0.091936, 0.148612, 0.556676, -0.091936, -0.148612, 0.443324]"
CONTROL,1604800.921981223,"[0.088168, 0.149178, 0.56101, -0.088168, -0.149178, 0.43899]"
CONTROL,1624860.6849694625,"[0.084313, 0.149597, 0.565285, -0.084313, -0.149597, 0.434715]"
CONTROL,1644916.2409408018,"[0.080374, 0.149868, 0.569494, -0.080374, -0.149868, 0.430506]"
CONTROL,1664971.2070357054,"[0.076356, 0.149992, 0.573636, -0.076356, -0.149992, 0.426364]"
CONTROL,1685028.0249491334,"[0.072263, 0.149967, 0.577704, -0.072263, -0.149967, 0.422296]"
CONTROL,1705087.287002243,"[0.068099, 0.149794, 0.581696, -0.068099, -0.149794, 0.418304]"
CONTROL,1725144.2959532142,"[0.063867, 0.149474, 0.585607, -0.063867, -0.149474, 0.414393]"
CONTROL,1745200.2229401842,"[0.059572, 0.149006, 0.589434, -0.059572, -0.149006, 0.410566]"
CONTROL,1765257.1609942243,"[0.055219, 0.148391, 0.593172, -0.055219, -0.148391, 0.406828]"
CONTROL,1785316.0230442882,"[0.050811, 0.147629, 0.596819, -0.050811, -0.147629, 0.403181]"
CONTROL,1805376.135976985,"[0.046353, 0.146722, 0.60037, -0.046353, -0.146722, 0.39963]"
CONTROL,1825433.1049975008,"[0.041849, 0.14567, 0.603821, -0.041849, -0.14567, 0.396179]"
CONTROL,1845493.0579755455,"[0.037303, 0.144474, 0.607171, -0.037303, -0.144474, 0.392829]"
CONTROL,1865549.6160499752,"[0.032721, 0.143136, 0.610415, -0.032721, -0.143136, 0.389585]"
CONTROL,1885605.8929814026,"[0.028107, 0.141656, 0.613549, -0.028107, -0.141656, 0.386451]"
CONTROL,1905663.7330213562,"[0.023465, 0.140037, 0.616572, -0.023465, -0.140037, 0.383428]"
CONTROL,1925721.061998047,"[0.0188, 0.138279, 0.619479, -0.0188, -0.138279, 0.380521]"
CONTROL,1945778.270950541,"[0.014116, 0.136385, 0.622269, -0.014116, -0.136385, 0.377731]"
