type,timestamp,positions,velocities,torques
STATE_MOTOR,5.777925252914429,"[-0.003834951969714103, -0.12578642460662257, 0.4325825821837508, -0.0015339807878856412, 0.11965050145508001, 0.6261620185922975]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 0, 0]"
STATE_MOTOR,20085.9559699893,"[-0.003834951969714103, -0.12578642460662257, 0.4325825821837508, -0.0015339807878856412, 0.11965050145508001, 0.6261620185922975]","[0, 0, 0, 0, 0, 0]","[0, 0, 16, 0, 1, 1]"
STATE_MOTOR,40150.08988790214,"[-0.003834951969714103, -0.12578642460662257, 0.4325825821837508, -0.0015339807878856412, 0.11965050145508001, 0.6261620185922975]","[0, 0, 0, 0, 0, 0]","[0, 0, 17, 1, 0, 1]"
STATE_MOTOR,60209.75694991648,"[-0.003834951969714103, -0.12578642460662257, 0.4325825821837508, -0.0015339807878856412, 0.11965050145508001, 0.6281540504648074]","[0, 0, 0, 0, 0, 50]","[1, 0, 16, 2, 0, 0]"
STATE_MOTOR,80270.09502984583,"[-0.003834951969714103, -0.1227184630308513, 0.43104860139586515, -0.0015339807878856412, 0.11965050145508001, 0.6294820717131474]","[0, 50, 0, 0, 0, 150]","[1, 0, 21, 2, 0, 1]"
STATE_MOTOR,100325.55600628257,"[-0.0007669903939428206, -0.11965050145508001, 0.42644665903220824, -0.0015339807878856412, 0.11965050145508001, 0.6314741035856574]","[0, 100, -150, 0, 0, 100]","[1, 0, 13, 3, 0, 1]"
STATE_MOTOR,120384.14110429585,"[0.0023009711818284618, -0.11658253987930872, 0.42337869745643697, -0.0015339807878856412, 0.11965050145508001, 0.6334661354581673]","[100, 100, -100, 0, 0, 150]","[1, 0, 13, 5, 1, 0]"
STATE_MOTOR,140449.85710643232,"[0.005368932757599744, -0.1119805975156518, 0.42184471666855133, -0.0030679615757712823, 0.11965050145508001, 0.6347941567065073]","[100, 100, -100, -50, 0, 150]","[2, 0, 14, 3, 1, 1]"
STATE_MOTOR,160510.62592305243,"[0.009970875121256667, -0.11044661672776616, 0.42184471666855133, -0.006135923151542565, 0.11965050145508001, 0.6367861885790173]","[150, 100, 0, -100, 0, 100]","[1, 0, 16, 3, 1, 1]"
STATE_MOTOR,180569.7320960462,"[0.016106798272799233, -0.10584467436410924, 0.42184471666855133, -0.010737865515199488, 0.11965050145508001, 0.6381142098273572]","[200, 100, 0, -150, 0, 100]","[1, 0, 17, 3, 1, 0]"
