type,timestamp,positions
CONTROL,4.898058250546455,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20084.474002942443,"[0.0048, 0.00576, 0.50672, 0.00768, 0.00864, 0.5096]"
CONTROL,40142.218000255525,"[0.0096, 0.01152, 0.51344, 0.01536, 0.01728, 0.5192]"
CONTROL,60203.00695672631,"[0.0144, 0.01728, 0.52016, 0.02304, 0.02592, 0.5288]"
CONTROL,80260.30997280031,"[0.0192, 0.02304, 0.52688, 0.03072, 0.03456, 0.5384]"
CONTROL,100316.35197810829,"[0.024, 0.0288, 0.5336, 0.0384, 0.0368, 0.532]"
CONTROL,120373.42495750636,"[0.0288, 0.03456, 0.53968, 0.03392, 0.02816, 0.5224]"
CONTROL,140430.24799320847,"[0.0336, 0.03968, 0.53296, 0.02624, 0.01952, 0.5128]"
CONTROL,160488.50305378437,"[0.0384, 0.03392, 0.52624, 0.01856, 0.01088, 0.5032]"
CONTROL,180546.46695964038,"[0.0368, 0.02816, 0.51952, 0.01088, 0.00224, 0.4936]"
CONTROL,200602.36903373152,"[0.032, 0.0224, 0.5128, 0.0032, -0.0064, 0.484]"
CONTROL,220658.8810076937,"[0.0272, 0.01664, 0.50608, -0.00448, -0.01504, 0.4744]"
CONTROL,240715.9940339625,"[0.0224, 0.01088, 0.49936, -0.01216, -0.02368, 0.4648]"
CONTROL,260778.02397776395,"[0.0176, 0.00512, 0.49264, -0.01984, -0.03232, 0.4648]"
CONTROL,280842.358013615,"[0.0128, -0.00064, 0.48592, -0.02752, -0.03904, 0.4744]"
CONTROL,300902.1859616041,"[0.008, -0.0064, 0.4792, -0.0352, -0.0304, 0.484]"
CONTROL,320957.46602863073,"[0.0032, -0.01216, 0.47248, -0.03712, -0.02176, 0.4936]"
CONTROL,341015.6409954652,"[-0.0016, -0.01792, 0.46576, -0.02944, -0.01312, 0.5032]"
CONTROL,361076.6399651766,"[-0.0064, -0.02368, 0.46096, -0.02176, -0.00448, 0.5128]"
CONTROL,381140.2730643749,"[-0.0112, -0.02944, 0.46768, -0.01408, 0.00416, 0.5224]"
CONTROL,401197.67596479505,"[-0.016, -0.0352, 0.4744, -0.0064, 0.0128, 0.532]"
CONTROL,421253.4170364961,"[-0.0208, -0.03904, 0.48112, 0.00128, 0.02144, 0.5384]"
CONTROL,441314.1260156408,"[-0.0256, -0.03328, 0.48784, 0.00896, 0.03008, 0.5288]"
CONTROL,461374.37399011105,"[-0.0304, -0.02752, 0.49456, 0.01664, 0.03872, 0.5192]"
CONTROL,481432.4979670346,"[-0.0352, -0.02176, 0.50128, 0.02432, 0.03264, 0.5096]"
CONTROL,501487.0980521664,"[-0.04, -0.016, 0.508, 0.032, 0.024, 0.5]"
CONTROL,521543.8799932599,"[-0.0352, -0.01024, 0.51472, 0.03968, 0.01536, 0.4904]"
CONTROL,541601.2039640918,"[-0.0304, -0.00448, 0.52144, 0.03264, 0.00672, 0.4808]"
CONTROL,561659.2180449516,"[-0.0256, 0.00128, 0.52816, 0.02496, -0.00192, 0.4712]"
CONTROL,581718.65507029,"[-0.0208, 0.00704, 0.53488, 0.01728, -0.01056, 0.4616]"
CONTROL,601775.7679801434,"[-0.016, 0.0128, 0.5384, 0.0096, -0.0192, 0.468]"
CONTROL,621830.7779636234,"[-0.0112, 0.01856, 0.53168, 0.00192, -0.02784, 0.4776]"
CONTROL,641899.898997508,"[-0.0064, 0.02432, 0.52496, -0.00576, -0.03648, 0.4872]"
CONTROL,661960.5580344796,"[-0.0016, 0.03008, 0.51824, -0.01344, -0.03488, 0.4968]"
CONTROL,682021.1060112342,"[0.0032, 0.03584, 0.51152, -0.02112, -0.02624, 0.5064]"
CONTROL,702079.9519959837,"[0.008, 0.0384, 0.5048, -0.0288, -0.0176, 0.516]"
CONTROL,722137.7460518852,"[0.0128, 0.03264, 0.49808, -0.03648, -0.00896, 0.5256]"
CONTROL,742195.550003089,"[0.0176, 0.02688, 0.49136, -0.03584, -0.00032, 0.5352]"
CONTROL,762255.6179994717,"[0.0224, 0.02112, 0.48464, -0.02816, 0.00832, 0.5352]"
CONTROL,782313.4519858286,"[0.0272, 0.01536, 0.47792, -0.02048, 0.01696, 0.5256]"
CONTROL,802369.7639582679,"[0.032, 0.0096, 0.4712, -0.0128, 0.0256, 0.516]"
CONTROL,822424.2529831827,"[0.0368, 0.00384, 0.46448, -0.00512, 0.03424, 0.5064]"
CONTROL,842480.315011926,"[0.0384, -0.00192, 0.46224, 0.00256, 0.03712, 0.4968]"
CONTROL,862535.5650437996,"[0.0336, -0.00768, 0.46896, 0.01024, 0.02848, 0.4872]"
CONTROL,882597.6060470566,"[0.0288, -0.01344, 0.47568, 0.01792, 0.01984, 0.4776]"
CONTROL,902656.0910278931,"[0.024, -0.0192, 0.4824, 0.0256, 0.0112, 0.468]"
CONTROL,922710.350016132,"[0.0192, -0.02496, 0.48912, 0.03328, 0.00256, 0.4616]"
CONTROL,942770.046996884,"[0.0144, -0.03072, 0.49584, 0.03904, -0.00608, 0.4712]"
CONTROL,962830.945965834,"[0.0096, -0.03648, 0.50256, 0.03136, -0.01472, 0.4808]"
CONTROL,982890.6529583037,"[0.0048, -0.03776, 0.50928, 0.02368, -0.02336, 0.4904]"
CONTROL,1002948.8579602912,"[0.0, -0.032, 0.516, 0.016, -0.032, 0.5]"
CONTROL,1023033.992969431,"[-0.0048, -0.02624, 0.52272, 0.00832, -0.03936, 0.5096]"
CONTROL,1043090.375023894,"[-0.0096, -0.02048, 0.52944, 0.00064, -0.03072, 0.5192]"
CONTROL,1063131.7750085145,"[-0.0144, -0.01472, 0.53616, -0.00704, -0.02208, 0.5288]"
CONTROL,1083188.898046501,"[-0.0192, -0.00896, 0.53712, -0.01472, -0.01344, 0.5384]"
CONTROL,1103247.3830273375,"[-0.024, -0.0032, 0.5304, -0.0224, -0.0048, 0.532]"
CONTROL,1123304.0250372142,"[-0.0288, 0.00256, 0.52368, -0.03008, 0.00384, 0.5224]"
CONTROL,1143361.828988418,"[-0.0336, 0.00832, 0.51696, -0.03776, 0.01248, 0.5128]"
CONTROL,1163417.870993726,"[-0.0384, 0.01408, 0.51024, -0.03456, 0.02112, 0.5032]"
CONTROL,1183475.2149879932,"[-0.0368, 0.01984, 0.50352, -0.02688, 0.02976, 0.4936]"
CONTROL,1203532.6180048287,"[-0.032, 0.0256, 0.4968, -0.0192, 0.0384, 0.484]"
CONTROL,1223595.6600634381,"[-0.0272, 0.03136, 0.49008, -0.01152, 0.03296, 0.4744]"
CONTROL,1243655.0770653412,"[-0.0224, 0.03712, 0.48336, -0.00384, 0.02432, 0.4648]"
CONTROL,1263713.042018935,"[-0.0176, 0.03712, 0.47664, 0.00384, 0.01568, 0.4648]"
CONTROL,1283770.3949771821,"[-0.0128, 0.03136, 0.46992, 0.01152, 0.00704, 0.4744]"
CONTROL,1303828.509990126,"[-0.008, 0.0256, 0.4632, 0.0192, -0.0016, 0.484]"
CONTROL,1323885.8630647883,"[-0.0032, 0.01984, 0.46352, 0.02688, -0.01024, 0.4936]"
CONTROL,1343953.5120269284,"[0.0016, 0.01408, 0.47024, 0.03456, -0.01888, 0.5032]"
CONTROL,1364012.1379867196,"[0.0064, 0.00832, 0.47696, 0.03776, -0.02752, 0.5128]"
CONTROL,1384066.527010873,"[0.0112, 0.00256, 0.48368, 0.03008, -0.03616, 0.5224]"
CONTROL,1404122.9990543798,"[0.016, -0.0032, 0.4904, 0.0224, -0.0352, 0.532]"
CONTROL,1424190.2870126069,"[0.0208, -0.00896, 0.49712, 0.01472, -0.02656, 0.5384]"
CONTROL,1444250.3050668165,"[0.0256, -0.01472, 0.50384, 0.00704, -0.01792, 0.5288]"
CONTROL,1464308.6100695655,"[0.0304, -0.02048, 0.51056, -0.00064, -0.00928, 0.5192]"
CONTROL,1484366.5240332484,"[0.0352, -0.02624, 0.51728, -0.00832, -0.00064, 0.5096]"
CONTROL,1504423.5669774935,"[0.04, -0.032, 0.524, -0.016, 0.008, 0.5]"
CONTROL,1524481.722037308,"[0.0352, -0.03776, 0.53072, -0.02368, 0.01664, 0.4904]"
CONTROL,1544539.1460089013,"[0.0304, -0.03648, 0.53744, -0.03136, 0.02528, 0.4808]"
