type,timestamp,positions
CONTROL,4.956964403390884,"[0.039468, 0.039468, 0.539468, 0.039468, 0.039468, 0.539468]"
CONTROL,20080.370013602078,"[0.041744, 0.045072, 0.548293, 0.051402, 0.054395, 0.557269]"
CONTROL,40136.593976058066,"[0.043974, 0.050378, 0.556325, 0.061787, 0.066743, 0.571178]"
CONTROL,60196.39305304736,"[0.046158, 0.055367, 0.563496, 0.070475, 0.076263, 0.580851]"
CONTROL,80257.65500497073,"[0.048293, 0.060022, 0.569758, 0.077386, 0.082888, 0.586338]"
CONTROL,100315.52100554109,"[0.050378, 0.06433, 0.575081, 0.082509, 0.086724, 0.588042]"
CONTROL,120373.5179733485,"[0.052412, 0.06828, 0.579454, 0.085899, 0.088035, 0.586645]"
CONTROL,140431.74497783184,"[0.054395, 0.071865, 0.582888, 0.087673, 0.087209, 0.583005]"
CONTROL,160490.94300251454,"[0.056325, 0.075081, 0.585407, 0.087998, 0.084717, 0.578035]"
CONTROL,180550.02205073833,"[0.058201, 0.077926, 0.587058, 0.087081, 0.081068, 0.572592]"
CONTROL,200612.194952555,"[0.060022, 0.0804, 0.587898, 0.085156, 0.076768, 0.567376]"
CONTROL,220669.4600172341,"[0.061787, 0.082509, 0.587998, 0.082472, 0.072274, 0.562857]"
CONTROL,240726.03497188538,"[0.063496, 0.084259, 0.587441, 0.079277, 0.06796, 0.559245]"
CONTROL,260786.66502144188,"[0.065149, 0.08566, 0.586316, 0.075807, 0.064097, 0.556492]"
CONTROL,280847.09495306015,"[0.066743, 0.086724, 0.584717, 0.072274, 0.060829, 0.554334]"
CONTROL,300904.6110091731,"[0.06828, 0.087464, 0.58274, 0.068854, 0.058185, 0.552365]"
CONTROL,320961.0260091722,"[0.069758, 0.087898, 0.580482, 0.065685, 0.056078, 0.550117]"
CONTROL,341020.8550048992,"[0.071178, 0.088042, 0.578035, 0.062857, 0.054334, 0.547158]"
CONTROL,361077.8299625963,"[0.072538, 0.087917, 0.575485, 0.060414, 0.052719, 0.543168]"
CONTROL,381135.82704681903,"[0.073839, 0.087544, 0.572912, 0.058354, 0.050971, 0.538002]"
CONTROL,401196.0469651967,"[0.075081, 0.086944, 0.570385, 0.056634, 0.048836, 0.531714]"
CONTROL,421253.01202759147,"[0.076263, 0.08614, 0.56796, 0.055174, 0.046102, 0.524558]"
CONTROL,441309.24600176513,"[0.077386, 0.085156, 0.565685, 0.053871, 0.042622, 0.516945]"
CONTROL,461367.43295937777,"[0.07845, 0.084015, 0.563591, 0.052602, 0.038338, 0.509383]"
CONTROL,481423.97799529135,"[0.079454, 0.08274, 0.561698, 0.051239, 0.033284, 0.502396]"
CONTROL,501482.17496462166,"[0.0804, 0.081356, 0.560012, 0.049657, 0.027586, 0.496438]"
CONTROL,521539.56005349755,"[0.081287, 0.079885, 0.558527, 0.047748, 0.021451, 0.491822]"
CONTROL,541598.6289735883,"[0.082116, 0.078348, 0.557224, 0.045422, 0.015141, 0.488667]"
CONTROL,561659.1490106657,"[0.082888, 0.076768, 0.556078, 0.042622, 0.008951, 0.48687]"
CONTROL,581719.2490212619,"[0.083602, 0.075163, 0.555051, 0.039323, 0.003172, 0.486121]"
CONTROL,601794.1910540685,"[0.084259, 0.073554, 0.554102, 0.035538, -0.001939, 0.485944]"
CONTROL,621854.8120232299,"[0.084861, 0.071956, 0.553183, 0.031314, -0.006186, 0.485769]"
CONTROL,641912.1769722551,"[0.085407, 0.070385, 0.552245, 0.026731, -0.009458, 0.485018]"
CONTROL,661969.5930276066,"[0.085899, 0.068854, 0.551239, 0.021898, -0.011743, 0.483201]"
CONTROL,682026.1980174109,"[0.086338, 0.067376, 0.550117, 0.016945, -0.01313, 0.479997]"
CONTROL,702086.3679936156,"[0.086724, 0.06596, 0.548836, 0.012013, -0.013804, 0.475319]"
CONTROL,722143.623046577,"[0.087058, 0.064614, 0.547358, 0.007246, -0.014024, 0.469341]"
CONTROL,742201.7200151458,"[0.087341, 0.063343, 0.545652, 0.002782, -0.014102, 0.462495]"
CONTROL,762258.084025234,"[0.087575, 0.062152, 0.543697, -0.001258, -0.014368, 0.455426]"
CONTROL,782316.5820445865,"[0.08776, 0.061042, 0.54148, -0.004777, -0.015132, 0.44891]"
CONTROL,802373.9679483697,"[0.087898, 0.060012, 0.538999, -0.00771, -0.016656, 0.443759]"
CONTROL,822430.3120514378,"[0.087989, 0.059061, 0.536261, -0.010029, -0.019115, 0.440707]"
CONTROL,842488.709022291,"[0.088035, 0.058185, 0.533284, -0.011743, -0.022582, 0.440304]"
CONTROL,862546.6160010546,"[0.088038, 0.057378, 0.530095, -0.0129, -0.027005, 0.44283]"
CONTROL,882605.3440570831,"[0.087998, 0.056634, 0.526731, -0.013587, -0.032213, 0.448241]"
CONTROL,902662.017964758,"[0.087917, 0.055944, 0.523234, -0.013919, -0.037921, 0.456152]"
CONTROL,922727.8570178896,"[0.087796, 0.055299, 0.519653, -0.014036, -0.043755, 0.465871]"
CONTROL,942791.8420406058,"[0.087637, 0.054688, 0.516042, -0.014094, -0.04928, 0.476464]"
CONTROL,962853.3739596605,"[0.087441, 0.054102, 0.512456, -0.014254, -0.054037, 0.486861]"
CONTROL,982918.0809902027,"[0.087209, 0.053527, 0.508951, -0.01467, -0.057591, 0.495981]"
CONTROL,1002985.6120236218,"[0.086944, 0.052952, 0.505581, -0.01548, -0.059569, 0.502857]"
CONTROL,1023083.7289709598,"[0.086645, 0.052365, 0.502396, -0.016799, -0.059696, 0.506758]"
CONTROL,1043144.0590182319,"[0.086316, 0.051753, 0.49944, -0.018703, -0.057831, 0.507277]"
CONTROL,1063200.7740205154,"[0.085957, 0.051106, 0.496753, -0.021229, -0.053981, 0.504387]"
CONTROL,1083234.042976983,"[0.085569, 0.050411, 0.494363, -0.024367, -0.048312, 0.498451]"
CONTROL,1103307.262994349,"[0.085156, 0.049657, 0.49229, -0.028063, -0.041139, 0.490178]"
CONTROL,1123364.6690379828,"[0.084717, 0.048836, 0.490542, -0.032213, -0.032908, 0.480555]"
CONTROL,1143421.0629668087,"[0.084254, 0.047937, 0.489119, -0.036674, -0.024165, 0.470727]"
CONTROL,1163482.615025714,"[0.08377, 0.046954, 0.488008, -0.041267, -0.015509, 0.461876]"
CONTROL,1183541.9239941984,"[0.083265, 0.045879, 0.487184, -0.045788, -0.007554, 0.455084]"
CONTROL,1203601.1819727719,"[0.08274, 0.044707, 0.486615, -0.050017, -0.000868, 0.451226]"
CONTROL,1223660.3610217571,"[0.082199, 0.043435, 0.486258, -0.053732, 0.004063, 0.450873]"
CONTROL,1243718.04704424,"[0.081641, 0.04206, 0.486064, -0.056722, 0.006884, 0.454249]"
CONTROL,1263775.462983176,"[0.081068, 0.040581, 0.485976, -0.058797, 0.007396, 0.461219]"
CONTROL,1283829.4140528888,"[0.080482, 0.038999, 0.485935, -0.059803, 0.005577, 0.471323]"
