type,timestamp,positions
CONTROL,6.210058927536011,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20096.68096434325,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40154.81402166188,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60212.726006284356,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80271.6399775818,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100329.14206385612,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120388.35603743792,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140447.72100169212,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160504.5619653538,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180568.12300346792,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200634.49803274125,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220698.58002942055,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240762.20102142543,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260823.53899255395,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280878.82697582245,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300940.9459773451,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321005.56895602494,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341058.7339894846,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361121.0130620748,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381181.69002700597,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401241.2449810654,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421306.6480588168,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441366.6339823976,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461423.9459624514,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481484.5820656046,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501542.794983834,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521602.74097695947,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541661.2740373239,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561722.512007691,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581780.6950071827,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601837.2849794105,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621895.2180352062,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641958.7379787117,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662018.4540515766,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682077.4480002001,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702139.2360329628,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722202.0860062912,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742258.3759762347,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762319.0729646012,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782378.036994487,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802438.3529555053,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822494.1929802299,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842556.782066822,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862617.5690442324,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882677.0239975303,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902734.8960516974,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922794.6209721267,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942852.1930240095,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962910.7170039788,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982968.1690316647,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003026.4720553532,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023121.2989892811,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043178.0100334436,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063236.3230688497,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083293.5450598598,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103351.4270093292,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123408.4980096668,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143468.484049663,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163527.328055352,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183585.1500509307,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203642.1520169824,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223699.3130063638,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243754.9519818276,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263814.6369718015,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283872.9600189254,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1303929.5710623264,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1323990.548029542,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344057.4340056628,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364114.8160677403,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384171.5160524473,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404229.4790269807,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424285.6689961627,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444343.9120659605,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464403.6670215428,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484462.1010124683,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504519.4020494819,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524578.8469910622,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544636.9900600985,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564697.6169664413,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584757.6920641586,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604813.7219622731,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1624872.8460632265,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1644931.0190510005,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1664989.6929739043,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685046.794009395,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705106.4390689135,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725165.5439613387,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745222.655008547,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765282.7110141516,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785341.4349956438,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805397.4440554157,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825454.3750081211,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845515.4330004007,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865573.4050553292,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885627.81305518,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1905686.5660240874,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1925748.6250717193,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1945809.531956911,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1965867.214021273,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1985923.5340263695,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2005992.9640265182,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2026090.0050634518,"[0.0, 3.9e-05, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2046148.1380043551,"[0.0, 0.000156, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2066209.696000442,"[0.0, 0.00035, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2086277.3529952392,"[0.0, 0.000622, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2106344.109051861,"[0.0, 0.000972, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2126405.216054991,"[0.0, 0.001398, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2146463.279030286,"[0.0, 0.001903, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2166529.0229720995,"[0.0, 0.002484, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2186587.2560301796,"[0.0, 0.003141, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2206644.637044519,"[0.0, 0.003875, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2226707.668043673,"[0.0, 0.004686, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2246766.0510446876,"[0.0, 0.005572, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2266826.587030664,"[0.0, 0.006533, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2286894.4350630045,"[0.0, 0.007569, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2306957.9859729856,"[0.0, 0.00868, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2327021.255972795,"[0.0, 0.009864, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2347082.043066621,"[0.0, 0.011122, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2367140.126065351,"[0.0, 0.012453, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2387197.326985188,"[0.0, 0.013856, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2407253.848039545,"[0.0, 0.01533, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2427312.2410522774,"[0.0, 0.016876, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2447373.628965579,"[0.0, 0.018492, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2467436.3679951057,"[0.0, 0.020177, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2487494.722008705,"[0.0, 0.021932, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2507557.3009671643,"[0.0, 0.023754, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2527622.024063021,"[0.0, 0.025644, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2547684.4729855657,"[0.0, 0.0276, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2567748.8950314,"[0.0, 0.029621, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2587810.083059594,"[0.0, 0.031707, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2607879.3719643727,"[0.0, 0.033857, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2627947.199041955,"[0.0, 0.03607, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2648007.735959254,"[0.0, 0.038344, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2668071.747990325,"[0.0, 0.040679, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2688132.7650044113,"[0.0, 0.043074, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2708191.649056971,"[0.0, 0.045527, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2728251.3639656827,"[0.0, 0.048038, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2748316.3670403883,"[0.0, 0.050606, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2768375.5110483617,"[0.0, 0.053229, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2788433.5740236565,"[0.0, 0.055905, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2808494.101045653,"[0.0, 0.058635, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2828556.1590455472,"[0.0, 0.061417, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2848614.613059908,"[0.0, 0.064249, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2868671.3030328974,"[0.0, 0.06713, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2888734.173029661,"[0.0, 0.070059, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2908797.5240545347,"[0.0, 0.073035, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2928859.031992033,"[0.0, 0.076056, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2948919.167974964,"[0.0, 0.079122, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2968979.0330594406,"[0.0, 0.082229, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2989037.606981583,"[0.0, 0.085378, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3009065.925027244,"[0.0, 0.088567, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3029155.8649623767,"[0.0, 0.091795, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3049218.895030208,"[0.0, 0.095059, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3069278.0900280923,"[0.0, 0.098359, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3089341.711020097,"[0.0, 0.101693, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3109407.9660251737,"[0.0, 0.105059, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3129472.2880702466,"[0.0, 0.108457, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3149530.2809635177,"[0.0, 0.111884, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3169592.670048587,"[0.0, 0.115339, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3189653.4169791266,"[0.0, 0.118821, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3209718.8000334427,"[0.0, 0.122328, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3229780.1580280066,"[0.0, 0.125858, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3249838.871997781,"[0.0, 0.12941, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3269898.817059584,"[0.0, 0.132982, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3289958.6530402303,"[0.0, 0.136573, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3310020.321048796,"[0.0, 0.140181, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3330077.721970156,"[0.0, 0.143804, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3350142.876035534,"[0.0, 0.147442, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3370204.283040948,"[0.0, 0.151091, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3390272.050979547,"[0.0, 0.154752, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3410334.7799973562,"[0.0, 0.158421, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3430399.834061973,"[0.0, 0.162097, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3450461.021042429,"[0.0, 0.16578, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3470523.69103767,"[0.0, 0.169466, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3490587.853011675,"[0.0, 0.173155, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3510650.912998244,"[0.0, 0.176845, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3530713.7130293995,"[0.0, 0.180534, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3550773.0869576335,"[0.0, 0.18422, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3570833.893958479,"[0.0, 0.187903, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3590893.669053912,"[0.0, 0.191579, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3610953.154042363,"[0.0, 0.195248, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3631013.03006988,"[0.0, 0.198909, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3651071.903994307,"[0.0, 0.202558, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3671129.264985211,"[0.0, 0.206196, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3691187.869058922,"[0.0, 0.209819, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3711243.347963318,"[0.0, 0.213427, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3731301.8309650943,"[0.0, 0.217018, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3751359.8239747807,"[0.0, 0.22059, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3771429.904969409,"[0.0, 0.224142, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3791490.2210468426,"[0.0, 0.227672, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3811551.0480711237,"[0.0, 0.231179, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3831613.707006909,"[0.0, 0.234661, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3851675.224956125,"[0.0, 0.238116, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3871737.3240506276,"[0.0, 0.241543, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3891800.3840371966,"[0.0, 0.244941, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3911862.903041765,"[0.0, 0.248307, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3931921.4570568874,"[0.0, 0.251641, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3951980.5810414255,"[0.0, 0.254941, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3972037.6330660656,"[0.0, 0.258205, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3992102.165007964,"[0.0, 0.261433, 0.5, 0.0, 0.0, 0.5]"
CONTROL,4012168.7300270423,"[0.0, 0.264622, 0.5, 0.0, 0.0, 0.5]"
CONTROL,4032257.0679709315,"[0.0, 0.267771, 0.5, 0.0, 0.0, 0.5]"
CONTROL,4052314.34002053,"[0.0, 0.270878, 0.5, 0.0, 0.0, 0.5]"
CONTROL,4072372.823022306,"[0.0, 0.273944, 0.5, 0.0, 0.0, 0.5]"
CONTROL,4092431.16597645,"[0.0, 0.276965, 0.5, 0.0, 0.0, 0.5]"
CONTROL,4112491.4720421657,"[0.0, 0.279941, 0.5, 0.0, 0.0, 0.5]"
