type,timestamp,positions,velocities,torques
STATE_MOTOR,6.16908073425293,"[-0.009970875121256667, 0.0046019423636569235, 0.6703496043060252, -0.0046019423636569235, 0.06596117387908257, 0.50199203187251]","[0, 0, 0, 0, 0, 0]","[1, 1, 18, 0, 1, 1]"
STATE_MOTOR,20101.299975067377,"[-0.009970875121256667, 0.0046019423636569235, 0.6703496043060252, -0.0046019423636569235, 0.06596117387908257, 0.50199203187251]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 1, 1, 0]"
STATE_MOTOR,40162.672055885196,"[-0.009970875121256667, 0.0046019423636569235, 0.6703496043060252, -0.0046019423636569235, 0.06596117387908257, 0.50199203187251]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 1, 1, 1]"
STATE_MOTOR,60221.729101613164,"[-0.009970875121256667, 0.0046019423636569235, 0.6703496043060252, -0.0030679615757712823, 0.06596117387908257, 0.50199203187251]","[0, 0, 0, 50, 0, 0]","[2, 0, 9, 1, 1, 3]"
STATE_MOTOR,80280.666006729,"[-0.009970875121256667, 0.007669903939428206, 0.6703496043060252, 0.0015339807878856412, 0.07056311624273949, 0.5046480743691899]","[0, 50, 0, 100, 50, 50]","[1, 0, 11, 1, 1, 1]"
STATE_MOTOR,100335.19705757499,"[-0.005368932757599744, 0.01227184630308513, 0.6703496043060252, 0.006135923151542565, 0.07209709703062514, 0.5079681274900398]","[50, 150, 0, 150, 150, 200]","[2, 0, 10, 1, 0, 2]"
STATE_MOTOR,120404.36919778585,"[-0.003834951969714103, 0.01687378866674205, 0.6703496043060252, 0.010737865515199488, 0.07516505860639641, 0.5112881806108898]","[100, 150, 0, 150, 100, 250]","[2, 0, 8, 0, 0, 0]"
STATE_MOTOR,140463.6271763593,"[0.0007669903939428206, 0.023009711818284616, 0.6703496043060252, 0.01687378866674205, 0.07516505860639641, 0.5139442231075697]","[100, 200, 0, 200, 0, 250]","[2, 0, 8, 0, 0, 1]"
STATE_MOTOR,160521.25301212072,"[0.005368932757599744, 0.02761165418194154, 0.6703496043060252, 0.021475731030398976, 0.0782330201821677, 0.5172642762284196]","[150, 150, 0, 150, 50, 250]","[1, 0, 7, 0, 0, 3]"
STATE_MOTOR,180593.97116303444,"[0.013038836697027949, 0.0337475773334841, 0.6703496043060252, 0.026077673394055898, 0.07976700097005333, 0.5219123505976095]","[150, 200, 0, 150, 50, 250]","[0, 0, 5, 0, 0, 1]"
STATE_MOTOR,200649.4530942291,"[0.017640779060684873, 0.03834951969714103, 0.6703496043060252, 0.030679615757712823, 0.08130098175793898, 0.5258964143426295]","[250, 150, 0, 150, 100, 300]","[0, 0, 6, 0, 0, 1]"
STATE_MOTOR,220706.3171081245,"[0.023776702212227437, 0.04295146206079795, 0.6703496043060252, 0.035281558121369745, 0.08130098175793898, 0.5298804780876494]","[150, 150, 0, 100, 0, 300]","[0, 0, 5, 1, 1, 2]"
STATE_MOTOR,240764.964139089,"[0.02684466378799872, 0.044485442848683596, 0.6703496043060252, 0.03988350048502667, 0.08130098175793898, 0.5332005312084993]","[150, 100, 0, 150, 0, 300]","[1, 0, 5, 0, 0, 2]"
STATE_MOTOR,260824.4230505079,"[0.029912625363770002, 0.04908738521234052, 0.6703496043060252, 0.044485442848683596, 0.08130098175793898, 0.5371845949535192]","[100, 100, 0, 150, 0, 250]","[0, 0, 4, 0, 0, 1]"
STATE_MOTOR,280882.17810727656,"[0.03144660615165564, 0.05368932757599744, 0.6703496043060252, 0.04908738521234052, 0.08130098175793898, 0.5411686586985391]","[100, 150, 0, 200, 0, 300]","[1, 0, 4, 0, 1, 1]"
STATE_MOTOR,300936.0881987959,"[0.032980586939541284, 0.05829126993965436, 0.6703496043060252, 0.05368932757599744, 0.08130098175793898, 0.5444887118193891]","[50, 150, 0, 150, 0, 300]","[1, 1, 4, 0, 0, 1]"
STATE_MOTOR,320994.1741079092,"[0.03604854851531257, 0.06135923151542565, 0.6703496043060252, 0.05829126993965436, 0.08130098175793898, 0.547808764940239]","[50, 100, 0, 150, 0, 250]","[0, 0, 4, 0, 1, 1]"
STATE_MOTOR,341060.7429686934,"[0.03911651009108385, 0.06442719309119693, 0.6703496043060252, 0.06289321230331128, 0.08283496254582462, 0.5511288180610889]","[100, 100, 0, 150, 0, 250]","[1, 0, 4, 0, 0, 1]"
STATE_MOTOR,361120.0409941375,"[0.04218447166685513, 0.06902913545485385, 0.6703496043060252, 0.06596117387908257, 0.08283496254582462, 0.5544488711819389]","[150, 100, 0, 100, 50, 250]","[1, 0, 2, 0, 0, 1]"
STATE_MOTOR,381178.56718599796,"[0.04832039481839769, 0.07209709703062514, 0.6703496043060252, 0.06902913545485385, 0.08283496254582462, 0.5571049136786188]","[100, 150, 0, 100, 0, 250]","[1, 0, 2, 0, 0, 0]"
STATE_MOTOR,401233.75901021063,"[0.05292233718205462, 0.07669903939428206, 0.6688156235181395, 0.07363107781851078, 0.08283496254582462, 0.5597609561752988]","[150, 150, -50, 150, 0, 200]","[0, 0, 3, 0, 0, 0]"
STATE_MOTOR,421296.3820900768,"[0.0559902987578259, 0.07976700097005333, 0.6688156235181395, 0.07669903939428206, 0.08283496254582462, 0.5624169986719787]","[150, 100, 0, 100, 0, 200]","[0, 0, 3, 1, 0, 0]"
STATE_MOTOR,441363.5211531073,"[0.059058260333597186, 0.08130098175793898, 0.6688156235181395, 0.08130098175793898, 0.08283496254582462, 0.5644090305444888]","[100, 50, 0, 150, 0, 150]","[1, 0, 3, 0, 0, 1]"
STATE_MOTOR,461420.3160163015,"[0.0636602026972541, 0.08436894333371026, 0.6703496043060252, 0.08436894333371026, 0.08283496254582462, 0.5657370517928287]","[150, 100, 50, 100, 0, 150]","[0, 0, 3, 0, 1, 1]"
STATE_MOTOR,481476.2081950903,"[0.06672816427302539, 0.08897088569736719, 0.6688156235181395, 0.08743690490948154, 0.08283496254582462, 0.5677290836653387]","[100, 150, 0, 100, 0, 150]","[0, 0, 3, 0, 0, 1]"
