type,timestamp,positions,velocities,torques
STATE_MOTOR,4.025991074740887,"[-0.008436894333371026, 0.0046019423636569235, 0.6741845562757393, -0.006135923151542565, 0.0674951546669682, 0.5009848982271832]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.479094, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,20092.46696252376,"[-0.008436894333371026, 0.0046019423636569235, 0.6741845562757393, -0.006135923151542565, 0.0674951546669682, 0.5009848982271832]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.0, 0.022814, 0.0]"
STATE_MOTOR,40150.36299824715,"[-0.008436894333371026, 0.0046019423636569235, 0.6741845562757393, -0.006135923151542565, 0.0674951546669682, 0.5009848982271832]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.365024, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,60208.700015209615,"[-0.008436894333371026, 0.0046019423636569235, 0.6741845562757393, -0.006135923151542565, 0.0674951546669682, 0.5009848982271832]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.0, 0.365024, 0.022814, 0.045628, 0.045628]"
STATE_MOTOR,80272.35500048846,"[-0.006902913545485385, 0.007669903939428206, 0.6741845562757393, -0.0015339807878856412, 0.0674951546669682, 0.5029546946815495]","[0.07669903939428206, 0.07669903939428206, 0.0, 0.23009711818284617, 0.0, 0.15339807878856412]","[0.045628, 0.0, 0.22814, 0.0, 0.045628, 0.0]"
STATE_MOTOR,100331.40203449875,"[-0.006902913545485385, 0.01227184630308513, 0.6741845562757393, 0.0046019423636569235, 0.0674951546669682, 0.5068942875902823]","[0.0, 0.23009711818284617, 0.0, 0.23009711818284617, 0.0, 0.38349519697141027]","[0.045628, 0.0, 0.205326, 0.0, 0.045628, 0.022814]"
STATE_MOTOR,120391.90204814076,"[-0.005368932757599744, 0.018407769454627694, 0.6741845562757393, 0.007669903939428206, 0.06902913545485385, 0.5108338804990151]","[0.07669903939428206, 0.30679615757712825, 0.0, 0.23009711818284617, 0.0, 0.46019423636569234]","[0.0, 0.0, 0.22814, 0.0, 0.0, 0.022814]"
STATE_MOTOR,140449.36804566532,"[-0.003834951969714103, 0.02454369260617026, 0.6741845562757393, 0.01380582709097077, 0.07056311624273949, 0.5147734734077478]","[0.07669903939428206, 0.30679615757712825, 0.0, 0.23009711818284617, 0.07669903939428206, 0.38349519697141027]","[0.045628, 0.022814, 0.159698, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,160508.69598984718,"[-0.0007669903939428206, 0.02914563496982718, 0.6741845562757393, 0.019941750242513333, 0.07363107781851078, 0.5180564674983585]","[0.15339807878856412, 0.30679615757712825, 0.0, 0.30679615757712825, 0.15339807878856412, 0.46019423636569234]","[0.045628, 0.0, 0.182512, 0.0, 0.022814, 0.045628]"
STATE_MOTOR,180571.7700626701,"[0.003834951969714103, 0.032213596545598466, 0.6741845562757393, 0.02454369260617026, 0.07516505860639641, 0.5219960604070912]","[0.23009711818284617, 0.15339807878856412, 0.0, 0.30679615757712825, 0.15339807878856412, 0.46019423636569234]","[0.022814, 0.0, 0.182512, 0.0, 0.0, 0.022814]"
