type,timestamp,positions,velocities,torques
STATE_MOTOR,4.988047294318676,"[-0.011504855909142308, 0.0046019423636569235, 0.572941824275287, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.022814, 0.0, 0.0]"
STATE_MOTOR,20078.06394249201,"[-0.011504855909142308, 0.0046019423636569235, 0.572941824275287, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.45628, 0.0, 0.022814, 0.0]"
STATE_MOTOR,40134.334936738014,"[-0.011504855909142308, 0.0046019423636569235, 0.572941824275287, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.022814, 0.0, 0.0]"
STATE_MOTOR,60194.25194244832,"[-0.011504855909142308, 0.0046019423636569235, 0.572941824275287, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,80252.24599987268,"[-0.011504855909142308, 0.0046019423636569235, 0.572941824275287, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.365024, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,100323.11896793544,"[-0.011504855909142308, 0.0046019423636569235, 0.572941824275287, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,120382.38497916609,"[-0.011504855909142308, 0.0046019423636569235, 0.572941824275287, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.0, 0.022814]"
STATE_MOTOR,140441.7409794405,"[-0.011504855909142308, 0.0046019423636569235, 0.572941824275287, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.479094, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,160502.6989709586,"[-0.011504855909142308, 0.0046019423636569235, 0.572941824275287, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.0, 0.387838, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,180560.9529837966,"[-0.011504855909142308, 0.0046019423636569235, 0.572941824275287, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.365024, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,200624.48596581817,"[-0.011504855909142308, 0.0046019423636569235, 0.572941824275287, -0.006135923151542565, 0.009203884727313847, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.022814, 0.022814, 0.022814]"
