type,timestamp,positions
CONTROL,5.2979448810219765,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20084.16294120252,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40140.843950212,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60214.780969545245,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80273.15395884216,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100329.575012438,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120389.42100480199,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140444.34996321797,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160502.49303225428,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180560.8969880268,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200619.41002495587,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220683.80296695977,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240743.55897028,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260803.15397121012,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280861.5679387003,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300918.9299773425,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320983.70394669473,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341042.3779860139,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361102.333990857,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381162.80001122504,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401220.4830069095,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421278.2559916377,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441336.8799723685,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461395.6939429045,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481454.91897594184,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501511.7309521884,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521572.13794998825,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541630.2100056782,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561693.5819853097,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581751.6749957576,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601808.637031354,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
