type,timestamp,positions,velocities,torques
STATE_MOTOR,1.3220123946666718,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.387838, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,20076.310029253364,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.387838, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,40138.52903153747,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.45628, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,60198.36408086121,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.524722, 0.022814, 0.0, 0.0]"
STATE_MOTOR,80256.60703424364,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,100317.55408272147,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.410652, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,120375.58702286333,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.547536, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,140434.37002692372,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.387838, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,160494.62603405118,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.524722, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,180554.3010123074,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.0, 0.022814]"
STATE_MOTOR,200615.73898419738,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.524722, 0.022814, 0.0, 0.0]"
STATE_MOTOR,220674.84306171536,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,240733.66704396904,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.45628, 0.0, 0.0, 0.0]"
STATE_MOTOR,260794.1230526194,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.57035, 0.0, 0.022814, 0.0]"
STATE_MOTOR,280852.3060521111,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,300915.7970082015,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.0]"
STATE_MOTOR,320973.92005380243,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.387838, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,341037.9410488531,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.0, 0.410652, 0.0, 0.022814, 0.0]"
STATE_MOTOR,361099.95003789663,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,381156.58005699515,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,401229.7249864787,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,421288.51904999465,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.501908, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,441351.05807799846,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.0, 0.0, 0.0]"
STATE_MOTOR,461410.22199299186,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.0, 0.0]"
STATE_MOTOR,481468.00498943776,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,501529.7530917451,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.387838, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,521590.5390214175,"[0.006902913545485385, 0.0046019423636569235, 0.5744758050631726, -0.006135923151542565, -0.006135923151542565, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.501908, 0.022814, 0.022814, 0.0]"
