type,timestamp,positions,velocities,torques
STATE_MOTOR,5.517853423953056,"[-0.009970875121256667, 0.07669903939428206, 0.5614369683661447, -0.0015339807878856412, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 1]"
STATE_MOTOR,20091.47801436484,"[-0.009970875121256667, 0.07669903939428206, 0.5614369683661447, -0.0015339807878856412, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 1, 1]"
STATE_MOTOR,40154.71297316253,"[-0.009970875121256667, 0.07669903939428206, 0.5614369683661447, -0.0015339807878856412, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[2, 0, 8, 1, 0, 2]"
STATE_MOTOR,60217.998921871185,"[-0.009970875121256667, 0.0782330201821677, 0.5614369683661447, 0.0015339807878856412, 0.01227184630308513, 0.49867197875166]","[0, 0, 0, 0, 50, 0]","[2, 0, 6, 2, 1, 5]"
STATE_MOTOR,80273.19191023707,"[-0.009970875121256667, 0.08130098175793898, 0.5614369683661447, 0.007669903939428206, 0.01380582709097077, 0.50265604249668]","[0, 50, 0, 100, 50, 200]","[1, 0, 4, 1, 3, 2]"
STATE_MOTOR,100336.6990480572,"[-0.006902913545485385, 0.08743690490948154, 0.5614369683661447, 0.01687378866674205, 0.019941750242513333, 0.5086321381142098]","[100, 150, 0, 250, 150, 400]","[1, 0, 2, 1, 2, 2]"
STATE_MOTOR,120402.44787931442,"[-0.005368932757599744, 0.09357282806102411, 0.5614369683661447, 0.026077673394055898, 0.02761165418194154, 0.5132802124833997]","[50, 150, 0, 300, 250, 400]","[2, 1, 2, 0, 2, 2]"
STATE_MOTOR,140461.616916582,"[-0.003834951969714103, 0.09817477042468103, 0.5614369683661447, 0.035281558121369745, 0.0337475773334841, 0.5185922974767596]","[50, 250, 0, 250, 250, 400]","[2, 0, 0, 0, 1, 2]"
STATE_MOTOR,160519.09397356212,"[0.0007669903939428206, 0.10277671278833796, 0.5614369683661447, 0.044485442848683596, 0.04295146206079795, 0.5239043824701195]","[100, 100, 0, 350, 250, 400]","[1, 0, 1, 1, 1, 1]"
STATE_MOTOR,180577.96289213002,"[0.003834951969714103, 0.10891263593988051, 0.5645049299419159, 0.05368932757599744, 0.052155346788111796, 0.5292164674634794]","[150, 250, 50, 300, 250, 400]","[1, 1, 1, 0, 2, 2]"
STATE_MOTOR,200641.53987914324,"[0.008436894333371026, 0.1119805975156518, 0.5675728915176872, 0.06442719309119693, 0.059825250727540004, 0.5338645418326693]","[100, 100, 100, 300, 300, 350]","[1, 0, 0, 1, 1, 1]"
STATE_MOTOR,220700.9589765221,"[0.013038836697027949, 0.11504855909142309, 0.5721748338813442, 0.07363107781851078, 0.0674951546669682, 0.5385126162018592]","[150, 100, 150, 300, 250, 350]","[0, 0, 1, 1, 1, 1]"
STATE_MOTOR,240760.78995130956,"[0.016106798272799233, 0.11811652066719437, 0.5752427954571154, 0.08130098175793898, 0.07516505860639641, 0.5424966799468791]","[150, 100, 100, 300, 250, 350]","[0, 0, 0, 1, 1, 1]"
STATE_MOTOR,260818.3368574828,"[0.020708740636456155, 0.12118448224296564, 0.581378718608658, 0.09050486648525283, 0.08130098175793898, 0.545816733067729]","[100, 100, 150, 300, 250, 300]","[1, 0, 1, 0, 0, 0]"
STATE_MOTOR,280877.42696516216,"[0.023776702212227437, 0.12425244381873693, 0.5875146417602005, 0.09817477042468103, 0.08897088569736719, 0.549136786188579]","[100, 150, 200, 300, 200, 250]","[0, 0, 0, 1, 1, 0]"
STATE_MOTOR,300947.8629101068,"[0.02531068300011308, 0.1273204053945082, 0.5936505649117432, 0.10737865515199488, 0.09357282806102411, 0.5511288180610889]","[100, 100, 200, 250, 200, 200]","[1, 0, 0, 0, 1, 1]"
STATE_MOTOR,321010.336978361,"[0.02684466378799872, 0.1303883669702795, 0.5997864880632857, 0.11504855909142309, 0.09970875121256667, 0.5531208499335989]","[50, 50, 200, 250, 150, 150]","[0, 0, 0, 0, 0, 0]"
