type,timestamp,positions,velocities,torques
STATE_MOTOR,6.529968231916428,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, -0.0015339807878856412, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 1]"
STATE_MOTOR,20087.94783614576,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, -0.0015339807878856412, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 1, 0]"
STATE_MOTOR,40148.33504334092,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, -0.0015339807878856412, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 12, 0, 1, 1]"
STATE_MOTOR,60205.02699539065,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, -0.0015339807878856412, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 0, 1]"
STATE_MOTOR,80270.77186852694,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, -0.0015339807878856412, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 18, 0, 1, 0]"
STATE_MOTOR,100332.6210193336,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, -0.0015339807878856412, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 17, 0, 1, 1]"
STATE_MOTOR,120393.80986243486,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, -0.0015339807878856412, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 1, 0]"
STATE_MOTOR,140459.28395353258,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, -0.0015339807878856412, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 0]"
STATE_MOTOR,160514.84388299286,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, -0.0015339807878856412, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 17, 0, 1, 1]"
STATE_MOTOR,180573.41896928847,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, -0.0015339807878856412, -0.0046019423636569235, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 17, 1, 1, 0]"
STATE_MOTOR,200639.09399323165,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, -0.0015339807878856412, -0.0030679615757712823, 0.49667994687915007]","[0, 0, 0, 0, 100, 0]","[1, 0, 12, 1, 1, 1]"
STATE_MOTOR,220701.2828439474,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, -0.0015339807878856412, 0.0, 0.49667994687915007]","[0, 0, 0, 0, 100, 0]","[1, 1, 14, 1, 1, 0]"
STATE_MOTOR,240761.15991920233,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, -0.0015339807878856412, 0.0030679615757712823, 0.49667994687915007]","[0, 0, 0, 0, 100, 0]","[1, 0, 12, 1, 1, 0]"
STATE_MOTOR,260821.14595919847,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.0, 0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 50, 0]","[1, 0, 13, 1, 0, 1]"
STATE_MOTOR,280888.153007254,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 150, 100, 0]","[0, 0, 12, 0, 1, 1]"
STATE_MOTOR,300954.578910023,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.007669903939428206, 0.010737865515199488, 0.49667994687915007]","[0, 0, 0, 100, 100, 0]","[1, 0, 12, 0, 0, 1]"
STATE_MOTOR,321016.25902578235,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.007669903939428206, 0.01380582709097077, 0.49667994687915007]","[0, 0, 0, 50, 100, 0]","[1, 1, 12, 0, 0, 1]"
STATE_MOTOR,341076.3549618423,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.010737865515199488, 0.018407769454627694, 0.49667994687915007]","[0, 0, 0, 50, 100, 0]","[1, 0, 12, 0, 1, 1]"
STATE_MOTOR,361142.7410505712,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.01380582709097077, 0.021475731030398976, 0.49667994687915007]","[0, 0, 0, 100, 100, 0]","[1, 0, 12, 0, 1, 1]"
STATE_MOTOR,381208.366015926,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.015339807878856412, 0.02454369260617026, 0.49667994687915007]","[0, 0, 0, 100, 150, 0]","[1, 0, 14, 1, 1, 1]"
STATE_MOTOR,401274.92183819413,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.01687378866674205, 0.02914563496982718, 0.49667994687915007]","[0, 0, 0, 50, 100, 0]","[1, 0, 12, 0, 0, 1]"
STATE_MOTOR,421335.4198727757,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.019941750242513333, 0.032213596545598466, 0.49667994687915007]","[0, 0, 0, 50, 100, 0]","[1, 0, 12, 0, 1, 0]"
STATE_MOTOR,441395.14584094286,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.023009711818284616, 0.03681553890925539, 0.49667994687915007]","[0, 0, 0, 100, 150, 0]","[1, 1, 17, 0, 0, 1]"
STATE_MOTOR,461453.8399036974,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.026077673394055898, 0.03988350048502667, 0.49667994687915007]","[0, 0, 0, 100, 150, 0]","[0, 0, 13, 0, 2, 1]"
STATE_MOTOR,481513.4459640831,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.02761165418194154, 0.04601942363656923, 0.49667994687915007]","[0, 0, 0, 50, 150, 0]","[1, 1, 15, 0, 0, 0]"
STATE_MOTOR,501576.4369163662,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.030679615757712823, 0.05062136600022616, 0.49667994687915007]","[0, 0, 0, 100, 150, 0]","[0, 1, 13, 0, 1, 0]"
STATE_MOTOR,521636.6038657725,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.0337475773334841, 0.05522330836388308, 0.49667994687915007]","[0, 0, 0, 100, 200, 0]","[1, 0, 12, 0, 0, 0]"
STATE_MOTOR,541654.9588553607,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.03681553890925539, 0.059825250727540004, 0.49667994687915007]","[0, 0, 0, 100, 150, 0]","[0, 1, 12, 0, 1, 1]"
STATE_MOTOR,561714.2438422889,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.04141748127291231, 0.06596117387908257, 0.49667994687915007]","[0, 0, 0, 150, 150, 0]","[1, 0, 12, 0, 0, 1]"
STATE_MOTOR,581774.951890111,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.044485442848683596, 0.07209709703062514, 0.49667994687915007]","[0, 0, 0, 100, 200, 0]","[1, 0, 12, 0, 2, 0]"
STATE_MOTOR,601838.4229391813,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.047553404424454875, 0.07669903939428206, 0.49667994687915007]","[0, 0, 0, 100, 150, 0]","[1, 0, 12, 0, 1, 1]"
STATE_MOTOR,621899.2909416556,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.052155346788111796, 0.08283496254582462, 0.49667994687915007]","[0, 0, 0, 150, 200, 0]","[0, 1, 14, 0, 1, 0]"
STATE_MOTOR,641959.9179644138,"[-0.009970875121256667, 0.0030679615757712823, 0.5583690067903734, 0.05522330836388308, 0.08897088569736719, 0.49667994687915007]","[0, 0, 0, 100, 200, 0]","[1, 0, 17, 0, 1, 0]"
