type,timestamp,positions
CONTROL,5.799112841486931,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20084.063056856394,"[0.009503, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40166.18197783828,"[0.019139, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60227.280016988516,"[0.028895, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80287.03602030873,"[0.038761, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100349.46608357131,"[0.048725, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120413.21909055114,"[0.058772, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140481.1970423907,"[0.06889, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160542.12511517107,"[0.079062, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180601.35003179312,"[0.089272, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200663.57008181512,"[0.099504, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220722.20500558615,"[0.109739, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240783.44204463065,"[0.119958, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260847.71496243775,"[0.130143, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280906.14010579884,"[0.14027, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300965.6451176852,"[0.15032, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321022.43695408106,"[0.160269, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341084.3370947987,"[0.170094, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361143.87190900743,"[0.179771, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381200.8339446038,"[0.189274, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401260.81998459995,"[0.198578, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421328.66894826293,"[0.207655, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441387.78396882117,"[0.21648, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461447.4489353597,"[0.225024, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481505.4431091994,"[0.233258, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501564.70807269216,"[0.241155, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521623.0829246342,"[0.248685, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541682.4980638921,"[0.255819, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561740.3520736843,"[0.262527, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581796.8430928886,"[0.26878, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601857.3299515992,"[0.274548, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621915.2030535042,"[0.279802, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641979.8070564866,"[0.284513, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662039.2620097846,"[0.288652, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682099.7090544552,"[0.292191, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702159.3449171633,"[0.295103, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722218.8510932028,"[0.297362, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742282.9330898821,"[0.298941, 0.0, 0.5, 0.0, 0.0, 0.5]"
