type,timestamp,positions
CONTROL,6.188871338963509,"[0.0, 0.051, 0.598727, 0.126, 0.119512, 0.575]"
CONTROL,20081.210881471634,"[0.001131, 0.052106, 0.599436, 0.12599, 0.118635, 0.573361]"
CONTROL,40143.49402859807,"[0.002263, 0.053205, 0.600129, 0.12596, 0.117739, 0.57171]"
CONTROL,60202.97296345234,"[0.003395, 0.054296, 0.600807, 0.12591, 0.116824, 0.570046]"
CONTROL,80259.02695953846,"[0.004527, 0.055379, 0.601469, 0.12584, 0.115889, 0.568371]"
CONTROL,100319.52685676515,"[0.005659, 0.056454, 0.602116, 0.125751, 0.114936, 0.566683]"
CONTROL,120385.21491922438,"[0.006791, 0.05752, 0.602746, 0.125641, 0.113964, 0.564984]"
CONTROL,140451.16282068193,"[0.007922, 0.058578, 0.603361, 0.125511, 0.112974, 0.563274]"
CONTROL,160516.83202385902,"[0.009053, 0.059627, 0.60396, 0.125361, 0.111965, 0.561553]"
CONTROL,180576.94099843502,"[0.010183, 0.060667, 0.604542, 0.125191, 0.110937, 0.559821]"
CONTROL,200638.79387453198,"[0.011312, 0.061698, 0.605108, 0.125001, 0.109891, 0.558078]"
CONTROL,220695.1379776001,"[0.01244, 0.06272, 0.605658, 0.124791, 0.108827, 0.556325]"
CONTROL,240754.94683347642,"[0.013566, 0.063732, 0.606191, 0.12456, 0.107745, 0.554562]"
CONTROL,260816.43882207572,"[0.014691, 0.064735, 0.606707, 0.12431, 0.106646, 0.55279]"
CONTROL,280876.94896385074,"[0.015814, 0.065728, 0.607206, 0.12404, 0.105528, 0.551007]"
CONTROL,300938.7720376253,"[0.016935, 0.066711, 0.607689, 0.123749, 0.104393, 0.549216]"
CONTROL,320995.9368687123,"[0.018055, 0.067684, 0.608155, 0.123439, 0.10324, 0.547416]"
CONTROL,341053.7128802389,"[0.019171, 0.068646, 0.608603, 0.123108, 0.10207, 0.545607]"
CONTROL,361114.2828594893,"[0.020286, 0.069598, 0.609034, 0.122758, 0.100884, 0.54379]"
CONTROL,381172.7010179311,"[0.021398, 0.070539, 0.609448, 0.122387, 0.09968, 0.541964]"
CONTROL,401234.031887725,"[0.022507, 0.07147, 0.609844, 0.121997, 0.098459, 0.540131]"
CONTROL,421294.6428451687,"[0.023613, 0.072389, 0.610223, 0.121586, 0.097222, 0.538291]"
CONTROL,441358.8789757341,"[0.024716, 0.073297, 0.610584, 0.121156, 0.095968, 0.536443]"
CONTROL,461419.0789870918,"[0.025815, 0.074194, 0.610928, 0.120706, 0.094698, 0.534588]"
CONTROL,481479.15792651474,"[0.026911, 0.07508, 0.611254, 0.120236, 0.093412, 0.532726]"
CONTROL,501538.0159020424,"[0.028003, 0.075953, 0.611562, 0.119746, 0.09211, 0.530859]"
CONTROL,521596.6338291764,"[0.029091, 0.076815, 0.611851, 0.119236, 0.090793, 0.528985]"
CONTROL,541656.3430335373,"[0.030175, 0.077665, 0.612123, 0.118707, 0.08946, 0.527105]"
CONTROL,561717.1130143106,"[0.031255, 0.078502, 0.612377, 0.118158, 0.088111, 0.52522]"
CONTROL,581776.6520194709,"[0.03233, 0.079328, 0.612613, 0.11759, 0.086748, 0.523329]"
CONTROL,601834.7889184952,"[0.033401, 0.080141, 0.61283, 0.117002, 0.085369, 0.521434]"
CONTROL,621907.277032733,"[0.034467, 0.080941, 0.613029, 0.116394, 0.083976, 0.519534]"
CONTROL,641969.8400422931,"[0.035527, 0.081728, 0.61321, 0.115767, 0.082568, 0.51763]"
CONTROL,662035.1979508996,"[0.036583, 0.082503, 0.613372, 0.115121, 0.081146, 0.515722]"
CONTROL,682095.7178715616,"[0.037633, 0.083264, 0.613516, 0.114456, 0.07971, 0.51381]"
CONTROL,702156.1779547483,"[0.038677, 0.084012, 0.613641, 0.113771, 0.07826, 0.511895]"
CONTROL,722221.3950008154,"[0.039716, 0.084747, 0.613748, 0.113068, 0.076796, 0.509977]"
CONTROL,742280.9640411288,"[0.040749, 0.085468, 0.613835, 0.112345, 0.075319, 0.508056]"
CONTROL,762342.4660414457,"[0.041776, 0.086176, 0.613905, 0.111604, 0.073829, 0.506133]"
CONTROL,782399.5309881866,"[0.042796, 0.086869, 0.613955, 0.110843, 0.072325, 0.504207]"
