type,timestamp,positions,velocities,torques
STATE_MOTOR,6.188871338963509,"[-0.009970875121256667, 0.05522330836388308, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5710491367861886]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 1, 0, 1]"
STATE_MOTOR,20081.210881471634,"[-0.009970875121256667, 0.05522330836388308, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5710491367861886]","[0, 0, 0, 0, 0, 0]","[0, 1, 15, 0, 1, 0]"
STATE_MOTOR,40143.49402859807,"[-0.009970875121256667, 0.05522330836388308, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5710491367861886]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
STATE_MOTOR,60202.97296345234,"[-0.009970875121256667, 0.05522330836388308, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5710491367861886]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 1, 0, 0]"
STATE_MOTOR,80259.02695953846,"[-0.009970875121256667, 0.05522330836388308, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5703851261620186]","[0, 0, 0, 0, 0, -50]","[1, 0, 15, 0, 1, 0]"
STATE_MOTOR,100319.52685676515,"[-0.009970875121256667, 0.05829126993965436, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5703851261620186]","[0, 50, 0, 0, 0, 0]","[1, 0, 12, 0, 0, 0]"
STATE_MOTOR,120385.21491922438,"[-0.009970875121256667, 0.059825250727540004, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5703851261620186]","[0, 100, 0, 0, 0, 0]","[1, 0, 16, 1, 1, 1]"
STATE_MOTOR,140451.16282068193,"[-0.009970875121256667, 0.06135923151542565, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5690571049136787]","[0, 50, 0, 0, 0, -50]","[1, 0, 17, 0, 1, 0]"
STATE_MOTOR,160516.83202385902,"[-0.006902913545485385, 0.06135923151542565, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5677290836653387]","[100, 0, 0, 0, 0, -100]","[1, 0, 12, 0, 0, 1]"
STATE_MOTOR,180576.94099843502,"[-0.005368932757599744, 0.06135923151542565, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5664010624169987]","[50, 0, 0, 0, 0, -100]","[1, 0, 13, 0, 0, 1]"
STATE_MOTOR,200638.79387453198,"[-0.0007669903939428206, 0.06135923151542565, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5650730411686588]","[150, 0, 0, 0, 0, -150]","[0, 0, 10, 0, 0, 1]"
STATE_MOTOR,220695.1379776001,"[0.0007669903939428206, 0.06135923151542565, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5637450199203188]","[50, 0, 0, 0, 0, -100]","[0, 0, 11, 0, 0, 1]"
STATE_MOTOR,240754.94683347642,"[0.0023009711818284618, 0.06135923151542565, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5617529880478087]","[50, 0, 0, 0, 0, -100]","[0, 0, 14, 0, 1, 1]"
STATE_MOTOR,260816.43882207572,"[0.0023009711818284618, 0.06289321230331128, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5604249667994687]","[0, 0, 0, 0, 0, -150]","[1, 0, 12, 1, 1, 1]"
STATE_MOTOR,280876.94896385074,"[0.0023009711818284618, 0.06442719309119693, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5584329349269588]","[0, 50, 0, 0, 0, -100]","[1, 0, 11, 0, 0, 0]"
STATE_MOTOR,300938.7720376253,"[-0.0007669903939428206, 0.0674951546669682, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5564409030544488]","[-100, 100, 0, 0, 0, -150]","[1, 0, 14, 0, 1, 1]"
STATE_MOTOR,320995.9368687123,"[-0.0023009711818284618, 0.06902913545485385, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5551128818061088]","[-50, 100, 0, 0, 0, -150]","[1, 1, 10, 0, 0, 0]"
STATE_MOTOR,341053.7128802389,"[-0.0023009711818284618, 0.06902913545485385, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5531208499335989]","[0, 0, 0, 0, 0, -100]","[1, 0, 13, 0, 1, 1]"
STATE_MOTOR,361114.2828594893,"[0.0007669903939428206, 0.07056311624273949, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.5511288180610889]","[100, 50, 0, 0, 0, -150]","[1, 0, 12, 0, 1, 0]"
STATE_MOTOR,381172.7010179311,"[0.003834951969714103, 0.07056311624273949, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.549800796812749]","[100, 0, 0, 0, 0, -100]","[1, 0, 12, 0, 1, 0]"
STATE_MOTOR,401234.031887725,"[0.009970875121256667, 0.07056311624273949, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.547808764940239]","[150, 0, 0, 0, 0, -150]","[1, 1, 12, 0, 1, 0]"
STATE_MOTOR,421294.6428451687,"[0.013038836697027949, 0.07056311624273949, 0.6611457195787114, 0.12118448224296564, 0.11044661672776616, 0.546480743691899]","[150, 0, 0, 0, 0, -100]","[1, 0, 11, 0, 1, 1]"
STATE_MOTOR,441358.8789757341,"[0.016106798272799233, 0.07056311624273949, 0.6611457195787114, 0.12118448224296564, 0.10737865515199488, 0.5438247011952191]","[100, 0, 0, 0, 0, -150]","[0, 0, 10, 0, 0, 1]"
STATE_MOTOR,461419.0789870918,"[0.016106798272799233, 0.07056311624273949, 0.6611457195787114, 0.12118448224296564, 0.10584467436410924, 0.5418326693227091]","[0, 0, 0, 0, -100, -150]","[1, 0, 10, 0, 1, 0]"
STATE_MOTOR,481479.15792651474,"[0.017640779060684873, 0.07363107781851078, 0.6611457195787114, 0.12118448224296564, 0.10431069357622359, 0.5405046480743692]","[50, 50, 0, 0, -50, -150]","[0, 0, 8, 0, 1, 1]"
