type,timestamp,positions,velocities,torques
STATE_MOTOR,5.678040906786919,"[-0.011504855909142308, 0.056757289151768725, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5732107682206172]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,20089.817000553012,"[-0.011504855909142308, 0.056757289151768725, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5732107682206172]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.0]"
STATE_MOTOR,40147.78707642108,"[-0.011504855909142308, 0.056757289151768725, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5732107682206172]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,60205.347021110356,"[-0.011504855909142308, 0.056757289151768725, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5732107682206172]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.0, 0.45628, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,80262.03501503915,"[-0.011504855909142308, 0.056757289151768725, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5732107682206172]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,100320.28600107878,"[-0.011504855909142308, 0.056757289151768725, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5732107682206172]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.0, 0.387838, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,120380.43909706175,"[-0.011504855909142308, 0.059825250727540004, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5712409717662508]","[0.0, 0.07669903939428206, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.045628, 0.0, 0.410652, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,140440.08206110448,"[-0.011504855909142308, 0.06135923151542565, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5699277741300066]","[0.0, 0.15339807878856412, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.045628, 0.0, 0.45628, 0.0, 0.022814, 0.0]"
STATE_MOTOR,160500.2951109782,"[-0.011504855909142308, 0.06289321230331128, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5686145764937623]","[0.0, 0.07669903939428206, 0.0, 0.0, 0.0, -0.23009711818284617]","[0.045628, 0.0, 0.365024, 0.0, 0.0, 0.022814]"
STATE_MOTOR,180565.23601990193,"[-0.009970875121256667, 0.06289321230331128, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5666447800393959]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.045628, 0.0, 0.319396, 0.0, 0.0, 0.022814]"
STATE_MOTOR,200630.83700370044,"[-0.008436894333371026, 0.06596117387908257, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5653315824031516]","[0.07669903939428206, 0.15339807878856412, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.045628, 0.0, 0.319396, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,220689.14806004614,"[-0.006902913545485385, 0.06596117387908257, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5633617859487853]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.0, -0.23009711818284617]","[0.045628, 0.0, 0.319396, 0.0, 0.0, 0.022814]"
STATE_MOTOR,240755.57105243206,"[-0.003834951969714103, 0.06596117387908257, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.562048588312541]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.0, -0.23009711818284617]","[0.022814, 0.0, 0.273768, 0.0, 0.0, 0.0]"
STATE_MOTOR,260813.65102436393,"[-0.0007669903939428206, 0.06596117387908257, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5600787918581747]","[0.15339807878856412, 0.0, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.0, 0.0, 0.410652, 0.0, 0.0, 0.022814]"
STATE_MOTOR,280873.6450970173,"[0.0007669903939428206, 0.06596117387908257, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5587655942219304]","[0.15339807878856412, 0.0, 0.0, 0.0, 0.0, -0.23009711818284617]","[0.022814, 0.0, 0.34221, 0.0, 0.0, 0.022814]"
STATE_MOTOR,300927.67905443907,"[0.0023009711818284618, 0.0674951546669682, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.556795797767564]","[0.07669903939428206, 0.07669903939428206, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.022814, 0.0, 0.273768, 0.022814, 0.0, 0.0]"
STATE_MOTOR,320983.05504769087,"[0.003834951969714103, 0.07056311624273949, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5548260013131976]","[0.07669903939428206, 0.07669903939428206, 0.0, 0.0, 0.0, -0.23009711818284617]","[0.022814, 0.0, 0.433466, 0.022814, 0.0, 0.0]"
STATE_MOTOR,341049.44800492376,"[0.003834951969714103, 0.07209709703062514, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.5535128036769534]","[0.0, 0.15339807878856412, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.045628, 0.0, 0.365024, 0.0, 0.0, 0.0]"
STATE_MOTOR,361106.7670863122,"[0.003834951969714103, 0.07209709703062514, 0.671116594699968, 0.11965050145508001, 0.10584467436410924, 0.551543007222587]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.23009711818284617]","[0.045628, 0.022814, 0.273768, 0.0, 0.022814, 0.022814]"
