type,timestamp,positions
CONTROL,6.078975275158882,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20125.68386271596,"[3.3e-05, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40186.76187843084,"[0.000133, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60245.91694585979,"[0.0003, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80304.05105091631,"[0.000533, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100368.46389994025,"[0.000833, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120428.33003215492,"[0.001199, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140493.4439342469,"[0.001631, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160554.05093356967,"[0.002129, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180611.17292381823,"[0.002693, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200671.6199684888,"[0.003322, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220738.30687440932,"[0.004016, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240802.6698976755,"[0.004776, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260862.0550017804,"[0.0056, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280919.1469568759,"[0.006488, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300980.0750296563,"[0.00744, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321032.2998929769,"[0.008455, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341090.3129260987,"[0.009533, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361153.87501195073,"[0.010674, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381215.1930760592,"[0.011876, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401275.34000203013,"[0.01314, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421341.59593842924,"[0.014465, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441405.51798045635,"[0.01585, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461464.45302292705,"[0.017295, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481520.313071087,"[0.018799, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501580.28886653483,"[0.020361, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521646.2349053472,"[0.02198, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541706.0209438205,"[0.023657, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561770.8240170032,"[0.025389, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581827.6659119874,"[0.027178, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601884.1268960387,"[0.02902, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621951.67504251,"[0.030917, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,642011.0799372196,"[0.032866, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662069.7439648211,"[0.034868, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682133.3959233016,"[0.03692, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702195.4560186714,"[0.039023, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722257.5950436294,"[0.041176, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742316.3389321417,"[0.043376, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762376.8469784409,"[0.045624, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782433.247892186,"[0.047919, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802493.0339306593,"[0.050259, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822557.277046144,"[0.052643, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842621.8300592154,"[0.05507, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862685.7420895249,"[0.05754, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882748.1719199568,"[0.060051, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902810.7218910009,"[0.062602, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922871.4890778065,"[0.065191, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942931.9258779287,"[0.067818, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962990.4499743134,"[0.070482, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,983049.8560331762,"[0.073181, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003111.0839918256,"[0.075915, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023206.6940516233,"[0.078681, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043266.5299158543,"[0.081479, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063325.4540152848,"[0.084308, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083384.0479608625,"[0.087165, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103443.8849892467,"[0.090051, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123506.0240142047,"[0.092963, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143566.481070593,"[0.0959, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163625.7260106504,"[0.098862, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183683.5800204426,"[0.101846, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203746.7709742486,"[0.104852, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223808.63991566,"[0.107878, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243869.076948613,"[0.110923, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263926.720013842,"[0.113985, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283984.221983701,"[0.117062, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1304048.9258710295,"[0.120155, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1324111.7470897734,"[0.123261, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344173.434888944,"[0.126379, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364231.0579307377,"[0.129507, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384291.895898059,"[0.132644, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404352.2318825126,"[0.135789, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424410.6360711157,"[0.138941, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444470.9129165858,"[0.142097, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464528.6060404032,"[0.145257, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484584.717079997,"[0.148419, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504644.9140645564,"[0.151581, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524703.1268663704,"[0.154743, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544763.3240837604,"[0.157903, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564825.023058802,"[0.161059, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584881.1930045485,"[0.164211, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604939.8279283196,"[0.167356, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1624997.7410770953,"[0.170493, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1645059.4700872898,"[0.173621, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1665114.5790237933,"[0.176739, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685180.7050406933,"[0.179845, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705241.3220517337,"[0.182938, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725309.5898777246,"[0.186015, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745370.0068872422,"[0.189077, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765428.8620688021,"[0.192122, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785484.7919661552,"[0.195148, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805540.7130159438,"[0.198154, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825605.7060789317,"[0.201138, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845667.3249602318,"[0.2041, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865722.2238834947,"[0.207037, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885778.475087136,"[0.209949, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1905840.5740652233,"[0.212835, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1925903.1750261784,"[0.215692, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1945964.0220738947,"[0.218521, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1966020.1119259,"[0.221319, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1986080.1890026778,"[0.224085, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2006141.3969378918,"[0.226819, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2026233.1808917224,"[0.229518, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2046299.1460226476,"[0.232182, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2066358.9818868786,"[0.234809, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2086420.64104788,"[0.237398, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2106476.5609335154,"[0.239949, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2126543.727936223,"[0.24246, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2146602.5430709124,"[0.24493, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2166659.2839173973,"[0.247357, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2186718.8999895006,"[0.249741, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2206778.7759006023,"[0.252081, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2226843.378972262,"[0.254376, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2246904.127066955,"[0.256624, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2266959.697008133,"[0.258824, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2287017.158931121,"[0.260977, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2307075.1018822193,"[0.26308, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2327140.2770187706,"[0.265132, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2347205.5110614747,"[0.267134, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2367265.777895227,"[0.269083, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2387324.2719564587,"[0.27098, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2407389.6459303796,"[0.272822, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2427454.63992469,"[0.274611, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2447517.389897257,"[0.276343, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2467584.6870522946,"[0.27802, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2487646.9569280744,"[0.279639, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2507705.2409760654,"[0.281201, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2527763.874968514,"[0.282705, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2547821.447951719,"[0.28415, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2567879.572045058,"[0.285535, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2587935.6618970633,"[0.28686, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2607993.5850575566,"[0.288124, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2628050.3270681947,"[0.289326, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2648104.344960302,"[0.290467, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2668161.4159606397,"[0.291545, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2688218.188006431,"[0.29256, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2708275.489974767,"[0.293512, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2728335.3770617396,"[0.2944, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2748394.9419111013,"[0.295224, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2768458.3640657365,"[0.295984, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2788518.1200690567,"[0.296678, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2808578.205993399,"[0.297307, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2828638.6930849403,"[0.297871, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2848699.2809921503,"[0.298369, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2868763.253092766,"[0.298801, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2888823.719928041,"[0.299167, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2908882.5050275773,"[0.299467, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2928945.4750251025,"[0.2997, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2949003.5290364176,"[0.299867, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2969063.3949358016,"[0.299967, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2989123.2210211456,"[0.3, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3009179.482003674,"[0.3, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3029261.5310754627,"[0.299983, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3049318.0819321424,"[0.299934, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3069374.6339529753,"[0.299851, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3089431.6548947245,"[0.299735, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3109495.7978930324,"[0.299586, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3129555.023042485,"[0.299404, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,3149612.616049126,"[0.299189, 0.0, 0.5, 0.0, 0.0, 0.5]"
