type,timestamp,positions,velocities,torques
STATE_MOTOR,5.909008905291557,"[0.005368932757599744, 0.11044661672776616, 0.7056311624273949, 0.10277671278833796, 0.007669903939428206, 0.39641434262948205]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 0, 1, 0]"
STATE_MOTOR,20083.898911252618,"[0.005368932757599744, 0.11044661672776616, 0.7056311624273949, 0.10277671278833796, 0.007669903939428206, 0.39641434262948205]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 1, 0]"
STATE_MOTOR,40142.07003638148,"[0.005368932757599744, 0.11044661672776616, 0.7056311624273949, 0.10277671278833796, 0.007669903939428206, 0.39641434262948205]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 2, 1]"
STATE_MOTOR,60201.64303481579,"[0.005368932757599744, 0.11044661672776616, 0.7056311624273949, 0.10277671278833796, 0.007669903939428206, 0.39575033200531207]","[0, 0, 0, 0, 0, -50]","[0, 0, 13, 0, 1, 0]"
STATE_MOTOR,80262.70801201463,"[0.005368932757599744, 0.11044661672776616, 0.7056311624273949, 0.10277671278833796, 0.0046019423636569235, 0.3930942895086321]","[0, 0, 0, 0, -100, -150]","[0, 0, 11, 0, 1, 1]"
STATE_MOTOR,100321.07890583575,"[0.005368932757599744, 0.1119805975156518, 0.7056311624273949, 0.10277671278833796, 0.0015339807878856412, 0.39176626826029215]","[0, 0, 0, 0, -100, -150]","[1, 0, 11, 0, 0, 1]"
STATE_MOTOR,120383.41583684087,"[0.005368932757599744, 0.11351457830353745, 0.7056311624273949, 0.10277671278833796, -0.0015339807878856412, 0.3897742363877822]","[0, 50, 0, 0, -100, -150]","[0, 0, 11, 0, 1, 1]"
STATE_MOTOR,140443.76998208463,"[0.005368932757599744, 0.11351457830353745, 0.7056311624273949, 0.10277671278833796, -0.0030679615757712823, 0.38778220451527223]","[0, 0, 0, 0, -50, -100]","[0, 0, 11, 1, 1, 1]"
STATE_MOTOR,160504.9348436296,"[0.005368932757599744, 0.11351457830353745, 0.7056311624273949, 0.10277671278833796, -0.006135923151542565, 0.38645418326693226]","[0, 0, 0, 0, -100, -150]","[0, 0, 14, 1, 1, 0]"
STATE_MOTOR,180567.00192391872,"[0.005368932757599744, 0.11351457830353745, 0.7056311624273949, 0.10277671278833796, -0.009203884727313847, 0.3844621513944223]","[0, 0, 0, 0, -100, -100]","[0, 0, 8, 0, 1, 0]"
STATE_MOTOR,200625.61286613345,"[0.005368932757599744, 0.11504855909142309, 0.7056311624273949, 0.10277671278833796, -0.01227184630308513, 0.38313413014608233]","[0, 50, 0, 0, -100, -150]","[0, 0, 13, 1, 1, 0]"
STATE_MOTOR,220684.74488332868,"[0.005368932757599744, 0.11504855909142309, 0.7056311624273949, 0.10277671278833796, -0.015339807878856412, 0.38114209827357237]","[0, 0, 0, 0, -50, -100]","[1, 0, 11, 2, 0, 1]"
STATE_MOTOR,240748.4450377524,"[0.005368932757599744, 0.11658253987930872, 0.7056311624273949, 0.10277671278833796, -0.01687378866674205, 0.3791500664010624]","[0, 50, 0, 0, -100, -150]","[1, 0, 12, 2, 1, 0]"
STATE_MOTOR,260817.64185801148,"[0.005368932757599744, 0.11658253987930872, 0.7056311624273949, 0.10277671278833796, -0.019941750242513333, 0.37782204515272244]","[0, 0, 0, 0, -50, -100]","[1, 0, 11, 2, 1, 0]"
STATE_MOTOR,280876.5529189259,"[0.005368932757599744, 0.11811652066719437, 0.7056311624273949, 0.10277671278833796, -0.021475731030398976, 0.37649402390438247]","[0, 50, 0, 0, -100, -100]","[1, 0, 14, 3, 0, 1]"
STATE_MOTOR,300933.982944116,"[0.005368932757599744, 0.11811652066719437, 0.7056311624273949, 0.10277671278833796, -0.02454369260617026, 0.3745019920318725]","[0, 0, 0, 0, -100, -150]","[0, 0, 11, 3, 0, 0]"
STATE_MOTOR,320992.11402237415,"[0.005368932757599744, 0.11965050145508001, 0.7056311624273949, 0.10277671278833796, -0.02761165418194154, 0.37317397078353254]","[0, 50, 0, 0, -50, -100]","[1, 0, 12, 3, 0, 1]"
STATE_MOTOR,341046.96894064546,"[0.005368932757599744, 0.12118448224296564, 0.7056311624273949, 0.10124273200045232, -0.02914563496982718, 0.37250996015936255]","[0, 50, 0, -50, -100, -100]","[0, 0, 12, 2, 1, 1]"
STATE_MOTOR,361107.5929366052,"[0.005368932757599744, 0.1227184630308513, 0.7056311624273949, 0.10124273200045232, -0.032213596545598466, 0.3705179282868526]","[0, 50, 0, 0, -50, -100]","[0, 1, 12, 3, 1, 1]"
STATE_MOTOR,381167.2970186919,"[0.005368932757599744, 0.1227184630308513, 0.7056311624273949, 0.10124273200045232, -0.0337475773334841, 0.3691899070385126]","[0, 0, 0, 0, -100, -100]","[1, 0, 13, 3, 0, 1]"
STATE_MOTOR,401233.1790290773,"[0.005368932757599744, 0.12578642460662257, 0.7056311624273949, 0.09817477042468103, -0.03681553890925539, 0.36786188579017265]","[0, 100, 0, 0, -50, -100]","[1, 1, 13, 2, 1, 0]"
STATE_MOTOR,421292.5808969885,"[0.005368932757599744, 0.12578642460662257, 0.7056311624273949, 0.09510680884890975, -0.03834951969714103, 0.3665338645418327]","[0, 0, 0, -100, -100, -100]","[0, 0, 15, 2, 1, 1]"
STATE_MOTOR,441350.1308299601,"[0.005368932757599744, 0.12578642460662257, 0.7056311624273949, 0.09357282806102411, -0.03988350048502667, 0.3658698539176627]","[0, 0, 0, -100, -50, -100]","[1, 0, 12, 2, 1, 0]"
STATE_MOTOR,461413.06892968714,"[0.006902913545485385, 0.12578642460662257, 0.7056311624273949, 0.09050486648525283, -0.04295146206079795, 0.3652058432934927]","[0, 0, 0, -100, -100, -50]","[1, 0, 16, 2, 0, 1]"
STATE_MOTOR,481472.01095707715,"[0.008436894333371026, 0.12578642460662257, 0.7056311624273949, 0.08743690490948154, -0.04601942363656923, 0.36387782204515273]","[100, 0, 0, -100, -100, -50]","[0, 0, 16, 1, 1, 0]"
STATE_MOTOR,501530.7520516217,"[0.011504855909142308, 0.1273204053945082, 0.7056311624273949, 0.0859029241215959, -0.047553404424454875, 0.36254980079681276]","[50, 50, 0, -50, -50, -100]","[1, 0, 17, 3, 1, 0]"
STATE_MOTOR,521590.09501338005,"[0.013038836697027949, 0.1303883669702795, 0.7040971816395093, 0.08436894333371026, -0.04908738521234052, 0.3612217795484728]","[50, 100, 0, -50, -50, -150]","[0, 0, 10, 2, 1, 0]"
STATE_MOTOR,541650.4689492285,"[0.016106798272799233, 0.13192234775816514, 0.7040971816395093, 0.08283496254582462, -0.05368932757599744, 0.3598937583001328]","[100, 50, -50, -50, -100, -50]","[0, 1, 12, 2, 1, 0]"
STATE_MOTOR,561715.8899549395,"[0.017640779060684873, 0.13192234775816514, 0.7040971816395093, 0.08283496254582462, -0.05522330836388308, 0.35922974767596283]","[50, 0, 0, 0, -100, -100]","[1, 0, 18, 3, 1, 1]"
STATE_MOTOR,581778.5579711199,"[0.017640779060684873, 0.13192234775816514, 0.7040971816395093, 0.07976700097005333, -0.056757289151768725, 0.35856573705179284]","[50, 0, 0, -100, 0, -50]","[0, 0, 13, 2, 1, 0]"
STATE_MOTOR,601839.6730069071,"[0.019174759848570515, 0.13192234775816514, 0.7025632008516236, 0.07669903939428206, -0.059825250727540004, 0.35723771580345287]","[50, 0, 0, -100, -100, -100]","[1, 0, 11, 2, 1, 0]"
