type,timestamp,positions
CONTROL,6.149988621473312,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20081.99307601899,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40155.161055736244,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60216.54198411852,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80273.82800355554,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100345.19399050623,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120406.9460509345,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140469.95900571346,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160527.30404771864,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180585.69100685418,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200643.74804496765,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220706.7310810089,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240767.89198443294,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260826.72004122287,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280886.3479876891,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300944.7950171307,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321006.1970166862,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341066.25604908913,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361125.5739815533,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381187.0360514149,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401245.9230143577,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421304.5199867338,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441364.5400200039,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461425.31000077724,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481485.06903089583,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501544.778002426,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521603.37509121746,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541667.991084978,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561731.5149866045,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581790.4929863289,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601848.2290674001,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621906.5050827339,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641973.9460106939,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662031.4710307866,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682090.9500820562,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702166.3720952347,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722224.2680145428,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742282.2640510276,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762346.3100753725,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782405.1170609891,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802464.115084149,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822520.6190254539,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842578.775016591,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862639.2850419506,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882706.8359823897,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902763.3700752631,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922820.5450344831,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942877.7600405738,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962939.9030236527,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,983006.2120454386,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003065.339056775,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023150.566034019,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043210.1950282231,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063272.237079218,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083339.4969813526,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103399.5460020378,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123459.4250563532,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143519.6450911462,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163588.7380689383,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183646.5030210093,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203705.160995014,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223766.0509999841,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243825.9300542995,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263884.037034586,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283942.0130476356,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1304000.9510004893,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1324061.9209827855,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344122.4620910361,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364182.3900397867,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384244.2930908874,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404301.958042197,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424361.0660778359,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444417.480030097,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464480.88507168,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484542.2860234976,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504601.6840497032,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524668.7040198594,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544727.8619976714,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564785.3270638734,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584845.9880799055,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604905.887041241,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1624964.1330214217,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1645032.7960774302,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1665095.3490752727,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685157.0110302418,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705214.3160253763,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725270.3690901399,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745326.8930548802,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765386.612038128,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785446.6820135713,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805506.3410429284,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825569.624081254,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845628.4920684993,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865688.2410869002,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885747.158084996,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1905806.677066721,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1925866.1760250106,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1945920.665981248,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1965988.2370615378,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1986053.2140592113,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2006113.1130205467,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2026198.1789954007,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2046252.75102444,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2066314.232069999,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2086373.0700220913,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2106433.1689849496,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2126490.955008194,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2146548.581076786,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2166605.8060945943,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2186664.7340357304,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2206724.5229845867,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
