type,timestamp,positions,velocities,torques
STATE_MOTOR,6.149988621473312,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,20081.99307601899,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.479094, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,40155.161055736244,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.34221, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,60216.54198411852,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,80273.82800355554,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.479094, 0.0, 0.022814, 0.0]"
STATE_MOTOR,100345.19399050623,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,120406.9460509345,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,140469.95900571346,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,160527.30404771864,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.365024, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,180585.69100685418,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,200643.74804496765,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.365024, 0.0, 0.022814, 0.0]"
STATE_MOTOR,220706.7310810089,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.0]"
STATE_MOTOR,240767.89198443294,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.365024, 0.0, 0.022814, 0.0]"
STATE_MOTOR,260826.72004122287,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.0, 0.022814]"
STATE_MOTOR,280886.3479876891,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,300944.7950171307,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.34221, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,321006.1970166862,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.45628, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,341066.25604908913,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.365024, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,361125.5739815533,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.365024, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,381187.0360514149,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,401245.9230143577,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.34221, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,421304.5199867338,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.022814, 0.045628, 0.0]"
STATE_MOTOR,441364.5400200039,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.365024, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,461425.31000077724,"[-0.009970875121256667, 0.0046019423636569235, 0.5714078434874014, -0.006135923151542565, 0.009203884727313847, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.479094, 0.022814, 0.022814, 0.022814]"
