type,timestamp,positions
CONTROL,1.4320248737931252,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20095.924963243306,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40157.5289433822,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60219.593928195536,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80283.5919894278,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100346.98795061558,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120403.32495234907,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140463.6970255524,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160526.19193214923,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180588.10592629015,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200646.97600901127,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220705.60592692345,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240766.4789352566,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260825.16892347485,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280885.3209717199,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300946.1029432714,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321005.0539346412,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341068.5600247234,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361127.00996454805,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381194.71294339746,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401258.0889975652,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421320.0039230287,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441379.94502671063,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461437.76399549097,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481495.92301342636,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501562.9449626431,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521625.10994821787,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
