type,timestamp,positions,velocities,torques
STATE_MOTOR,6.249989382922649,"[-0.008436894333371026, 0.06902913545485385, 0.68799038336671, 0.1349903093339364, 0.1227184630308513, 0.6047275114904793]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,20084.952004253864,"[-0.008436894333371026, 0.06902913545485385, 0.68799038336671, 0.1349903093339364, 0.1227184630308513, 0.6047275114904793]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,40142.47201848775,"[-0.008436894333371026, 0.06902913545485385, 0.68799038336671, 0.1349903093339364, 0.1227184630308513, 0.6047275114904793]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.0, 0.273768, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,60201.50403492153,"[-0.006902913545485385, 0.07056311624273949, 0.68799038336671, 0.1349903093339364, 0.1227184630308513, 0.603414313854235]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.07669903939428206]","[0.136884, 0.091256, 0.091256, 0.022814, 0.022814, 0.136884]"
STATE_MOTOR,80258.39400943369,"[-0.003834951969714103, 0.07976700097005333, 0.68799038336671, 0.13652429012182207, 0.1227184630308513, 0.5988181221273802]","[0.07669903939428206, 0.38349519697141027, 0.0, 0.0, 0.0, -0.38349519697141027]","[0.22814, 0.022814, 0.091256, 0.0, 0.045628, 0.205326]"
STATE_MOTOR,100315.96408225596,"[0.008436894333371026, 0.09357282806102411, 0.6864564025788245, 0.13652429012182207, 0.1227184630308513, 0.5896257386736704]","[0.23009711818284617, 0.5368932757599744, -0.07669903939428206, 0.07669903939428206, 0.0, -0.9970875121256667]","[0.182512, 0.0, 0.11407, 0.0, 0.091256, 0.159698]"
STATE_MOTOR,120374.96699485928,"[0.020708740636456155, 0.11044661672776616, 0.6864564025788245, 0.13652429012182207, 0.12118448224296564, 0.5778069599474721]","[0.6135923151542565, 0.7669903939428205, 0.0, 0.0, 0.0, -1.303883669702795]","[0.159698, 0.0, 0.136884, 0.045628, 0.136884, 0.159698]"
STATE_MOTOR,140432.12600518018,"[0.03604854851531257, 0.1273204053945082, 0.6864564025788245, 0.13652429012182207, 0.11044661672776616, 0.5640183847669075]","[0.6135923151542565, 0.8436894333371027, 0.0, 0.0, -0.46019423636569234, -1.533980787885641]","[0.136884, 0.0, 0.182512, 0.091256, 0.091256, 0.205326]"
STATE_MOTOR,160490.32798036933,"[0.05292233718205462, 0.1380582709097077, 0.68799038336671, 0.13652429012182207, 0.09817477042468103, 0.5482600131319764]","[0.7669903939428205, 0.6902913545485385, 0.0, 0.0, -0.6135923151542565, -1.7640779060684872]","[0.068442, 0.045628, 0.296582, 0.159698, 0.11407, 0.22814]"
STATE_MOTOR,180554.99903857708,"[0.0743980682124536, 0.14419419406125028, 0.6895243641545957, 0.1303883669702795, 0.08283496254582462, 0.5318450426789232]","[0.9203884727313847, 0.46019423636569234, 0.15339807878856412, -0.07669903939428206, -0.7669903939428205, -1.8407769454627694]","[0.0, 0.045628, 0.524722, 0.205326, 0.11407, 0.22814]"
