type,timestamp,positions
CONTROL,7.751979865133762,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20094.804000109434,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40151.35101508349,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60208.85903853923,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80264.98497929424,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100321.67204190046,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120377.28808354586,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140448.04603327066,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160506.09503872693,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180566.1970283836,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200633.14901199192,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220694.59303747863,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240754.5450842008,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260815.81902690232,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280874.8190291226,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300936.6540936753,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320997.7870574221,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341059.0310813859,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361120.4050248489,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381185.39506103843,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401244.9160218239,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421304.167015478,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441362.8060137853,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461420.7750419155,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481479.33499421924,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501538.04500587285,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521596.55501600355,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541654.3640894815,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561715.9480461851,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581772.7750400081,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601831.9560680538,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621899.5590461418,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641958.0990914255,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662017.9410092533,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682075.6390225142,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702133.5980389267,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722192.7089849487,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742254.5630251989,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762312.4320525676,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782371.873036027,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802427.35799402,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822491.3260200992,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842550.1560559496,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862607.3240302503,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882666.785037145,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902724.5939942077,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922782.953013666,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942840.0810575113,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962900.7340408862,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982959.9850345403,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003024.2630746216,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023112.2970581055,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043171.4470032603,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063228.9360510185,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083278.993028216,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103341.6690770537,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123401.6510425135,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143459.1790894046,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163516.5370535105,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183573.9450762048,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203641.7489871383,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223708.520992659,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243768.9229846,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263827.1320611238,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283884.2200580984,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1303949.179011397,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1324015.9209817648,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344073.2390154153,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364131.3780099154,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384189.1570482403,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404250.1200456172,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424315.741052851,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444376.8340861425,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464434.5730775967,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484499.7320324183,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504573.1040881947,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524634.578032419,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544694.8210010305,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564754.9129789695,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584814.0630405396,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604879.8740375787,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1624938.3240938187,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1644997.6140866056,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1665059.529012069,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685117.6880300045,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705181.6260209307,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725244.9130173773,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745306.8880131468,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765364.2860241234,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785425.5600832403,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805487.8850234672,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825547.737069428,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845605.7560397312,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865663.905045949,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885719.4400625303,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1905776.1470321566,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1925838.9840833843,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1945896.8420512974,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1965954.0799912065,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1986014.7330909967,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2006074.9950353056,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2026160.4849947616,"[2.9e-05, 6e-06, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2046224.2329958826,"[0.000114, 2.3e-05, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2066289.4020788372,"[0.000257, 5.3e-05, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2086349.6450474486,"[0.000457, 9.3e-05, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2106408.615014516,"[0.000715, 0.000146, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2126467.666006647,"[0.001029, 0.00021, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2146524.2319973186,"[0.001401, 0.000286, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2166583.343059756,"[0.001829, 0.000374, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2186643.78602989,"[0.002315, 0.000473, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2206712.8909984604,"[0.002857, 0.000584, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2226774.0049865097,"[0.003456, 0.000706, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2246834.547026083,"[0.004113, 0.00084, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2266897.5139968097,"[0.004826, 0.000986, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2286953.1189789996,"[0.005596, 0.001143, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2307014.884077944,"[0.006422, 0.001312, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2327073.713997379,"[0.007305, 0.001492, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2347133.5960784927,"[0.008245, 0.001684, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2367188.871023245,"[0.009241, 0.001887, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2387253.5889968276,"[0.010293, 0.002102, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2407319.8010446504,"[0.011401, 0.002329, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2427379.943081178,"[0.012566, 0.002567, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2447439.7849990055,"[0.013787, 0.002816, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2467495.9210678935,"[0.015063, 0.003077, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2487551.7659820616,"[0.016396, 0.003349, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2507619.02902741,"[0.017784, 0.003632, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2527678.6310132593,"[0.019227, 0.003927, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2547737.040091306,"[0.020726, 0.004233, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2567795.6599975005,"[0.02228, 0.004551, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2587853.73903811,"[0.023889, 0.004879, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2607913.1700098515,"[0.025554, 0.005219, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2627971.959998831,"[0.027273, 0.00557, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2648033.4440711886,"[0.029046, 0.005933, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2668090.7720001414,"[0.030874, 0.006306, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2688150.1129828393,"[0.032757, 0.00669, 0.5, 0.0, 0.0, 0.5]"
