type,timestamp,positions,velocities,torques
STATE_MOTOR,7.751979865133762,"[0.006902913545485385, 0.06596117387908257, 0.4993107464567762, 0.018407769454627694, 0.0046019423636569235, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.296582, 0.0, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,20094.804000109434,"[0.006902913545485385, 0.06596117387908257, 0.4993107464567762, 0.018407769454627694, 0.0046019423636569235, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.319396, 0.0, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,40151.35101508349,"[0.006902913545485385, 0.06596117387908257, 0.4993107464567762, 0.018407769454627694, 0.0046019423636569235, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.410652, 0.0, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,60208.85903853923,"[0.006902913545485385, 0.06596117387908257, 0.4993107464567762, 0.018407769454627694, 0.0046019423636569235, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.296582, 0.0, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,80264.98497929424,"[0.006902913545485385, 0.06596117387908257, 0.4993107464567762, 0.018407769454627694, 0.0046019423636569235, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.410652, 0.0, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,100321.67204190046,"[0.006902913545485385, 0.06596117387908257, 0.4993107464567762, 0.018407769454627694, 0.0046019423636569235, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.296582, 0.0, 0.068442, 0.0, 0.022814]"
STATE_MOTOR,120377.28808354586,"[0.006902913545485385, 0.06596117387908257, 0.4993107464567762, 0.018407769454627694, 0.0046019423636569235, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.296582, 0.0, 0.045628, 0.022814, 0.022814]"
STATE_MOTOR,140448.04603327066,"[0.006902913545485385, 0.06596117387908257, 0.4993107464567762, 0.018407769454627694, 0.0046019423636569235, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.387838, 0.0, 0.045628, 0.0, 0.022814]"
STATE_MOTOR,160506.09503872693,"[0.006902913545485385, 0.06596117387908257, 0.4993107464567762, 0.018407769454627694, 0.0046019423636569235, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.296582, 0.0, 0.045628, 0.0, 0.0]"
STATE_MOTOR,180566.1970283836,"[0.006902913545485385, 0.06596117387908257, 0.4993107464567762, 0.018407769454627694, 0.0046019423636569235, 0.5036112934996717]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.296582, 0.0, 0.045628, 0.0, 0.022814]"
