type,timestamp,positions
CONTROL,5.787936970591545,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20086.10893972218,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40142.253041267395,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60196.675010956824,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80256.47501926869,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100313.39095439762,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120370.80700974911,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140426.92200746387,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160483.7670456618,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180540.68298079073,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200600.29299929738,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220657.2180148214,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240711.22996974736,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260768.18502042443,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280827.92495843023,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300864.6609960124,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320918.72196178883,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,340975.65803676844,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361034.12602096796,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381099.23293814063,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401159.6250347793,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
