type,timestamp,positions,velocities,torques
STATE_MOTOR,5.787936970591545,"[-0.009970875121256667, 0.01227184630308513, 0.5698738626995157, -0.0015339807878856412, -0.007669903939428206, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.479094, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,20086.10893972218,"[-0.009970875121256667, 0.01227184630308513, 0.5698738626995157, -0.0015339807878856412, -0.007669903939428206, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.45628, 0.0, 0.0, 0.0]"
STATE_MOTOR,40142.253041267395,"[-0.009970875121256667, 0.01227184630308513, 0.5698738626995157, -0.0015339807878856412, -0.007669903939428206, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.524722, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,60196.675010956824,"[-0.009970875121256667, 0.01227184630308513, 0.5698738626995157, -0.0015339807878856412, -0.007669903939428206, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.365024, 0.0, 0.0, 0.0]"
STATE_MOTOR,80256.47501926869,"[-0.009970875121256667, 0.01227184630308513, 0.5698738626995157, -0.0015339807878856412, -0.007669903939428206, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.365024, 0.0, 0.0, 0.022814]"
STATE_MOTOR,100313.39095439762,"[-0.009970875121256667, 0.01227184630308513, 0.5698738626995157, -0.0015339807878856412, -0.007669903939428206, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,120370.80700974911,"[-0.009970875121256667, 0.01227184630308513, 0.5698738626995157, -0.0015339807878856412, -0.007669903939428206, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,140426.92200746387,"[-0.009970875121256667, 0.01227184630308513, 0.5698738626995157, -0.0015339807878856412, -0.007669903939428206, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.479094, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,160483.7670456618,"[-0.009970875121256667, 0.01227184630308513, 0.5698738626995157, -0.0015339807878856412, -0.007669903939428206, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.319396, 0.0, 0.0, 0.022814]"
STATE_MOTOR,180540.68298079073,"[-0.009970875121256667, 0.01227184630308513, 0.5698738626995157, -0.0015339807878856412, -0.007669903939428206, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.365024, 0.0, 0.022814, 0.0]"
