type,timestamp,positions
CONTROL,5.048001185059547,"[0.039468, 0.039468, 0.539468, 0.039468, 0.039468, 0.539468]"
CONTROL,20088.254008442163,"[0.041744, 0.045072, 0.548293, 0.051402, 0.054395, 0.557269]"
CONTROL,40100.46389885247,"[0.043974, 0.050378, 0.556325, 0.061787, 0.066743, 0.571178]"
CONTROL,60160.69487668574,"[0.046158, 0.055367, 0.563496, 0.070475, 0.076263, 0.580851]"
CONTROL,80225.16290657222,"[0.048293, 0.060022, 0.569758, 0.077386, 0.082888, 0.586338]"
CONTROL,100286.31705790758,"[0.050378, 0.06433, 0.575081, 0.082509, 0.086724, 0.588042]"
CONTROL,120353.98907028139,"[0.052412, 0.06828, 0.579454, 0.085899, 0.088035, 0.586645]"
CONTROL,140411.54691949487,"[0.054395, 0.071865, 0.582888, 0.087673, 0.087209, 0.583005]"
CONTROL,160470.6470388919,"[0.056325, 0.075081, 0.585407, 0.087998, 0.084717, 0.578035]"
CONTROL,180535.48503667116,"[0.058201, 0.077926, 0.587058, 0.087081, 0.081068, 0.572592]"
CONTROL,200595.59703804553,"[0.060022, 0.0804, 0.587898, 0.085156, 0.076768, 0.567376]"
CONTROL,220653.4049473703,"[0.061787, 0.082509, 0.587998, 0.082472, 0.072274, 0.562857]"
CONTROL,240709.12995375693,"[0.063496, 0.084259, 0.587441, 0.079277, 0.06796, 0.559245]"
CONTROL,260767.42890290916,"[0.065149, 0.08566, 0.586316, 0.075807, 0.064097, 0.556492]"
CONTROL,280834.46086384356,"[0.066743, 0.086724, 0.584717, 0.072274, 0.060829, 0.554334]"
CONTROL,300893.93095113337,"[0.06828, 0.087464, 0.58274, 0.068854, 0.058185, 0.552365]"
CONTROL,320958.8599856943,"[0.069758, 0.087898, 0.580482, 0.065685, 0.056078, 0.550117]"
CONTROL,341023.53802882135,"[0.071178, 0.088042, 0.578035, 0.062857, 0.054334, 0.547158]"
CONTROL,361091.0209827125,"[0.072538, 0.087917, 0.575485, 0.060414, 0.052719, 0.543168]"
CONTROL,381158.2229100168,"[0.073839, 0.087544, 0.572912, 0.058354, 0.050971, 0.538002]"
CONTROL,401228.41903939843,"[0.075081, 0.086944, 0.570385, 0.056634, 0.048836, 0.531714]"
CONTROL,421290.383907035,"[0.076263, 0.08614, 0.56796, 0.055174, 0.046102, 0.524558]"
CONTROL,441348.85305538774,"[0.077386, 0.085156, 0.565685, 0.053871, 0.042622, 0.516945]"
CONTROL,461416.8058615178,"[0.07845, 0.084015, 0.563591, 0.052602, 0.038338, 0.509383]"
CONTROL,481477.19795815647,"[0.079454, 0.08274, 0.561698, 0.051239, 0.033284, 0.502396]"
CONTROL,501538.1199773401,"[0.0804, 0.081356, 0.560012, 0.049657, 0.027586, 0.496438]"
CONTROL,521596.9900600612,"[0.081287, 0.079885, 0.558527, 0.047748, 0.021451, 0.491822]"
CONTROL,541657.5220879167,"[0.082116, 0.078348, 0.557224, 0.045422, 0.015141, 0.488667]"
CONTROL,561724.0429855883,"[0.082888, 0.076768, 0.556078, 0.042622, 0.008951, 0.48687]"
CONTROL,581782.2220269591,"[0.083602, 0.075163, 0.555051, 0.039323, 0.003172, 0.486121]"
CONTROL,601840.3898924589,"[0.084259, 0.073554, 0.554102, 0.035538, -0.001939, 0.485944]"
CONTROL,621900.2408906817,"[0.084861, 0.071956, 0.553183, 0.031314, -0.006186, 0.485769]"
CONTROL,641961.6849161685,"[0.085407, 0.070385, 0.552245, 0.026731, -0.009458, 0.485018]"
CONTROL,662021.5559378266,"[0.085899, 0.068854, 0.551239, 0.021898, -0.011743, 0.483201]"
CONTROL,682084.9920623004,"[0.086338, 0.067376, 0.550117, 0.016945, -0.01313, 0.479997]"
CONTROL,702114.5878825337,"[0.086724, 0.06596, 0.548836, 0.012013, -0.013804, 0.475319]"
CONTROL,722172.6570278406,"[0.087058, 0.064614, 0.547358, 0.007246, -0.014024, 0.469341]"
CONTROL,742232.1669291705,"[0.087341, 0.063343, 0.545652, 0.002782, -0.014102, 0.462495]"
CONTROL,762290.6460892409,"[0.087575, 0.062152, 0.543697, -0.001258, -0.014368, 0.455426]"
CONTROL,782355.3238995373,"[0.08776, 0.061042, 0.54148, -0.004777, -0.015132, 0.44891]"
CONTROL,802413.5620798916,"[0.087898, 0.060012, 0.538999, -0.00771, -0.016656, 0.443759]"
CONTROL,822474.5849147439,"[0.087989, 0.059061, 0.536261, -0.010029, -0.019115, 0.440707]"
CONTROL,842534.095980227,"[0.088035, 0.058185, 0.533284, -0.011743, -0.022582, 0.440304]"
CONTROL,862593.6659518629,"[0.088038, 0.057378, 0.530095, -0.0129, -0.027005, 0.44283]"
CONTROL,882658.4948692471,"[0.087998, 0.056634, 0.526731, -0.013587, -0.032213, 0.448241]"
CONTROL,902718.2059362531,"[0.087917, 0.055944, 0.523234, -0.013919, -0.037921, 0.456152]"
CONTROL,922776.194056496,"[0.087796, 0.055299, 0.519653, -0.014036, -0.043755, 0.465871]"
CONTROL,942832.849919796,"[0.087637, 0.054688, 0.516042, -0.014094, -0.04928, 0.476464]"
CONTROL,962891.4489876479,"[0.087441, 0.054102, 0.512456, -0.014254, -0.054037, 0.486861]"
CONTROL,982953.9239872247,"[0.087209, 0.053527, 0.508951, -0.01467, -0.057591, 0.495981]"
CONTROL,1003009.6690170467,"[0.086944, 0.052952, 0.505581, -0.01548, -0.059569, 0.502857]"
CONTROL,1023104.5519467443,"[0.086645, 0.052365, 0.502396, -0.016799, -0.059696, 0.506758]"
CONTROL,1043159.5260743052,"[0.086316, 0.051753, 0.49944, -0.018703, -0.057831, 0.507277]"
CONTROL,1063218.4960413724,"[0.085957, 0.051106, 0.496753, -0.021229, -0.053981, 0.504387]"
CONTROL,1083274.1409540176,"[0.085569, 0.050411, 0.494363, -0.024367, -0.048312, 0.498451]"
CONTROL,1103333.0399077386,"[0.085156, 0.049657, 0.49229, -0.028063, -0.041139, 0.490178]"
CONTROL,1123390.7979913056,"[0.084717, 0.048836, 0.490542, -0.032213, -0.032908, 0.480555]"
CONTROL,1143448.0450116098,"[0.084254, 0.047937, 0.489119, -0.036674, -0.024165, 0.470727]"
CONTROL,1163515.0369256735,"[0.08377, 0.046954, 0.488008, -0.041267, -0.015509, 0.461876]"
CONTROL,1183575.0080645084,"[0.083265, 0.045879, 0.487184, -0.045788, -0.007554, 0.455084]"
CONTROL,1203635.0490525365,"[0.08274, 0.044707, 0.486615, -0.050017, -0.000868, 0.451226]"
CONTROL,1223695.6909764558,"[0.082199, 0.043435, 0.486258, -0.053732, 0.004063, 0.450873]"
CONTROL,1243756.3638668507,"[0.081641, 0.04206, 0.486064, -0.056722, 0.006884, 0.454249]"
CONTROL,1263817.0658610761,"[0.081068, 0.040581, 0.485976, -0.058797, 0.007396, 0.461219]"
CONTROL,1283878.9699599147,"[0.080482, 0.038999, 0.485935, -0.059803, 0.005577, 0.471323]"
CONTROL,1303938.5110605508,"[0.079885, 0.037317, 0.485879, -0.05963, 0.001586, 0.483852]"
CONTROL,1323998.8218992949,"[0.079277, 0.035538, 0.485746, -0.058221, -0.004248, 0.497938]"
CONTROL,1344058.0919850618,"[0.07866, 0.033668, 0.485478, -0.055577, -0.011453, 0.512664]"
CONTROL,1364117.3129435629,"[0.078035, 0.031714, 0.485018, -0.051759, -0.019445, 0.527166]"
CONTROL,1384178.5960830748,"[0.077404, 0.029683, 0.48432, -0.046888, -0.027576, 0.540724]"
CONTROL,1404248.3509983867,"[0.076768, 0.027586, 0.483344, -0.041139, -0.035183, 0.552819]"
CONTROL,1424308.8429793715,"[0.076128, 0.025432, 0.482061, -0.034735, -0.041636, 0.563162]"
CONTROL,1444372.3398726434,"[0.075485, 0.023234, 0.480451, -0.027937, -0.046387, 0.57168]"
CONTROL,1464431.5999466926,"[0.074841, 0.021002, 0.478511, -0.021031, -0.049005, 0.578481]"
CONTROL,1484498.4419178218,"[0.074197, 0.018751, 0.476247, -0.014316, -0.049209, 0.583783]"
CONTROL,1504557.5110707432,"[0.073554, 0.016493, 0.473681, -0.008086, -0.046879, 0.587841]"
CONTROL,1524617.3918712884,"[0.072912, 0.014243, 0.470845, -0.002618, -0.042064, 0.59087]"
CONTROL,1544682.5709659606,"[0.072274, 0.012013, 0.467787, 0.001843, -0.034965, 0.592978]"
CONTROL,1564742.9530508816,"[0.071639, 0.009817, 0.464564, 0.005096, -0.025917, 0.594134]"
CONTROL,1584809.2939704657,"[0.071009, 0.007669, 0.461243, 0.006998, -0.015353, 0.594153]"
