type,timestamp,positions,velocities,torques
STATE_MOTOR,5.048001185059547,"[0.02531068300011308, 0.04295146206079795, 0.5997864880632857, 0.035281558121369745, 0.02914563496982718, 0.5351925630810093]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 1, 1]"
STATE_MOTOR,20088.254008442163,"[0.02531068300011308, 0.04295146206079795, 0.5997864880632857, 0.035281558121369745, 0.02914563496982718, 0.5351925630810093]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 1, 1]"
STATE_MOTOR,40100.46389885247,"[0.02531068300011308, 0.04295146206079795, 0.5997864880632857, 0.035281558121369745, 0.02914563496982718, 0.5351925630810093]","[0, 0, 0, 0, 0, 0]","[1, 1, 7, 3, 2, 4]"
STATE_MOTOR,60160.69487668574,"[0.02531068300011308, 0.044485442848683596, 0.5997864880632857, 0.03681553890925539, 0.032213596545598466, 0.5378486055776892]","[0, 0, 0, 50, 50, 50]","[2, 0, 4, 3, 4, 7]"
STATE_MOTOR,80225.16290657222,"[0.02684466378799872, 0.04908738521234052, 0.5997864880632857, 0.04601942363656923, 0.04295146206079795, 0.5444887118193891]","[0, 100, 0, 250, 250, 300]","[1, 0, 4, 0, 1, 7]"
STATE_MOTOR,100286.31705790758,"[0.028378644575884363, 0.05368932757599744, 0.5997864880632857, 0.05368932757599744, 0.05368932757599744, 0.5544488711819389]","[100, 150, 0, 300, 350, 550]","[1, 0, 3, 1, 1, 0]"
STATE_MOTOR,120353.98907028139,"[0.03144660615165564, 0.059825250727540004, 0.5997864880632857, 0.06135923151542565, 0.06135923151542565, 0.5630810092961488]","[50, 150, 0, 200, 300, 750]","[1, 0, 2, 0, 1, 0]"
STATE_MOTOR,140411.54691949487,"[0.032980586939541284, 0.06596117387908257, 0.5997864880632857, 0.0674951546669682, 0.0674951546669682, 0.5697211155378487]","[100, 250, 0, 200, 200, 600]","[1, 1, 2, 0, 1, 0]"
STATE_MOTOR,160470.6470388919,"[0.03604854851531257, 0.07056311624273949, 0.5997864880632857, 0.07363107781851078, 0.07209709703062514, 0.5730411686586986]","[100, 150, 0, 200, 200, 450]","[1, 0, 2, 0, 1, 0]"
STATE_MOTOR,180535.48503667116,"[0.04065049087896949, 0.07363107781851078, 0.6013204688511713, 0.0782330201821677, 0.07209709703062514, 0.5737051792828686]","[100, 150, 0, 200, 50, 200]","[1, 0, 2, 1, 0, 0]"
STATE_MOTOR,200595.59703804553,"[0.04371845245474077, 0.07669903939428206, 0.6013204688511713, 0.07976700097005333, 0.07363107781851078, 0.5730411686586986]","[100, 50, 50, 50, 50, 0]","[0, 0, 1, 0, 0, 1]"
STATE_MOTOR,220653.4049473703,"[0.04678641403051206, 0.0782330201821677, 0.5997864880632857, 0.07976700097005333, 0.07363107781851078, 0.5717131474103586]","[100, 100, 0, 0, 0, -50]","[0, 0, 1, 0, 1, 1]"
STATE_MOTOR,240709.12995375693,"[0.04832039481839769, 0.07976700097005333, 0.5997864880632857, 0.07976700097005333, 0.07363107781851078, 0.5697211155378487]","[100, 50, -50, 0, 0, -150]","[0, 0, 1, 0, 0, 1]"
STATE_MOTOR,260767.42890290916,"[0.049854375606283335, 0.08130098175793898, 0.5997864880632857, 0.07976700097005333, 0.07363107781851078, 0.5664010624169987]","[50, 50, 0, 0, 0, -150]","[0, 0, 1, 0, 1, 0]"
