type,timestamp,positions,velocities,torques
STATE_MOTOR,4.956964403390884,"[0.03451456772742693, 0.05062136600022616, 0.6097573631845423, 0.035281558121369745, 0.023009711818284616, 0.5377544320420223]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.501908, 0.0, 0.022814, 0.0]"
STATE_MOTOR,20080.370013602078,"[0.03451456772742693, 0.05062136600022616, 0.6097573631845423, 0.035281558121369745, 0.023009711818284616, 0.5377544320420223]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.273768, 0.045628, 0.136884, 0.11407]"
STATE_MOTOR,40136.593976058066,"[0.03451456772742693, 0.05062136600022616, 0.6097573631845423, 0.035281558121369745, 0.026077673394055898, 0.5403808273145109]","[0.0, 0.0, 0.0, 0.0, 0.15339807878856412, 0.15339807878856412]","[0.022814, 0.0, 0.159698, 0.091256, 0.091256, 0.433466]"
STATE_MOTOR,60196.39305304736,"[0.03451456772742693, 0.05368932757599744, 0.6082233823966567, 0.04141748127291231, 0.035281558121369745, 0.5489166119500984]","[0.0, 0.07669903939428206, 0.0, 0.23009711818284617, 0.38349519697141027, 0.8436894333371027]","[0.045628, 0.0, 0.11407, 0.022814, 0.022814, 0.11407]"
STATE_MOTOR,80257.65500497073,"[0.03604854851531257, 0.05829126993965436, 0.6082233823966567, 0.04908738521234052, 0.044485442848683596, 0.5587655942219304]","[0.0, 0.15339807878856412, -0.07669903939428206, 0.38349519697141027, 0.38349519697141027, 1.0737865515199487]","[0.045628, 0.0, 0.091256, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,100315.52100554109,"[0.03604854851531257, 0.06289321230331128, 0.6082233823966567, 0.056757289151768725, 0.052155346788111796, 0.5659881812212738]","[0.07669903939428206, 0.23009711818284617, 0.0, 0.38349519697141027, 0.46019423636569234, 0.9970875121256667]","[0.022814, 0.0, 0.068442, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,120373.5179733485,"[0.03604854851531257, 0.06902913545485385, 0.6082233823966567, 0.06596117387908257, 0.05829126993965436, 0.571897570584373]","[0.0, 0.23009711818284617, 0.0, 0.38349519697141027, 0.30679615757712825, 0.6902913545485385]","[0.045628, 0.0, 0.068442, 0.0, 0.045628, 0.0]"
STATE_MOTOR,140431.74497783184,"[0.03451456772742693, 0.07363107781851078, 0.6082233823966567, 0.07056311624273949, 0.06442719309119693, 0.5751805646749836]","[-0.07669903939428206, 0.30679615757712825, 0.0, 0.30679615757712825, 0.30679615757712825, 0.5368932757599744]","[0.045628, 0.0, 0.045628, 0.0, 0.022814, 0.0]"
STATE_MOTOR,160490.94300251454,"[0.03451456772742693, 0.07669903939428206, 0.6082233823966567, 0.07516505860639641, 0.0674951546669682, 0.5764937623112278]","[0.0, 0.23009711818284617, 0.0, 0.23009711818284617, 0.15339807878856412, 0.23009711818284617]","[0.045628, 0.0, 0.045628, 0.0, 0.0, 0.022814]"
STATE_MOTOR,180550.02205073833,"[0.037582529303198206, 0.07976700097005333, 0.6082233823966567, 0.0782330201821677, 0.06902913545485385, 0.5764937623112278]","[0.07669903939428206, 0.15339807878856412, 0.0, 0.23009711818284617, 0.15339807878856412, 0.0]","[0.022814, 0.0, 0.022814, 0.0, 0.0, 0.022814]"
