type,timestamp,positions
CONTROL,5.898997187614441,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20086.909062229097,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40144.24397610128,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60202.06003449857,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80260.39705146104,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100318.87306831777,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120379.0430445224,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140445.16102876514,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160506.3120368868,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180566.3510458544,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200623.90598468482,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220647.2010584548,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240707.15997368097,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260770.76396904886,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280829.25104536116,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300888.00797238946,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320956.41002524644,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341028.3470293507,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361090.5590467155,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381151.71005483717,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401216.49601496756,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421277.28601917624,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441338.66706397384,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461397.90501911193,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481456.2819665298,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501517.3429856077,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521584.8929947242,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541648.5270252451,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561708.1460077316,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581765.2209661901,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601830.0970317796,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621894.6829903871,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641964.4770212471,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662028.3010415733,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682086.7280475795,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702145.4550558701,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722214.6979765967,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742276.0990448296,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762338.4119942784,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782395.7470245659,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802453.903015703,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822522.7750372142,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842587.2409716249,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862650.4749991,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882710.4240190238,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902770.0930600986,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922830.8330057189,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942896.0300283507,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962954.2260663584,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,983033.1730190665,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003092.4410093576,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023184.7680406645,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043247.3210385069,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063303.9850508794,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083361.5210140124,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103421.1890073493,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123481.0079913586,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143539.1249833629,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163618.6230462044,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183645.4320000485,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203705.191030167,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223764.379043132,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243829.5760657638,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263885.8889695257,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283939.5990595222,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1303997.504990548,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1324057.6540119946,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344113.6970650405,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364171.2029930204,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384228.4780694172,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404286.4739894867,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424342.026002705,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444397.8189956397,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464456.0350570828,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484521.0319617763,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504584.086011164,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524654.270033352,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544710.003072396,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564768.3490533382,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584827.1970171481,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604884.9020153284,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1624945.551971905,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1645003.868965432,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1665063.0469666794,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685121.834045276,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705179.7200692818,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725235.5130622163,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745293.9189970493,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765353.2470576465,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785411.7240058258,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805473.6560443416,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825532.7140213922,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845590.349053964,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865653.3530447632,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885712.2800545767,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1905773.742008023,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1925842.5639709458,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
