type,timestamp,positions
CONTROL,5.107955075800419,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20095.852902159095,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40156.58190473914,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60223.831911571324,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80283.95101428032,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100342.60794054717,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120401.36498399079,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140461.16301324219,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160522.1430072561,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180536.6639746353,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200596.16200160235,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220658.3139486611,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240717.22093503922,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260773.90497084707,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280833.4329165518,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300892.03000534326,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320951.81790646166,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341008.7019437924,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361074.3390163407,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381134.0680113062,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401197.0709543675,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421263.14900815487,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441321.2949875742,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461375.8649211377,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481431.6879492253,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
