type,timestamp,positions,velocities,torques
STATE_MOTOR,5.107955075800419,"[-0.009970875121256667, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, 0.010737865515199488, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.45628, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,20095.852902159095,"[-0.009970875121256667, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, 0.010737865515199488, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.45628, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,40156.58190473914,"[-0.009970875121256667, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, 0.010737865515199488, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,60223.831911571324,"[-0.009970875121256667, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, 0.010737865515199488, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.0, 0.0]"
STATE_MOTOR,80283.95101428032,"[-0.009970875121256667, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, 0.010737865515199488, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.45628, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,100342.60794054717,"[-0.009970875121256667, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, 0.010737865515199488, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,120401.36498399079,"[-0.009970875121256667, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, 0.010737865515199488, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.501908, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,140461.16301324219,"[-0.009970875121256667, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, 0.010737865515199488, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.022814, 0.0, 0.022814]"
STATE_MOTOR,160522.1430072561,"[-0.009970875121256667, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, 0.010737865515199488, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,180536.6639746353,"[-0.009970875121256667, 0.01380582709097077, 0.5760097858510582, -0.006135923151542565, 0.010737865515199488, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.501908, 0.0, 0.022814, 0.022814]"
