type,timestamp,positions
CONTROL,6.078975275158882,"[0.12, -0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,20085.259806364775,"[0.12, -0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,40151.22982673347,"[0.12, -0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,60213.725781068206,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,80274.55979026854,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,100330.34486696124,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,120391.54884405434,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,140449.9588534236,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,160508.95978696644,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,180569.0019391477,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,200627.3209117353,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,220687.18285299838,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,240749.22781437635,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,260809.25995483994,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,280868.76193992794,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,300928.37288975716,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
CONTROL,320988.9158606529,"[0.12, 0.12, 0.62, -0.12, -0.12, 0.38]"
CONTROL,341051.11099779606,"[0.12, 0.12, 0.62, -0.12, -0.12, 0.38]"
CONTROL,361110.67282035947,"[0.12, 0.12, 0.62, -0.12, -0.12, 0.38]"
CONTROL,381176.482886076,"[0.12, 0.12, 0.62, -0.12, -0.12, 0.38]"
CONTROL,401235.2537829429,"[0.12, 0.12, 0.62, -0.12, 0.12, 0.38]"
