type,timestamp,positions,velocities,torques
STATE_MOTOR,6.078975275158882,"[0.10967962633382335, -0.11504855909142309, 0.6826214506091103, -0.12425244381873693, 0.1119805975156518, 0.38114209827357237]","[0, 0, 0, 0, 0, 0]","[0, 0, 13, 0, 1, 0]"
STATE_MOTOR,20085.259806364775,"[0.10967962633382335, -0.11504855909142309, 0.6826214506091103, -0.12425244381873693, 0.1119805975156518, 0.38114209827357237]","[0, 0, 0, 0, 0, 0]","[1, 0, 17, 0, 1, 0]"
STATE_MOTOR,40151.22982673347,"[0.10967962633382335, -0.11504855909142309, 0.6826214506091103, -0.12425244381873693, 0.1119805975156518, 0.38114209827357237]","[0, 0, 0, 0, 0, 0]","[0, 1, 16, 0, 1, 0]"
STATE_MOTOR,60213.725781068206,"[0.10967962633382335, -0.11504855909142309, 0.6826214506091103, -0.12425244381873693, 0.1119805975156518, 0.38114209827357237]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 1]"
STATE_MOTOR,80274.55979026854,"[0.10967962633382335, -0.11504855909142309, 0.6826214506091103, -0.12425244381873693, 0.1119805975156518, 0.38114209827357237]","[0, 0, 0, 0, 0, 0]","[0, 1, 16, 1, 1, 0]"
STATE_MOTOR,100330.34486696124,"[0.10967962633382335, -0.11351457830353745, 0.6826214506091103, -0.12425244381873693, 0.1119805975156518, 0.38114209827357237]","[0, 0, 0, 0, 0, 0]","[0, 6, 12, 1, 0, 0]"
STATE_MOTOR,120391.54884405434,"[0.10967962633382335, -0.09970875121256667, 0.6826214506091103, -0.12425244381873693, 0.1119805975156518, 0.38114209827357237]","[0, 200, 0, 0, 0, 0]","[0, 8, 12, 0, 1, 0]"
STATE_MOTOR,140449.9588534236,"[0.10967962633382335, -0.07976700097005333, 0.6780195082454534, -0.12425244381873693, 0.1119805975156518, 0.38114209827357237]","[0, 550, -50, 0, 0, 0]","[1, 14, 8, 0, 0, 1]"
STATE_MOTOR,160508.95978696644,"[0.10967962633382335, -0.04601942363656923, 0.6718835850939108, -0.12578642460662257, 0.1119805975156518, 0.38114209827357237]","[0, 850, -200, 0, 0, 0]","[1, 5, 5, 1, 1, 0]"
STATE_MOTOR,180569.0019391477,"[0.10967962633382335, -0.007669903939428206, 0.6657476619423682, -0.12578642460662257, 0.1119805975156518, 0.38114209827357237]","[0, 1150, -200, -50, 0, 0]","[0, 0, 4, 0, 1, 0]"
STATE_MOTOR,200627.3209117353,"[0.1081456455459377, 0.032213596545598466, 0.662679700366597, -0.12578642460662257, 0.1119805975156518, 0.38114209827357237]","[-50, 1350, -150, 0, 0, 0]","[1, 0, 5, 0, 1, 1]"
STATE_MOTOR,220687.18285299838,"[0.10661166475805206, 0.06596117387908257, 0.6642136811544826, -0.12425244381873693, 0.1119805975156518, 0.38114209827357237]","[-50, 1250, -50, 0, 0, 0]","[1, 0, 7, 0, 0, 0]"
STATE_MOTOR,240749.22781437635,"[0.10661166475805206, 0.09357282806102411, 0.6672816427302539, -0.12118448224296564, 0.1119805975156518, 0.38114209827357237]","[0, 1000, 100, 100, 0, 0]","[1, 2, 9, 0, 1, 0]"
STATE_MOTOR,260809.25995483994,"[0.10661166475805206, 0.10891263593988051, 0.6688156235181395, -0.12118448224296564, 0.1119805975156518, 0.38114209827357237]","[0, 700, 100, 50, 0, 0]","[1, 1, 9, 0, 1, 0]"
STATE_MOTOR,280868.76193992794,"[0.1081456455459377, 0.11504855909142309, 0.6688156235181395, -0.11965050145508001, 0.1119805975156518, 0.38114209827357237]","[0, 350, 0, 50, 0, 0]","[1, 1, 9, 0, 1, 0]"
STATE_MOTOR,300928.37288975716,"[0.11121360712170898, 0.11504855909142309, 0.6657476619423682, -0.12118448224296564, 0.1119805975156518, 0.38114209827357237]","[100, 100, -50, 0, 0, 0]","[0, 0, 7, 0, 1, 0]"
STATE_MOTOR,320988.9158606529,"[0.11121360712170898, 0.11504855909142309, 0.662679700366597, -0.1227184630308513, 0.1119805975156518, 0.38114209827357237]","[50, 0, -100, -50, 0, 0]","[0, 0, 5, 0, 1, 0]"
STATE_MOTOR,341051.11099779606,"[0.11121360712170898, 0.11504855909142309, 0.6596117387908257, -0.1227184630308513, 0.10891263593988051, 0.38114209827357237]","[0, 0, -100, -50, 0, 0]","[1, 0, 5, 0, 1, 0]"
STATE_MOTOR,361110.67282035947,"[0.11121360712170898, 0.11658253987930872, 0.65807775800294, -0.1227184630308513, 0.10891263593988051, 0.38114209827357237]","[0, 0, -50, 0, -100, 0]","[0, 0, 5, 0, 5, 0]"
STATE_MOTOR,381176.482886076,"[0.10661166475805206, 0.12118448224296564, 0.65807775800294, -0.1227184630308513, 0.09970875121256667, 0.38114209827357237]","[-100, 100, -50, 0, 0, 0]","[2, 0, 6, 0, 16, 0]"
STATE_MOTOR,401235.2537829429,"[0.10507768397016642, 0.12578642460662257, 0.6611457195787114, -0.12118448224296564, 0.07669903939428206, 0.38114209827357237]","[-100, 200, 0, 0, -350, 0]","[1, 1, 6, 0, 18, 0]"
STATE_MOTOR,421292.83188842237,"[0.10507768397016642, 0.1273204053945082, 0.662679700366597, -0.12118448224296564, 0.044485442848683596, 0.38114209827357237]","[0, 50, 100, 50, -800, 0]","[1, 1, 7, 0, 9, 0]"
STATE_MOTOR,441350.26982985437,"[0.10507768397016642, 0.12885438618239387, 0.662679700366597, -0.12118448224296564, 0.007669903939428206, 0.38114209827357237]","[0, 100, 50, 0, -1100, 0]","[1, 0, 7, 0, 1, 0]"
STATE_MOTOR,461405.01485206187,"[0.1081456455459377, 0.12885438618239387, 0.6611457195787114, -0.12118448224296564, -0.026077673394055898, 0.38114209827357237]","[50, 0, 0, 0, -1150, 0]","[7, 1, 6, 0, 0, 0]"
STATE_MOTOR,481468.821875751,"[0.10507768397016642, 0.12578642460662257, 0.6596117387908257, -0.12118448224296564, -0.056757289151768725, 0.38114209827357237]","[0, -50, -50, 0, -1100, 0]","[24, 0, 5, 0, 0, 0]"
STATE_MOTOR,501527.541782707,"[0.0928058376670813, 0.12425244381873693, 0.65807775800294, -0.1227184630308513, -0.07363107781851078, 0.38247011952191234]","[-300, -50, -50, -50, -950, 0]","[39, 0, 5, 0, 2, 1]"
STATE_MOTOR,521584.739908576,"[0.06979612584879667, 0.12425244381873693, 0.65807775800294, -0.1227184630308513, -0.07669903939428206, 0.38247011952191234]","[-600, -50, -50, 0, -500, 100]","[36, 0, 5, 0, 5, 0]"
STATE_MOTOR,541643.7308304012,"[0.037582529303198206, 0.12578642460662257, 0.65807775800294, -0.1227184630308513, -0.0674951546669682, 0.38247011952191234]","[-950, 0, 0, 0, -100, 0]","[17, 0, 6, 0, 11, 0]"
STATE_MOTOR,561699.1459392011,"[0.0007669903939428206, 0.1273204053945082, 0.6596117387908257, -0.12118448224296564, -0.047553404424454875, 0.38114209827357237]","[-1150, 50, 0, 0, 700, -100]","[1, 0, 5, 0, 16, 0]"
STATE_MOTOR,581762.6127973199,"[-0.03911651009108385, 0.1273204053945082, 0.6611457195787114, -0.12118448224296564, -0.01380582709097077, 0.38114209827357237]","[-1300, 50, 50, 50, 1050, 0]","[0, 1, 6, 0, 5, 0]"
STATE_MOTOR,601822.204887867,"[-0.06672816427302539, 0.12885438618239387, 0.6611457195787114, -0.12118448224296564, 0.018407769454627694, 0.38114209827357237]","[-1000, 50, 50, 0, 1050, 0]","[0, 1, 6, 0, 0, 0]"
STATE_MOTOR,621881.8358611315,"[-0.08360195293976744, 0.1273204053945082, 0.6611457195787114, -0.12118448224296564, 0.044485442848683596, 0.38114209827357237]","[-700, 0, 0, 0, 850, 0]","[0, 0, 6, 0, 0, 0]"
STATE_MOTOR,641940.776957199,"[-0.09587379924285257, 0.12425244381873693, 0.6596117387908257, -0.12118448224296564, 0.06442719309119693, 0.38114209827357237]","[-500, -100, 0, 0, 650, 0]","[0, 0, 5, 0, 0, 1]"
STATE_MOTOR,661996.3718112558,"[-0.10200972239439514, 0.12425244381873693, 0.65807775800294, -0.12118448224296564, 0.07669903939428206, 0.38114209827357237]","[-250, -50, -50, 0, 400, 0]","[0, 0, 4, 0, 0, 0]"
STATE_MOTOR,682052.8788957745,"[-0.10200972239439514, 0.12425244381873693, 0.65807775800294, -0.1227184630308513, 0.0859029241215959, 0.38114209827357237]","[-50, 0, -50, -50, 300, 0]","[1, 0, 5, 0, 1, 0]"
STATE_MOTOR,702110.2169528604,"[-0.10047574160650949, 0.12578642460662257, 0.6596117387908257, -0.1227184630308513, 0.09357282806102411, 0.38114209827357237]","[50, 0, 0, 0, 200, 0]","[2, 1, 6, 0, 1, 0]"
