type,timestamp,positions,velocities,torques
STATE_MOTOR,2.223066985607147,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,20090.467995032668,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.296582, 0.0, 0.022814, 0.0]"
STATE_MOTOR,40150.08907299489,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.319396, 0.0, 0.0, 0.0]"
STATE_MOTOR,60213.37700076401,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,80276.60404331982,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.0, 0.022814]"
STATE_MOTOR,100303.40705998242,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.319396, 0.0, 0.0, 0.0]"
STATE_MOTOR,120363.36900200695,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.365024, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,140423.36109559983,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,160489.78304024786,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.0, 0.022814]"
STATE_MOTOR,180551.2070422992,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.296582, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,200610.77899299562,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.319396, 0.0, 0.0, 0.0]"
STATE_MOTOR,220672.52406850457,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,240729.68203108758,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.319396, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,260786.58900223672,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.319396, 0.0, 0.022814, 0.0]"
STATE_MOTOR,280843.50703284144,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.0, 0.0, 0.0]"
STATE_MOTOR,300904.39110063016,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,320960.5170413852,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,341017.8660415113,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.319396, 0.0, 0.0, 0.0]"
STATE_MOTOR,361076.80608984083,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.319396, 0.0, 0.022814, 0.0]"
STATE_MOTOR,381141.5859963745,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,401199.67504870147,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.0, 0.022814]"
STATE_MOTOR,421259.0360548347,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.45628, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,441322.28300441056,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.319396, 0.0, 0.0, 0.022814]"
STATE_MOTOR,461381.0940645635,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.319396, 0.0, 0.0, 0.0]"
STATE_MOTOR,481440.6860386953,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.45628, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,501499.04598947614,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,521557.04505275935,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,541616.0260792822,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.319396, 0.0, 0.0, 0.022814]"
STATE_MOTOR,561673.5540097579,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,581731.7439941689,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.319396, 0.0, 0.022814, 0.0]"
STATE_MOTOR,601791.8160650879,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.319396, 0.0, 0.0, 0.022814]"
STATE_MOTOR,621847.1720349044,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.365024, 0.0, 0.022814, 0.0]"
STATE_MOTOR,641901.8160086125,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.365024, 0.0, 0.0, 0.0]"
STATE_MOTOR,661958.9040055871,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.34221, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,682024.4340924546,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.0, 0.0, 0.022814]"
STATE_MOTOR,702083.7960299104,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.319396, 0.0, 0.022814, 0.0]"
STATE_MOTOR,722139.5920496434,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.0, 0.022814]"
STATE_MOTOR,742197.9419887066,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.296582, 0.0, 0.0, 0.022814]"
STATE_MOTOR,762271.6540936381,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.319396, 0.0, 0.022814, 0.0]"
STATE_MOTOR,782333.999988623,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.319396, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,802393.2810174301,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.319396, 0.0, 0.0, 0.0]"
STATE_MOTOR,822449.7580667958,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.0, 0.022814]"
STATE_MOTOR,842506.8660872057,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.0, 0.0, 0.022814]"
STATE_MOTOR,862575.1310028136,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,882636.0650127754,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.296582, 0.0, 0.022814, 0.0]"
STATE_MOTOR,902693.904004991,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.387838, 0.0, 0.0, 0.022814]"
STATE_MOTOR,922755.9490827844,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,942816.8419981375,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.0, 0.0, 0.022814]"
STATE_MOTOR,962882.3230741546,"[0.006902913545485385, 0.007669903939428206, 0.5668059011237444, -0.0015339807878856412, -0.006135923151542565, 0.5029546946815495]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.0, 0.022814]"
