type,timestamp,positions
CONTROL,2.403976395726204,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20097.099943086505,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40168.41191332787,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60235.076933167875,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80297.04494401813,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100317.4209035933,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120381.70197047293,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140453.06399930269,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160517.83598959446,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180577.96091306955,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200635.79292036593,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220698.6719975248,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240758.49598739296,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260818.69192421436,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280884.17497929186,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300945.4319253564,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321002.17195693403,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341062.9079444334,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361126.69797148556,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381183.7389366701,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401244.41497027874,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421312.3410008848,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441374.01890475303,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461438.6699395254,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481500.2379473299,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501560.84389891475,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521630.6229121983,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541695.9360009059,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561758.4749124944,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581814.2229691148,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601871.0739444941,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621941.5939413011,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,642008.5489517078,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662067.6029706374,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682130.2619064227,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702187.962946482,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722248.4489902854,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742313.5319259018,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762373.6669775099,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782432.3299573734,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802514.8089509457,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822574.3919610977,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842631.9739082828,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862690.0459639728,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882753.0049020424,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902817.7669970319,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922879.3439688161,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942939.9200016633,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962998.2329206541,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,983061.6828985512,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003127.9869144782,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023213.2599921897,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043270.950904116,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063333.1389399245,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083394.8369836435,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103450.68492461,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123507.9559264705,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143574.8209478334,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163640.8449849114,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183703.553979285,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203764.8209370673,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223823.5739059746,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243889.3179642037,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263948.2609229162,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1284010.3489579633,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1304069.2718932405,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1324134.505004622,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344196.1329663172,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364256.1469459906,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384310.8949949965,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404369.4969732314,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424426.6279274598,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444483.5979957134,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464543.1729732081,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484605.680918321,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504666.2369277328,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524722.485919483,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544785.3059740737,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564843.5479961336,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584903.302951716,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604966.0108983517,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1625026.186928153,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1645087.5839218497,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1665147.4779937416,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685206.531896256,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705266.6069939733,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725314.4239075482,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745388.689916581,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765447.2119174898,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785506.0249567032,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805566.1609396338,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825624.4829390198,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845687.992987223,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865746.2149858475,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885811.8389034644,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1905877.791927196,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1925942.3539042473,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1946000.435971655,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1966060.2509975433,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1986119.664972648,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2006175.5639035255,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,2026238.702936098,"[7.6e-05, 7.6e-05, 0.499975, 5e-05, 5e-05, 0.5]"
CONTROL,2046315.552899614,"[0.000302, 0.000302, 0.499899, 0.000201, 0.000201, 0.5]"
CONTROL,2066377.2010011598,"[0.000679, 0.000679, 0.499774, 0.000453, 0.000453, 0.5]"
CONTROL,2086438.306956552,"[0.001207, 0.001207, 0.499598, 0.000805, 0.000805, 0.5]"
CONTROL,2106496.8499122187,"[0.001884, 0.001884, 0.499372, 0.001256, 0.001256, 0.5]"
CONTROL,2126563.564990647,"[0.002711, 0.002711, 0.499096, 0.001807, 0.001807, 0.5]"
CONTROL,2146624.9919030815,"[0.003686, 0.003686, 0.498771, 0.002457, 0.002457, 0.5]"
CONTROL,2166687.0799381286,"[0.004808, 0.004808, 0.498397, 0.003205, 0.003205, 0.5]"
CONTROL,2186747.5459584966,"[0.006076, 0.006076, 0.497975, 0.004051, 0.004051, 0.5]"
CONTROL,2206814.7509125993,"[0.007489, 0.007489, 0.497504, 0.004993, 0.004993, 0.5]"
CONTROL,2226887.6349553466,"[0.009046, 0.009046, 0.496985, 0.006031, 0.006031, 0.5]"
CONTROL,2246948.411921039,"[0.010745, 0.010745, 0.496418, 0.007163, 0.007163, 0.5]"
CONTROL,2267013.9049878344,"[0.012584, 0.012584, 0.495805, 0.008389, 0.008389, 0.5]"
CONTROL,2287078.3359976485,"[0.014561, 0.014561, 0.495146, 0.009707, 0.009707, 0.5]"
CONTROL,2307137.5800063834,"[0.016675, 0.016675, 0.494442, 0.011116, 0.011116, 0.5]"
CONTROL,2327201.930922456,"[0.018923, 0.018923, 0.493692, 0.012615, 0.012615, 0.5]"
CONTROL,2347257.4399784207,"[0.021302, 0.021302, 0.492899, 0.014202, 0.014202, 0.5]"
CONTROL,2367317.824973725,"[0.023812, 0.023812, 0.492063, 0.015875, 0.015875, 0.5]"
CONTROL,2387374.4449811056,"[0.026449, 0.026449, 0.491184, 0.017632, 0.017632, 0.5]"
CONTROL,2407437.163987197,"[0.029209, 0.029209, 0.490264, 0.019473, 0.019473, 0.5]"
CONTROL,2427494.2139163613,"[0.032092, 0.032092, 0.489303, 0.021395, 0.021395, 0.5]"
CONTROL,2447552.01600492,"[0.035093, 0.035093, 0.488302, 0.023396, 0.023396, 0.5]"
CONTROL,2467610.5689723045,"[0.03821, 0.03821, 0.487263, 0.025474, 0.025474, 0.5]"
CONTROL,2487669.2519756034,"[0.04144, 0.04144, 0.486187, 0.027627, 0.027627, 0.5]"
CONTROL,2507730.738958344,"[0.044779, 0.044779, 0.485074, 0.029853, 0.029853, 0.5]"
CONTROL,2527794.4389963523,"[0.048224, 0.048224, 0.483925, 0.032149, 0.032149, 0.5]"
CONTROL,2547852.3209458217,"[0.051771, 0.051771, 0.482743, 0.034514, 0.034514, 0.5]"
CONTROL,2567910.8039475977,"[0.055417, 0.055417, 0.481528, 0.036945, 0.036945, 0.5]"
CONTROL,2587969.8069766164,"[0.059159, 0.059159, 0.48028, 0.039439, 0.039439, 0.5]"
CONTROL,2608028.3699557185,"[0.062991, 0.062991, 0.479003, 0.041994, 0.041994, 0.5]"
CONTROL,2628091.4898961782,"[0.066912, 0.066912, 0.477696, 0.044608, 0.044608, 0.5]"
CONTROL,2648147.8289933875,"[0.070916, 0.070916, 0.476361, 0.047277, 0.047277, 0.5]"
CONTROL,2668213.9929616824,"[0.075, 0.075, 0.475, 0.05, 0.05, 0.5]"
CONTROL,2688273.3969250694,"[0.079159, 0.079159, 0.473614, 0.052773, 0.052773, 0.5]"
CONTROL,2708332.0699166507,"[0.08339, 0.08339, 0.472203, 0.055593, 0.055593, 0.5]"
CONTROL,2728391.884942539,"[0.087688, 0.087688, 0.470771, 0.058458, 0.058458, 0.5]"
CONTROL,2748452.030005865,"[0.092048, 0.092048, 0.469317, 0.061365, 0.061365, 0.5]"
CONTROL,2768519.8169201612,"[0.096467, 0.096467, 0.467844, 0.064311, 0.064311, 0.5]"
CONTROL,2788577.0379798487,"[0.10094, 0.10094, 0.466353, 0.067293, 0.067293, 0.5]"
CONTROL,2808634.788962081,"[0.105462, 0.105462, 0.464846, 0.070308, 0.070308, 0.5]"
CONTROL,2828704.357962124,"[0.110029, 0.110029, 0.463324, 0.073353, 0.073353, 0.5]"
CONTROL,2848764.20290675,"[0.114636, 0.114636, 0.461788, 0.076424, 0.076424, 0.5]"
CONTROL,2868833.110900596,"[0.119279, 0.119279, 0.46024, 0.079519, 0.079519, 0.5]"
CONTROL,2888889.811001718,"[0.123953, 0.123953, 0.458682, 0.082635, 0.082635, 0.5]"
CONTROL,2908958.7489143014,"[0.128653, 0.128653, 0.457116, 0.085769, 0.085769, 0.5]"
