type,timestamp,positions,velocities,torques
STATE_MOTOR,5.969079211354256,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.479094, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,20086.617092601955,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,40143.970982171595,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,60197.76908215135,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,80263.35504837334,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,100321.53001520783,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,120377.70205643028,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.501908, 0.0, 0.022814, 0.0]"
STATE_MOTOR,140435.0750381127,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.410652, 0.0, 0.022814, 0.0]"
STATE_MOTOR,160491.7080840096,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.0, 0.0]"
STATE_MOTOR,180556.44200649112,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.479094, 0.0, 0.022814, 0.0]"
STATE_MOTOR,200614.1160381958,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,220671.54000978917,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.479094, 0.0, 0.022814, 0.0]"
STATE_MOTOR,240729.6550227329,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,260786.6880716756,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.479094, 0.0, 0.0, 0.022814]"
STATE_MOTOR,280850.31104274094,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.45628, 0.0, 0.022814, 0.0]"
STATE_MOTOR,300907.68402442336,"[-0.008436894333371026, 0.007669903939428206, 0.5790777474268295, -0.0015339807878856412, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.0]"
