type,timestamp,positions
CONTROL,6.669899448752403,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20091.034937649965,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40156.832896173,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60218.344908207655,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80281.87998570502,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100341.46893303841,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120400.29698982835,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140460.68699099123,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160520.35591565073,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180578.09199672192,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200635.00700052828,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220692.93295498937,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240751.42992660403,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260809.06600691378,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280867.43399035186,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300922.8860028088,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320985.3689186275,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341018.1279759854,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361075.12400485575,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381134.2619592324,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401189.774973318,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421249.3629893288,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441308.92190150917,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461366.1679904908,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481438.53596411645,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501496.4418951422,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
