type,timestamp,positions
CONTROL,5.668029189109802,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20097.360014915466,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40162.22315840423,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60221.587074920535,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80282.04319998622,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100343.12913194299,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120402.18315087259,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140462.14800328016,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160524.52707663178,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180586.37506328523,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200644.56714317203,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220703.62116210163,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240766.10011979938,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260824.49220120907,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280883.4461029619,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300940.38718380034,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320999.02001209557,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341059.846105054,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361116.78718589246,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381173.89706894755,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401233.39206911623,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421292.00510680676,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441349.95713829994,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461410.9341055155,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481469.816993922,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501529.7920908779,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521588.4551871568,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541647.6291138679,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561705.9411015362,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581767.9401952773,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601824.8400650918,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621883.5131730884,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641941.7450670153,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662003.7241373211,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682064.8401044309,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702124.9560639262,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722185.5311654508,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742244.2850656807,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762302.9481619596,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782369.373133406,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802424.6310815215,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822482.9931277782,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842541.2161741406,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862600.0192016363,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882665.682118386,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902722.8131890297,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922783.7601210922,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942844.4060031325,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962906.1340820044,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982972.2880385816,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003033.5651244968,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
