type,timestamp,positions,velocities,torques
STATE_MOTOR,5.71785494685173,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 1, 1]"
STATE_MOTOR,20080.80086670816,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 0, 20, 0, 1, 0]"
STATE_MOTOR,40139.2278727144,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 1, 20, 1, 2, 1]"
STATE_MOTOR,60198.74685443938,"[-0.009970875121256667, 0.006135923151542565, 0.5645049299419159, -0.0030679615757712823, -0.0046019423636569235, 0.4953519256308101]","[0, 0, 0, 0, 0, -50]","[2, 9, 22, 3, 4, 7]"
STATE_MOTOR,80257.20389559865,"[-0.013038836697027949, 0.006135923151542565, 0.5645049299419159, -0.006135923151542565, 0.0030679615757712823, 0.4907038512616202]","[0, 0, 0, 0, 100, -100]","[4, 10, 18, 4, 2, 8]"
STATE_MOTOR,100321.55085355043,"[-0.019174759848570515, 0.006135923151542565, 0.5614369683661447, -0.01227184630308513, 0.01380582709097077, 0.4820717131474104]","[-150, 0, -50, -150, 250, -450]","[3, 22, 17, 4, 1, 6]"
STATE_MOTOR,120378.53593938053,"[-0.02684466378799872, 0.006135923151542565, 0.5583690067903734, -0.019941750242513333, 0.023009711818284616, 0.47277556440903057]","[-200, 0, -150, -200, 300, -600]","[4, 24, 16, 4, 2, 6]"
STATE_MOTOR,140436.08191423118,"[-0.03604854851531257, 0.0046019423636569235, 0.5553010452146021, -0.02761165418194154, 0.032213596545598466, 0.46082337317397076]","[-250, -50, -100, -300, 300, -850]","[3, 26, 16, 4, 2, 2]"
STATE_MOTOR,160495.50101161003,"[-0.04832039481839769, 0.0015339807878856412, 0.5537670644267164, -0.03681553890925539, 0.04295146206079795, 0.449535192563081]","[-350, -100, -50, -250, 300, -850]","[3, 25, 23, 4, 1, 5]"
STATE_MOTOR,180554.2588699609,"[-0.06059224112148282, -0.0046019423636569235, 0.5506991028509451, -0.04601942363656923, 0.05368932757599744, 0.43824701195219123]","[-400, -200, -100, -300, 350, -850]","[2, 25, 17, 3, 2, 6]"
STATE_MOTOR,200611.73499561846,"[-0.0743980682124536, -0.01380582709097077, 0.5476311412751739, -0.05522330836388308, 0.06596117387908257, 0.4249667994687915]","[-450, -300, -100, -300, 350, -900]","[2, 23, 20, 7, 2, 4]"
STATE_MOTOR,220667.4290355295,"[-0.08820389530342436, -0.02454369260617026, 0.5460971604872883, -0.0674951546669682, 0.07669903939428206, 0.41434262948207173]","[-450, -300, -50, -400, 350, -900]","[1, 21, 22, 3, 1, 5]"
STATE_MOTOR,240724.473958835,"[-0.10047574160650949, -0.035281558121369745, 0.5430291989115169, -0.07669903939428206, 0.08743690490948154, 0.40106241699867196]","[-400, -350, -100, -300, 350, -850]","[0, 11, 14, 1, 0, 0]"
STATE_MOTOR,260784.44393351674,"[-0.11274758790959462, -0.04295146206079795, 0.5384272565478601, -0.08436894333371026, 0.09510680884890975, 0.3891102257636122]","[-400, -300, -150, -250, 250, -1000]","[0, 13, 11, 2, 0, 0]"
STATE_MOTOR,280845.6248603761,"[-0.11888351106113719, -0.05062136600022616, 0.5338253141842031, -0.08743690490948154, 0.09970875121256667, 0.38247011952191234]","[-350, -250, -100, -100, 150, -850]","[0, 9, 9, 2, 0, 0]"
STATE_MOTOR,300902.39993296564,"[-0.12348545342479411, -0.056757289151768725, 0.5307573526084318, -0.09203884727313846, 0.10277671278833796, 0.37782204515272244]","[-200, -200, -150, -150, 100, -400]","[0, 8, 8, 2, 1, 0]"
STATE_MOTOR,320958.98501574993,"[-0.12808739578845105, -0.06289321230331128, 0.5292233718205462, -0.09510680884890975, 0.10584467436410924, 0.3751660026560425]","[-150, -150, -50, -100, 100, -300]","[0, 8, 10, 2, 0, 0]"
STATE_MOTOR,341017.0818679035,"[-0.12962137657633668, -0.06442719309119693, 0.5276893910326605, -0.09664078963679539, 0.10891263593988051, 0.37250996015936255]","[-100, -100, -50, -50, 100, -250]","[0, 9, 11, 1, 1, 1]"
STATE_MOTOR,361077.2918909788,"[-0.12962137657633668, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.3705179282868526]","[-50, -50, 0, -50, 50, -200]","[0, 13, 15, 2, 0, 0]"
STATE_MOTOR,381135.4988720268,"[-0.12962137657633668, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.3691899070385126]","[0, 0, 0, 0, 0, -100]","[0, 11, 10, 2, 0, 1]"
STATE_MOTOR,401194.40807029605,"[-0.12808739578845105, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.36786188579017265]","[0, 0, 0, 0, 0, -100]","[1, 13, 13, 2, 1, 0]"
STATE_MOTOR,421250.02085231245,"[-0.12808739578845105, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.3665338645418327]","[50, 0, 0, 0, 0, -150]","[1, 14, 11, 2, 0, 0]"
STATE_MOTOR,441306.69604055583,"[-0.12808739578845105, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.3652058432934927]","[0, 0, 0, 0, 0, -50]","[0, 13, 12, 2, 1, 0]"
STATE_MOTOR,461374.1359207779,"[-0.12808739578845105, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.3645418326693227]","[0, 0, 0, 0, 0, -50]","[1, 11, 11, 2, 0, 0]"
STATE_MOTOR,481433.8858705014,"[-0.12808739578845105, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, -50]","[0, 14, 11, 2, 1, 0]"
STATE_MOTOR,501493.58599446714,"[-0.12962137657633668, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, -50]","[0, 10, 10, 2, 1, 1]"
STATE_MOTOR,521552.45398171246,"[-0.12962137657633668, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.36387782204515273]","[-50, 0, 0, 0, 0, 0]","[1, 16, 14, 3, 1, 0]"
STATE_MOTOR,541610.6209158897,"[-0.13115535736422232, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[1, 11, 12, 1, 0, 1]"
STATE_MOTOR,561671.0709873587,"[-0.13115535736422232, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[0, 11, 14, 2, 0, 1]"
STATE_MOTOR,581732.1629729122,"[-0.13115535736422232, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[0, 14, 11, 2, 1, 0]"
STATE_MOTOR,601793.0740490556,"[-0.13115535736422232, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[1, 12, 13, 2, 1, 0]"
STATE_MOTOR,621850.5499418825,"[-0.13115535736422232, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[0, 12, 11, 2, 1, 0]"
STATE_MOTOR,641907.7960308641,"[-0.13115535736422232, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[1, 11, 14, 2, 1, 1]"
STATE_MOTOR,661975.2170518041,"[-0.13115535736422232, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[0, 14, 11, 2, 1, 1]"
STATE_MOTOR,682035.346981138,"[-0.13115535736422232, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.1119805975156518, 0.36387782204515273]","[0, 0, 0, 0, 50, 0]","[1, 14, 12, 2, 1, 0]"
STATE_MOTOR,702093.6738699675,"[-0.13115535736422232, -0.06596117387908257, 0.5276893910326605, -0.09817477042468103, 0.1119805975156518, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[0, 14, 12, 2, 1, 0]"
