type,timestamp,positions,velocities,torques
STATE_MOTOR,2.3529864847660065,"[-0.006902913545485385, 0.007669903939428206, 0.5760097858510582, -0.006135923151542565, -0.01227184630308513, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.524722, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,20080.60901425779,"[-0.006902913545485385, 0.007669903939428206, 0.5760097858510582, -0.006135923151542565, -0.01227184630308513, 0.4970453053184504]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.068442, 0.45628, 0.022814, 0.068442, 0.045628]"
STATE_MOTOR,40138.74498195946,"[-0.006902913545485385, 0.007669903939428206, 0.5760097858510582, -0.006135923151542565, -0.01227184630308513, 0.49573210768220616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.068442, 0.136884, 0.501908, 0.045628, 0.091256, 0.250954]"
STATE_MOTOR,60198.54301121086,"[-0.008436894333371026, 0.007669903939428206, 0.5760097858510582, -0.006135923151542565, -0.007669903939428206, 0.489822718319107]","[0.0, 0.0, 0.0, 0.0, 0.07669903939428206, -0.15339807878856412]","[0.068442, 0.205326, 0.593164, 0.091256, 0.091256, 0.22814]"
STATE_MOTOR,80262.78798934072,"[-0.011504855909142308, 0.007669903939428206, 0.5760097858510582, -0.009203884727313847, 0.0015339807878856412, 0.48063033486539725]","[-0.07669903939428206, 0.0, 0.0, -0.07669903939428206, 0.30679615757712825, -0.8436894333371027]","[0.11407, 0.319396, 0.661606, 0.091256, 0.045628, 0.182512]"
STATE_MOTOR,100324.66996926814,"[-0.017640779060684873, 0.007669903939428206, 0.5760097858510582, -0.01380582709097077, 0.009203884727313847, 0.47078135259356535]","[-0.23009711818284617, 0.0, 0.0, -0.30679615757712825, 0.46019423636569234, -1.0737865515199487]","[0.11407, 0.433466, 0.547536, 0.091256, 0.091256, 0.182512]"
STATE_MOTOR,120383.59697908163,"[-0.023776702212227437, 0.007669903939428206, 0.5760097858510582, -0.019941750242513333, 0.019941750242513333, 0.4602757715036113]","[-0.30679615757712825, 0.0, 0.0, -0.23009711818284617, 0.46019423636569234, -1.1504855909142309]","[0.136884, 0.68442, 0.775676, 0.136884, 0.068442, 0.205326]"
STATE_MOTOR,140448.96396808326,"[-0.03451456772742693, 0.006135923151542565, 0.5760097858510582, -0.026077673394055898, 0.02914563496982718, 0.448456992777413]","[-0.38349519697141027, -0.07669903939428206, 0.0, -0.30679615757712825, 0.5368932757599744, -1.227184630308513]","[0.11407, 0.524722, 0.730048, 0.136884, 0.068442, 0.182512]"
STATE_MOTOR,160505.14695234597,"[-0.04678641403051206, 0.0030679615757712823, 0.5714078434874014, -0.035281558121369745, 0.03988350048502667, 0.4366382140512147]","[-0.5368932757599744, -0.15339807878856412, -0.23009711818284617, -0.38349519697141027, 0.46019423636569234, -1.380582709097077]","[0.091256, 0.661606, 0.661606, 0.136884, 0.091256, 0.136884]"
STATE_MOTOR,180560.33796165138,"[-0.059058260333597186, -0.0030679615757712823, 0.5683398819116301, -0.044485442848683596, 0.05062136600022616, 0.4241628365068943]","[-0.6135923151542565, -0.23009711818284617, -0.15339807878856412, -0.38349519697141027, 0.5368932757599744, -1.380582709097077]","[0.091256, 0.730048, 0.661606, 0.136884, 0.091256, 0.205326]"
STATE_MOTOR,200617.10197478533,"[-0.07133010663668231, -0.01227184630308513, 0.5652719203358587, -0.05368932757599744, 0.06135923151542565, 0.412344057780696]","[-0.6135923151542565, -0.38349519697141027, -0.15339807878856412, -0.46019423636569234, 0.5368932757599744, -1.380582709097077]","[0.068442, 0.661606, 0.547536, 0.136884, 0.091256, 0.182512]"
STATE_MOTOR,220676.50000099093,"[-0.08513593372765309, -0.02454369260617026, 0.5622039587600874, -0.06442719309119693, 0.07363107781851078, 0.3985554826001313]","[-0.6902913545485385, -0.5368932757599744, -0.15339807878856412, -0.5368932757599744, 0.5368932757599744, -1.4572817484913592]","[0.045628, 0.45628, 0.68442, 0.091256, 0.045628, 0.0]"
STATE_MOTOR,240737.51003015786,"[-0.09740778003073822, -0.035281558121369745, 0.5576020163964306, -0.07363107781851078, 0.08436894333371026, 0.3887065003282994]","[-0.6135923151542565, -0.5368932757599744, -0.15339807878856412, -0.5368932757599744, 0.6135923151542565, -1.1504855909142309]","[0.0, 0.205326, 0.45628, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,260805.55096268654,"[-0.10967962633382335, -0.044485442848683596, 0.5545340548206593, -0.0782330201821677, 0.09203884727313846, 0.38279711096520025]","[-0.6135923151542565, -0.5368932757599744, -0.23009711818284617, -0.23009711818284617, 0.46019423636569234, -1.1504855909142309]","[0.0, 0.205326, 0.387838, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,280867.4620464444,"[-0.11888351106113719, -0.052155346788111796, 0.5483981316691167, -0.08283496254582462, 0.09510680884890975, 0.37820091923834537]","[-0.6135923151542565, -0.38349519697141027, -0.30679615757712825, -0.30679615757712825, 0.30679615757712825, -0.6902913545485385]","[0.0, 0.182512, 0.296582, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,300928.58301941305,"[-0.12348545342479411, -0.05829126993965436, 0.5437961893054598, -0.0859029241215959, 0.09970875121256667, 0.37491792514773475]","[-0.30679615757712825, -0.38349519697141027, -0.23009711818284617, -0.15339807878856412, 0.15339807878856412, -0.38349519697141027]","[0.0, 0.182512, 0.250954, 0.045628, 0.022814, 0.0]"
STATE_MOTOR,321001.10000465065,"[-0.12808739578845105, -0.06135923151542565, 0.5407282277296885, -0.08897088569736719, 0.10277671278833796, 0.3722915298752462]","[-0.30679615757712825, -0.15339807878856412, -0.15339807878856412, -0.15339807878856412, 0.15339807878856412, -0.30679615757712825]","[0.0, 0.182512, 0.365024, 0.068442, 0.0, 0.022814]"
STATE_MOTOR,341061.4989697933,"[-0.12962137657633668, -0.06442719309119693, 0.5407282277296885, -0.09203884727313846, 0.10431069357622359, 0.3703217334208798]","[-0.15339807878856412, -0.15339807878856412, 0.0, -0.15339807878856412, 0.15339807878856412, -0.23009711818284617]","[0.0, 0.205326, 0.319396, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,361119.69500780106,"[-0.12962137657633668, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10431069357622359, 0.36835193696651347]","[-0.07669903939428206, -0.07669903939428206, -0.07669903939428206, -0.07669903939428206, 0.07669903939428206, -0.23009711818284617]","[0.0, 0.250954, 0.273768, 0.068442, 0.022814, 0.0]"
STATE_MOTOR,381179.4739449397,"[-0.12655341500056538, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.3670387393302692]","[0.0, -0.07669903939428206, 0.0, 0.0, 0.07669903939428206, -0.15339807878856412]","[0.022814, 0.296582, 0.296582, 0.068442, 0.0, 0.0]"
STATE_MOTOR,401237.6699829474,"[-0.12501943421267975, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36638214051214707]","[0.15339807878856412, 0.0, 0.0, 0.0, 0.0, -0.07669903939428206]","[0.022814, 0.273768, 0.296582, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,421296.25601228327,"[-0.12501943421267975, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.3650689428759028]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.0, -0.15339807878856412]","[0.0, 0.250954, 0.319396, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,441352.44900826365,"[-0.12501943421267975, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.07669903939428206]","[0.0, 0.273768, 0.296582, 0.091256, 0.022814, 0.0]"
STATE_MOTOR,461408.0609753728,"[-0.12501943421267975, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.34221, 0.410652, 0.091256, 0.022814, 0.0]"
STATE_MOTOR,481462.812051177,"[-0.12808739578845105, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[-0.07669903939428206, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.250954, 0.319396, 0.068442, 0.022814, 0.0]"
STATE_MOTOR,501520.29702439904,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[-0.07669903939428206, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.250954, 0.433466, 0.091256, 0.045628, 0.0]"
STATE_MOTOR,521581.9280128926,"[-0.13268933815210796, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[-0.15339807878856412, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.273768, 0.296582, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,541645.6030216068,"[-0.13268933815210796, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[-0.07669903939428206, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.250954, 0.319396, 0.068442, 0.022814, 0.0]"
STATE_MOTOR,561702.8770502657,"[-0.13268933815210796, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.296582, 0.319396, 0.091256, 0.022814, 0.022814]"
STATE_MOTOR,581757.9790018499,"[-0.13268933815210796, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.250954, 0.45628, 0.091256, 0.022814, 0.022814]"
STATE_MOTOR,601814.3219407648,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.250954, 0.410652, 0.068442, 0.022814, 0.0]"
STATE_MOTOR,621869.9540477246,"[-0.12962137657633668, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.34221, 0.387838, 0.091256, 0.045628, 0.0]"
STATE_MOTOR,641931.5950479358,"[-0.12808739578845105, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.07669903939428206, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.250954, 0.410652, 0.091256, 0.022814, 0.0]"
STATE_MOTOR,661990.5920233577,"[-0.12655341500056538, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.15339807878856412, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.273768, 0.387838, 0.091256, 0.022814, 0.0]"
STATE_MOTOR,682047.6569700986,"[-0.12655341500056538, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.273768, 0.387838, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,702110.1190475747,"[-0.12655341500056538, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.296582, 0.319396, 0.068442, 0.022814, 0.0]"
STATE_MOTOR,722169.2870371044,"[-0.12808739578845105, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.296582, 0.296582, 0.068442, 0.022814, 0.0]"
STATE_MOTOR,742229.935945943,"[-0.12962137657633668, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[-0.07669903939428206, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.365024, 0.319396, 0.068442, 0.022814, 0.0]"
STATE_MOTOR,762289.3640073016,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[-0.07669903939428206, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.296582, 0.296582, 0.091256, 0.022814, 0.0]"
STATE_MOTOR,782346.9189461321,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[-0.07669903939428206, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.250954, 0.433466, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,802405.8260489255,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.365024, 0.387838, 0.068442, 0.022814, 0.0]"
STATE_MOTOR,822461.8890089914,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.296582, 0.296582, 0.091256, 0.022814, 0.022814]"
STATE_MOTOR,842519.3539587781,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.319396, 0.365024, 0.091256, 0.022814, 0.0]"
STATE_MOTOR,862574.0349525586,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.365024, 0.410652, 0.068442, 0.022814, 0.022814]"
STATE_MOTOR,882628.6649564281,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.273768, 0.296582, 0.068442, 0.045628, 0.022814]"
STATE_MOTOR,902687.5629788265,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.250954, 0.296582, 0.091256, 0.022814, 0.022814]"
STATE_MOTOR,922746.8599565327,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.250954, 0.296582, 0.068442, 0.022814, 0.0]"
STATE_MOTOR,942806.6379623488,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.250954, 0.433466, 0.068442, 0.0, 0.0]"
STATE_MOTOR,962834.9399426952,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.250954, 0.319396, 0.091256, 0.022814, 0.022814]"
STATE_MOTOR,982897.8430014104,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.273768, 0.296582, 0.068442, 0.022814, 0.0]"
STATE_MOTOR,1002966.2939487025,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.250954, 0.34221, 0.091256, 0.022814, 0.022814]"
STATE_MOTOR,1023055.4969748482,"[-0.13115535736422232, -0.06596117387908257, 0.5391942469418028, -0.09203884727313846, 0.10584467436410924, 0.36441234405778067]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.365024, 0.365024, 0.045628, 0.022814, 0.0]"
