type,timestamp,positions
CONTROL,1.842970959842205,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20077.96603720635,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40135.90305112302,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60197.715065442026,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80254.63006924838,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100312.31597531587,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120373.33706393838,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140434.28807053715,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160490.0510283187,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180547.6970039308,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200609.09807216376,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220669.47899293154,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240728.8170652464,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260787.76502981782,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280848.48599974066,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300903.68806850165,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320960.9630284831,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341017.03704800457,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361081.0630489141,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381144.0160498023,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401198.95804673433,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421256.3340552151,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441315.0619948283,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461375.11101551354,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481443.03204026073,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501498.9060582593,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521555.94096984714,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541614.96902816,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561679.0140047669,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581744.2319821566,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601806.4540112391,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621866.1230523139,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641926.2529816478,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,661986.303050071,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682043.839013204,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702101.1139731854,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722159.4010479748,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742217.1670477837,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762279.5699862763,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782336.9860416278,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802392.2380525619,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822443.3150608093,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842502.2220471874,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862562.6229913905,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882619.8179740459,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902675.7610263303,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922735.7510244474,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942794.8090014979,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962852.6150481775,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982909.1000137851,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1002970.1309977099,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023051.402065903,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043111.5210521966,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063168.3859974146,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083226.0419847444,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103281.995980069,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123341.7650219053,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143408.5740474984,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163432.3300095275,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183490.6570147723,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203548.824065365,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223622.2530482337,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243681.2609666958,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263740.1290703565,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283799.0870466456,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1303861.971013248,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1323919.4269990548,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1343979.1260752827,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364036.291022785,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384100.8869931102,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404161.7379989475,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424226.0840255767,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444283.560034819,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464343.8099883497,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484403.2280379906,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504431.3999824226,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524485.9020458534,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544543.7380112708,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
