type,timestamp,positions
CONTROL,5.537876859307289,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20104.130962863564,"[1e-06, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40176.46494321525,"[2e-06, 2e-06, 0.500001, 1e-06, 1e-06, 0.500001]"
CONTROL,60237.18183860183,"[5e-06, 4e-06, 0.500003, 3e-06, 3e-06, 0.500003]"
CONTROL,80295.85587792099,"[9e-06, 7e-06, 0.500006, 6e-06, 5e-06, 0.500006]"
CONTROL,100353.99906337261,"[1.3e-05, 1.1e-05, 0.500009, 9e-06, 7e-06, 0.500009]"
CONTROL,120411.72105818987,"[1.9e-05, 1.5e-05, 0.500013, 1.3e-05, 1e-05, 0.500013]"
CONTROL,140468.10194849968,"[2.6e-05, 2.1e-05, 0.500017, 1.7e-05, 1.4e-05, 0.500017]"
CONTROL,160531.13201633096,"[3.4e-05, 2.7e-05, 0.500023, 2.3e-05, 1.8e-05, 0.500023]"
CONTROL,180591.04797430336,"[4.3e-05, 3.5e-05, 0.500029, 2.9e-05, 2.3e-05, 0.500029]"
CONTROL,200649.19092692435,"[5.3e-05, 4.3e-05, 0.500036, 3.6e-05, 2.8e-05, 0.500036]"
CONTROL,220706.06192573905,"[6.5e-05, 5.2e-05, 0.500043, 4.3e-05, 3.4e-05, 0.500043]"
CONTROL,240763.09287920594,"[7.7e-05, 6.1e-05, 0.500051, 5.1e-05, 4.1e-05, 0.500051]"
CONTROL,260824.76205192506,"[9e-05, 7.2e-05, 0.50006, 6e-05, 4.8e-05, 0.50006]"
CONTROL,280884.21700522304,"[0.000105, 8.4e-05, 0.50007, 7e-05, 5.6e-05, 0.50007]"
CONTROL,300942.6000062376,"[0.00012, 9.6e-05, 0.50008, 8e-05, 6.4e-05, 0.50008]"
CONTROL,320999.3508644402,"[0.000137, 0.000109, 0.500091, 9.1e-05, 7.3e-05, 0.500091]"
CONTROL,341058.62583965063,"[0.000154, 0.000123, 0.500103, 0.000103, 8.2e-05, 0.500103]"
CONTROL,361116.44888296723,"[0.000173, 0.000138, 0.500115, 0.000115, 9.2e-05, 0.500115]"
CONTROL,381174.050970003,"[0.000193, 0.000154, 0.500128, 0.000128, 0.000103, 0.500128]"
CONTROL,401245.7940261811,"[0.000213, 0.000171, 0.500142, 0.000142, 0.000114, 0.500142]"
CONTROL,421303.2459374517,"[0.000235, 0.000188, 0.500157, 0.000157, 0.000125, 0.500157]"
CONTROL,441361.01892217994,"[0.000258, 0.000207, 0.500172, 0.000172, 0.000138, 0.500172]"
CONTROL,461428.1849935651,"[0.000282, 0.000226, 0.500188, 0.000188, 0.00015, 0.500188]"
CONTROL,481486.7088571191,"[0.000307, 0.000246, 0.500205, 0.000205, 0.000164, 0.500205]"
CONTROL,501541.8080147356,"[0.000333, 0.000267, 0.500222, 0.000222, 0.000178, 0.500222]"
CONTROL,521599.4599275291,"[0.000361, 0.000288, 0.50024, 0.00024, 0.000192, 0.50024]"
